pair,a,b,random_top1,random_nestedness,random_jaccard,obs_top1,obs_nestedness,top1_vs_random_ratio,nestedness_excess
1-2,1,2,0.03125,0.0625,0.02128,0.22837,0.35718,7.31,0.29468
1-3,1,3,0.03125,0.09375,0.024,0.2278,0.45372,7.29,0.35997
1-4,1,4,0.03125,0.125,0.02564,0.22852,0.53236,7.31,0.40736
1-5,1,5,0.03125,0.15625,0.02674,0.22937,0.59663,7.34,0.44038
1-6,1,6,0.03125,0.1875,0.02752,0.2308,0.65099,7.39,0.46349
1-7,1,7,0.03125,0.21875,0.02811,0.23167,0.69558,7.41,0.47683
1-8,1,8,0.03125,0.25,0.02857,0.23128,0.7316,7.4,0.4816
2-3,2,3,0.03125,0.09375,0.03896,0.48416,0.62756,15.49,0.53381
2-4,2,4,0.03125,0.125,0.04348,0.45741,0.69021,14.64,0.56521
2-5,2,5,0.03125,0.15625,0.04673,0.43957,0.74022,14.07,0.58397
2-6,2,6,0.03125,0.1875,0.04918,0.42821,0.77847,13.7,0.59097
2-7,2,7,0.03125,0.21875,0.05109,0.42004,0.81068,13.44,0.59193
2-8,2,8,0.03125,0.25,0.05263,0.41595,0.83713,13.31,0.58713
3-4,3,4,0.03125,0.125,0.0566,0.54399,0.68894,17.41,0.56394
3-5,3,5,0.03125,0.15625,0.06224,0.51702,0.74165,16.54,0.5854
3-6,3,6,0.03125,0.1875,0.06667,0.4998,0.78061,15.99,0.59311
3-7,3,7,0.03125,0.21875,0.07023,0.48859,0.81384,15.63,0.59509
3-8,3,8,0.03125,0.25,0.07317,0.477,0.83926,15.26,0.58926
4-5,4,5,0.03125,0.15625,0.07463,0.57958,0.7292,18.55,0.57295
4-6,4,6,0.03125,0.1875,0.08108,0.55893,0.77447,17.89,0.58697
4-7,4,7,0.03125,0.21875,0.08642,0.54012,0.80913,17.28,0.59038
4-8,4,8,0.03125,0.25,0.09091,0.52621,0.83526,16.84,0.58526
5-6,5,6,0.03125,0.1875,0.09317,0.60687,0.76011,19.42,0.57261
5-7,5,7,0.03125,0.21875,0.10029,0.58844,0.80053,18.83,0.58178
5-8,5,8,0.03125,0.25,0.10638,0.5673,0.82964,18.15,0.57964
6-7,6,7,0.03125,0.21875,0.1123,0.63093,0.78629,20.19,0.56754
6-8,6,8,0.03125,0.25,0.12,0.61066,0.82086,19.54,0.57086
7-8,7,8,0.03125,0.25,0.13208,0.64447,0.80422,20.62,0.55422
