k,metric,within_k_mean,within_k_std,within_k_n_pairs,nearest_across_k_mean,all_across_k_mean,all_across_k_min,within_to_across_ratio,k_effect_exceeds_noise
1,top1_agreement,0.03136,0.0022,28,0.22837,0.22969,0.21366,0.1365,False
1,nestedness,0.03136,0.0022,28,0.35718,0.57401,0.33764,0.0546,False
1,spearman,0.00069,0.00629,28,0.56018,0.56123,0.54512,0.0012,False
2,top1_agreement,0.03155,0.00366,28,0.35626,0.41053,0.21434,0.0769,False
2,nestedness,0.06251,0.00327,28,0.49237,0.69164,0.33764,0.0904,False
2,spearman,0.00028,0.0069,28,0.65213,0.69881,0.55035,0.0004,False
3,top1_agreement,0.03165,0.00399,28,0.51407,0.46262,0.21614,0.0684,False
3,nestedness,0.09471,0.00367,28,0.65825,0.70651,0.43862,0.1341,False
3,spearman,0.00194,0.00871,28,0.76662,0.7345,0.54512,0.0026,False
4,top1_agreement,0.03218,0.00433,28,0.56179,0.49068,0.21366,0.0656,False
4,nestedness,0.12561,0.00393,28,0.70907,0.7228,0.51992,0.1738,False
4,spearman,0.00118,0.00768,28,0.80319,0.75475,0.55182,0.0016,False
5,top1_agreement,0.03157,0.00413,28,0.59323,0.50402,0.22016,0.0626,False
5,nestedness,0.15666,0.00445,28,0.74466,0.74257,0.58673,0.211,False
5,spearman,0.00086,0.00861,28,0.82641,0.76486,0.55361,0.0011,False
6,top1_agreement,0.03171,0.00508,28,0.6189,0.50946,0.22118,0.0622,False
6,nestedness,0.18747,0.00475,28,0.7732,0.76454,0.6366,0.2452,False
6,spearman,0.00094,0.00842,28,0.84362,0.76861,0.55635,0.0012,False
7,top1_agreement,0.03251,0.00639,28,0.6377,0.50632,0.22049,0.0642,False
7,nestedness,0.21825,0.00503,28,0.79526,0.78861,0.68094,0.2768,False
7,spearman,0.0,0.00917,28,0.8558,0.76709,0.55757,0.0,False
8,top1_agreement,0.03307,0.00571,28,0.64447,0.49612,0.22407,0.0667,False
8,nestedness,0.25059,0.00519,28,0.80422,0.814,0.7191,0.3078,False
8,spearman,0.00116,0.00967,28,0.85995,0.76023,0.55904,0.0015,False
