comparison,k,seed_i,seed_j,top1_agreement,nestedness,spearman,hco
within_k,1,0,1,0.031014,0.031014,0.003885,-0.000244
within_k,1,0,2,0.030851,0.030851,0.000612,-0.000412
within_k,1,0,3,0.028553,0.028553,-0.007242,-0.002784
within_k,1,0,4,0.030572,0.030572,3.4e-05,-0.0007
within_k,1,0,5,0.031064,0.031064,0.00181,-0.000192
within_k,1,0,6,0.029107,0.029107,0.000484,-0.002212
within_k,1,0,7,0.032087,0.032087,0.0039,0.000864
within_k,1,1,2,0.032397,0.032397,0.005344,0.001184
within_k,1,1,3,0.036954,0.036954,0.001784,0.005888
within_k,1,1,4,0.031103,0.031103,-0.005591,-0.000152
within_k,1,1,5,0.03187,0.03187,0.008288,0.00064
within_k,1,1,6,0.033188,0.033188,-0.000358,0.002
within_k,1,1,7,0.031397,0.031397,0.00108,0.000152
within_k,1,2,3,0.029932,0.029932,0.00879,-0.00136
within_k,1,2,4,0.030521,0.030521,-0.008483,-0.000752
within_k,1,2,5,0.030967,0.030967,-0.003344,-0.000292
within_k,1,2,6,0.026848,0.026848,-0.007901,-0.004544
within_k,1,2,7,0.033614,0.033614,-0.002108,0.00244
within_k,1,3,4,0.029371,0.029371,-0.002003,-0.00194
within_k,1,3,5,0.028855,0.028855,0.007161,-0.002472
within_k,1,3,6,0.030219,0.030219,-0.014436,-0.001064
within_k,1,3,7,0.031579,0.031579,0.01095,0.00034
within_k,1,4,5,0.032215,0.032215,-0.001902,0.000996
within_k,1,4,6,0.037016,0.037016,0.014405,0.005952
within_k,1,4,7,0.030211,0.030211,0.002596,-0.001072
within_k,1,5,6,0.031727,0.031727,0.001344,0.000492
within_k,1,5,7,0.033846,0.033846,0.003915,0.00268
within_k,1,6,7,0.031056,0.031056,-0.003786,-0.0002
within_k,2,0,1,0.028022,0.060473,0.010235,-0.003536
within_k,2,0,2,0.027127,0.061231,0.002208,-0.002483
within_k,2,0,3,0.027762,0.059117,-0.002657,-0.006864
within_k,2,0,4,0.035195,0.065837,0.00365,0.006769
within_k,2,0,5,0.029669,0.061039,0.000114,-0.002867
within_k,2,0,6,0.032134,0.061053,-0.003463,-0.002687
within_k,2,0,7,0.032013,0.061659,-0.00212,-0.002146
within_k,2,1,2,0.038473,0.066052,0.00877,0.006581
within_k,2,1,3,0.034761,0.064957,0.001224,0.004955
within_k,2,1,4,0.036555,0.06804,0.007408,0.011046
within_k,2,1,5,0.037009,0.069758,0.01724,0.014361
within_k,2,1,6,0.033106,0.064354,-0.002371,0.003074
within_k,2,1,7,0.031118,0.060593,0.002713,-0.003252
within_k,2,2,3,0.035505,0.069156,0.009348,0.012599
within_k,2,2,4,0.030452,0.059968,-0.001067,-0.004544
within_k,2,2,5,0.032537,0.064591,-0.009719,0.004257
within_k,2,2,6,0.027212,0.059008,-0.005464,-0.006989
within_k,2,2,7,0.030335,0.059886,-0.006584,-0.005115
within_k,2,3,4,0.037311,0.065222,-0.003158,0.005225
within_k,2,3,5,0.036272,0.065248,0.001508,0.005472
within_k,2,3,6,0.029018,0.060566,-0.013363,-0.003585
within_k,2,3,7,0.028514,0.061479,-0.001887,-0.001678
within_k,2,4,5,0.028983,0.061746,-0.000657,-0.001194
within_k,2,4,6,0.029188,0.062229,0.004903,-0.00081
within_k,2,4,7,0.032134,0.061425,0.005505,-0.001881
within_k,2,5,6,0.030886,0.059594,0.003936,-0.005326
within_k,2,5,7,0.02641,0.057144,-0.010923,-0.010252
within_k,2,6,7,0.025693,0.058873,-0.007542,-0.007012
within_k,3,0,1,0.028216,0.093968,0.012696,0.00063
within_k,3,0,2,0.02958,0.097754,0.014103,0.010915
within_k,3,0,3,0.032149,0.09571,-0.00139,0.006349
within_k,3,0,4,0.032517,0.096585,0.00465,0.007131
within_k,3,0,5,0.027472,0.091497,-0.001799,-0.005878
within_k,3,0,6,0.034753,0.092891,-0.002616,-0.002837
within_k,3,0,7,0.034505,0.10006,0.001177,0.016029
