train_k,infer_k,gap,direction,mean_delta,std_delta,min_delta,max_delta,n_seeds,n_positive,n_negative,sign_ratio_pos,snr,strong_signal
1,2,1,lo_to_hi,-0.004896,0.009969,-0.02153,0.011755,8,2,6,0.25,0.491,False
1,3,2,lo_to_hi,0.037731,0.012307,0.017971,0.056052,8,8,0,1.0,3.066,True
1,4,3,lo_to_hi,0.086598,0.017164,0.059936,0.107983,8,8,0,1.0,5.045,True
1,5,4,lo_to_hi,0.141049,0.021264,0.113539,0.173112,8,8,0,1.0,6.633,True
1,6,5,lo_to_hi,0.199047,0.022594,0.173126,0.235138,8,8,0,1.0,8.81,True
1,7,6,lo_to_hi,0.249923,0.025425,0.22191,0.292301,8,8,0,1.0,9.83,True
1,8,7,lo_to_hi,0.299573,0.0264,0.275208,0.339915,8,8,0,1.0,11.347,True
2,1,1,hi_to_lo,0.261912,0.017032,0.242129,0.287668,8,8,0,1.0,15.377,True
2,3,1,lo_to_hi,-0.011886,0.007144,-0.022045,-0.001949,8,0,8,0.0,1.664,False
2,4,2,lo_to_hi,0.00083,0.009257,-0.014149,0.013279,8,5,3,0.625,0.09,False
2,5,3,lo_to_hi,0.029979,0.015032,0.006236,0.050182,8,8,0,1.0,1.994,False
2,6,4,lo_to_hi,0.075381,0.020088,0.040001,0.099125,8,8,0,1.0,3.753,True
2,7,5,lo_to_hi,0.125071,0.026504,0.076071,0.150623,8,8,0,1.0,4.719,True
2,8,6,lo_to_hi,0.178121,0.030874,0.120806,0.208481,8,8,0,1.0,5.769,True
3,1,2,hi_to_lo,0.537051,0.034986,0.478667,0.583755,8,8,0,1.0,15.35,True
3,2,1,hi_to_lo,0.045732,0.006214,0.03922,0.058269,8,8,0,1.0,7.36,True
3,4,1,lo_to_hi,-0.007655,0.004169,-0.014138,-0.002164,8,0,8,0.0,1.836,False
3,5,2,lo_to_hi,0.000418,0.007206,-0.012084,0.012193,8,4,4,0.5,0.058,False
3,6,3,lo_to_hi,0.016686,0.011642,0.000282,0.03246,8,8,0,1.0,1.433,False
3,7,4,lo_to_hi,0.042102,0.015858,0.02199,0.069325,8,8,0,1.0,2.655,True
3,8,5,lo_to_hi,0.074691,0.020629,0.047002,0.108458,8,8,0,1.0,3.621,True
4,1,3,hi_to_lo,0.890002,0.059697,0.8139,0.967636,8,8,0,1.0,14.909,True
4,2,2,hi_to_lo,0.123179,0.022944,0.088848,0.157713,8,8,0,1.0,5.369,True
4,3,1,hi_to_lo,0.02333,0.008635,0.01111,0.035376,8,8,0,1.0,2.702,True
4,5,1,lo_to_hi,-0.004984,0.003065,-0.010874,-0.001032,8,0,8,0.0,1.626,False
4,6,2,lo_to_hi,-0.001843,0.004294,-0.010121,0.003476,8,4,4,0.5,0.429,False
4,7,3,lo_to_hi,0.008721,0.007879,-0.004723,0.01806,8,7,1,0.875,1.107,False
4,8,4,lo_to_hi,0.026185,0.012853,0.009847,0.044562,8,8,0,1.0,2.037,True
5,1,4,hi_to_lo,1.069227,0.076927,0.924696,1.162801,8,8,0,1.0,13.899,True
5,2,3,hi_to_lo,0.17288,0.024044,0.140134,0.205706,8,8,0,1.0,7.19,True
5,3,2,hi_to_lo,0.045092,0.008713,0.031797,0.060716,8,8,0,1.0,5.175,True
5,4,1,hi_to_lo,0.013469,0.004275,0.009027,0.022556,8,8,0,1.0,3.15,True
5,6,1,lo_to_hi,-0.00302,0.001658,-0.006602,-0.00162,8,0,8,0.0,1.821,False
5,7,2,lo_to_hi,0.000664,0.003999,-0.004129,0.006088,8,4,4,0.5,0.166,False
5,8,3,lo_to_hi,0.007366,0.006459,-0.000457,0.017401,8,7,1,0.875,1.141,False
6,1,5,hi_to_lo,1.24344,0.045255,1.196704,1.325256,8,8,0,1.0,27.476,True
6,2,4,hi_to_lo,0.240659,0.028515,0.188546,0.282285,8,8,0,1.0,8.44,True
6,3,3,hi_to_lo,0.072135,0.010357,0.050056,0.085889,8,8,0,1.0,6.965,True
6,4,2,hi_to_lo,0.026383,0.00526,0.019657,0.034989,8,8,0,1.0,5.016,True
6,5,1,hi_to_lo,0.008789,0.002034,0.004809,0.011169,8,8,0,1.0,4.32,True
6,7,1,lo_to_hi,-0.002359,0.002011,-0.005022,-6.8e-05,8,0,8,0.0,1.173,False
6,8,2,lo_to_hi,-0.000748,0.003826,-0.006501,0.005557,8,4,4,0.5,0.196,False
7,1,6,hi_to_lo,1.376491,0.083682,1.284051,1.500432,8,8,0,1.0,16.449,True
7,2,5,hi_to_lo,0.284097,0.026753,0.258732,0.34193,8,8,0,1.0,10.619,True
7,3,4,hi_to_lo,0.092869,0.009396,0.081275,0.111811,8,8,0,1.0,9.884,True
7,4,3,hi_to_lo,0.035393,0.005185,0.028191,0.043051,8,8,0,1.0,6.825,True
7,5,2,hi_to_lo,0.014659,0.003241,0.009564,0.019785,8,8,0,1.0,4.523,True
7,6,1,hi_to_lo,0.004655,0.001472,0.002775,0.007751,8,8,0,1.0,3.162,True
7,8,1,lo_to_hi,-0.001867,0.001692,-0.004202,0.00069,8,2,6,0.25,1.104,False
8,1,7,hi_to_lo,1.507346,0.069677,1.439071,1.649615,8,8,0,1.0,21.633,True
8,2,6,hi_to_lo,0.362596,0.040556,0.314739,0.446514,8,8,0,1.0,8.941,True
8,3,5,hi_to_lo,0.128762,0.017666,0.107729,0.165254,8,8,0,1.0,7.289,True
8,4,4,hi_to_lo,0.056559,0.009176,0.044905,0.075118,8,8,0,1.0,6.164,True
8,5,3,hi_to_lo,0.029125,0.006229,0.020711,0.039715,8,8,0,1.0,4.675,True
8,6,2,hi_to_lo,0.015813,0.004109,0.010174,0.024079,8,8,0,1.0,3.849,True
8,7,1,hi_to_lo,0.005962,0.001781,0.003207,0.008752,8,8,0,1.0,3.347,True
