pair,a,b,random_top1,random_nestedness,random_jaccard,obs_top1,obs_nestedness,top1_vs_random_ratio,nestedness_excess
1-2,1,2,0.03125,0.0625,0.02128,0.15112,0.25048,4.84,0.18798
1-3,1,3,0.03125,0.09375,0.024,0.1569,0.34362,5.02,0.24987
1-4,1,4,0.03125,0.125,0.02564,0.15896,0.41897,5.09,0.29397
1-5,1,5,0.03125,0.15625,0.02674,0.16082,0.48236,5.15,0.32611
1-6,1,6,0.03125,0.1875,0.02752,0.16272,0.53928,5.21,0.35178
1-7,1,7,0.03125,0.21875,0.02811,0.16236,0.58854,5.2,0.36979
1-8,1,8,0.03125,0.25,0.02857,0.16327,0.6345,5.22,0.3845
2-3,2,3,0.03125,0.09375,0.03896,0.44463,0.58412,14.23,0.49037
2-4,2,4,0.03125,0.125,0.04348,0.42562,0.65446,13.62,0.52946
2-5,2,5,0.03125,0.15625,0.04673,0.41579,0.71118,13.31,0.55493
2-6,2,6,0.03125,0.1875,0.04918,0.40864,0.75402,13.08,0.56652
2-7,2,7,0.03125,0.21875,0.05109,0.40178,0.78983,12.86,0.57108
2-8,2,8,0.03125,0.25,0.05263,0.40018,0.82128,12.81,0.57128
3-4,3,4,0.03125,0.125,0.0566,0.52736,0.672,16.88,0.547
3-5,3,5,0.03125,0.15625,0.06224,0.50943,0.73259,16.3,0.57634
3-6,3,6,0.03125,0.1875,0.06667,0.49224,0.7732,15.75,0.5857
3-7,3,7,0.03125,0.21875,0.07023,0.48424,0.8102,15.5,0.59145
3-8,3,8,0.03125,0.25,0.07317,0.47541,0.83948,15.21,0.58948
4-5,4,5,0.03125,0.15625,0.07463,0.58344,0.73249,18.67,0.57624
4-6,4,6,0.03125,0.1875,0.08108,0.56157,0.7793,17.97,0.5918
4-7,4,7,0.03125,0.21875,0.08642,0.54671,0.81438,17.49,0.59563
4-8,4,8,0.03125,0.25,0.09091,0.53328,0.84353,17.06,0.59353
5-6,5,6,0.03125,0.1875,0.09317,0.62947,0.77665,20.14,0.58915
5-7,5,7,0.03125,0.21875,0.10029,0.6093,0.81693,19.5,0.59818
5-8,5,8,0.03125,0.25,0.10638,0.59119,0.84808,18.92,0.59808
6-7,6,7,0.03125,0.21875,0.1123,0.6603,0.80864,21.13,0.58989
6-8,6,8,0.03125,0.25,0.12,0.64462,0.84544,20.63,0.59544
7-8,7,8,0.03125,0.25,0.13208,0.69499,0.83794,22.24,0.58794
