comparison,k,seed_i,seed_j,top1_agreement,nestedness,spearman,hco
within_k,1,0,1,0.030948,0.030948,-0.000684,-0.000312
within_k,1,0,2,0.029669,0.029669,-0.004375,-0.001632
within_k,1,0,3,0.026921,0.026921,-0.009986,-0.004468
within_k,1,0,4,0.030642,0.030642,-0.00131,-0.000628
within_k,1,0,5,0.029812,0.029812,-0.007035,-0.001484
within_k,1,0,6,0.028975,0.028975,-0.002908,-0.002348
within_k,1,0,7,0.026828,0.026828,-0.003717,-0.004564
within_k,1,1,2,0.031986,0.031986,0.000362,0.00076
within_k,1,1,3,0.032134,0.032134,-0.00011,0.000912
within_k,1,1,4,0.033862,0.033862,-0.000431,0.002696
within_k,1,1,5,0.033098,0.033098,0.0049,0.001908
within_k,1,1,6,0.032486,0.032486,0.011672,0.001276
within_k,1,1,7,0.030676,0.030676,1.1e-05,-0.000592
within_k,1,2,3,0.031417,0.031417,0.008435,0.000172
within_k,1,2,4,0.032025,0.032025,-0.001337,0.0008
within_k,1,2,5,0.031955,0.031955,-0.005157,0.000728
within_k,1,2,6,0.030874,0.030874,-0.007231,-0.000388
within_k,1,2,7,0.03242,0.03242,-4.9e-05,0.001208
within_k,1,3,4,0.029553,0.029553,-0.001544,-0.001752
within_k,1,3,5,0.02994,0.02994,0.002265,-0.001352
within_k,1,3,6,0.031068,0.031068,-0.011357,-0.000188
within_k,1,3,7,0.03161,0.03161,0.003159,0.000372
within_k,1,4,5,0.034172,0.034172,-0.000586,0.003016
within_k,1,4,6,0.034614,0.034614,0.008993,0.003472
within_k,1,4,7,0.032013,0.032013,0.002053,0.000788
within_k,1,5,6,0.030967,0.030967,0.000666,-0.000292
within_k,1,5,7,0.029836,0.029836,-0.003755,-0.00146
within_k,1,6,7,0.031835,0.031835,0.001652,0.000604
within_k,2,0,1,0.029398,0.061657,0.011623,-0.001403
within_k,2,0,2,0.029715,0.064715,0.005605,0.004189
within_k,2,0,3,0.02803,0.059328,-0.006576,-0.005898
within_k,2,0,4,0.035269,0.067148,0.0012,0.009219
within_k,2,0,5,0.031692,0.060086,0.003301,-0.004753
within_k,2,0,6,0.031537,0.060012,-0.002101,-0.005002
within_k,2,0,7,0.031083,0.060369,0.003261,-0.004568
