train_k,infer_k,gap,direction,mean_delta,std_delta,min_delta,max_delta,n_seeds,n_positive,n_negative,sign_ratio_pos,snr,strong_signal
1,2,1,lo_to_hi,-0.011689,0.009494,-0.029131,-0.001066,8,0,8,0.0,1.231,False
1,3,2,lo_to_hi,-0.002164,0.01363,-0.02241,0.013436,8,4,4,0.5,0.159,False
1,4,3,lo_to_hi,0.019161,0.015607,-0.00107,0.038006,8,7,1,0.875,1.228,False
1,5,4,lo_to_hi,0.045784,0.015836,0.021432,0.071047,8,8,0,1.0,2.891,True
1,6,5,lo_to_hi,0.072371,0.015519,0.049616,0.098598,8,8,0,1.0,4.663,True
1,7,6,lo_to_hi,0.09763,0.015327,0.073486,0.121136,8,8,0,1.0,6.37,True
1,8,7,lo_to_hi,0.124332,0.017214,0.09793,0.146513,8,8,0,1.0,7.223,True
2,1,1,hi_to_lo,0.225963,0.021119,0.193191,0.256282,8,8,0,1.0,10.699,True
2,3,1,lo_to_hi,-0.012392,0.004476,-0.019274,-0.005327,8,0,8,0.0,2.769,True
2,4,2,lo_to_hi,-0.005106,0.004481,-0.014418,-0.000901,8,0,8,0.0,1.139,False
2,5,3,lo_to_hi,0.010302,0.005381,0.003402,0.017689,8,8,0,1.0,1.914,False
2,6,4,lo_to_hi,0.032813,0.0068,0.023584,0.041794,8,8,0,1.0,4.825,True
2,7,5,lo_to_hi,0.061211,0.007285,0.051063,0.07211,8,8,0,1.0,8.402,True
2,8,6,lo_to_hi,0.093161,0.009004,0.082084,0.108525,8,8,0,1.0,10.347,True
3,1,2,hi_to_lo,0.537174,0.049311,0.464018,0.63866,8,8,0,1.0,10.894,True
3,2,1,hi_to_lo,0.048773,0.007342,0.036436,0.059952,8,8,0,1.0,6.643,True
3,4,1,lo_to_hi,-0.007735,0.003814,-0.013894,-0.00394,8,0,8,0.0,2.028,True
3,5,2,lo_to_hi,-0.004055,0.004112,-0.008924,0.001578,8,2,6,0.25,0.986,False
3,6,3,lo_to_hi,0.009953,0.004568,0.004205,0.017035,8,8,0,1.0,2.179,True
3,7,4,lo_to_hi,0.030823,0.00651,0.022322,0.039729,8,8,0,1.0,4.734,True
3,8,5,lo_to_hi,0.057694,0.008849,0.046508,0.070808,8,8,0,1.0,6.52,True
4,1,3,hi_to_lo,0.890002,0.059697,0.8139,0.967636,8,8,0,1.0,14.909,True
4,2,2,hi_to_lo,0.123179,0.022944,0.088848,0.157713,8,8,0,1.0,5.369,True
4,3,1,hi_to_lo,0.02333,0.008635,0.01111,0.035376,8,8,0,1.0,2.702,True
4,5,1,lo_to_hi,-0.004984,0.003065,-0.010874,-0.001032,8,0,8,0.0,1.626,False
4,6,2,lo_to_hi,-0.001843,0.004294,-0.010121,0.003476,8,4,4,0.5,0.429,False
4,7,3,lo_to_hi,0.008721,0.007879,-0.004723,0.01806,8,7,1,0.875,1.107,False
4,8,4,lo_to_hi,0.026185,0.012853,0.009847,0.044562,8,8,0,1.0,2.037,True
5,1,4,hi_to_lo,1.122838,0.104829,0.98162,1.281758,8,8,0,1.0,10.711,True
5,2,3,hi_to_lo,0.201686,0.041314,0.164758,0.270509,8,8,0,1.0,4.882,True
5,3,2,hi_to_lo,0.054775,0.014311,0.039518,0.076866,8,8,0,1.0,3.827,True
5,4,1,hi_to_lo,0.016069,0.007128,0.006918,0.0303,8,8,0,1.0,2.254,True
5,6,1,lo_to_hi,-0.004028,0.002063,-0.007877,-0.00152,8,0,8,0.0,1.953,False
5,7,2,lo_to_hi,-0.002444,0.004268,-0.009776,0.003854,8,3,5,0.375,0.573,False
5,8,3,lo_to_hi,0.004177,0.004885,-0.005918,0.010783,8,7,1,0.875,0.855,False
6,1,5,hi_to_lo,1.338452,0.045504,1.243029,1.388323,8,8,0,1.0,29.414,True
6,2,4,hi_to_lo,0.288518,0.018965,0.26919,0.320052,8,8,0,1.0,15.213,True
6,3,3,hi_to_lo,0.097931,0.013008,0.080567,0.119035,8,8,0,1.0,7.529,True
6,4,2,hi_to_lo,0.035111,0.006602,0.029674,0.049233,8,8,0,1.0,5.318,True
6,5,1,hi_to_lo,0.011403,0.004417,0.004182,0.016389,8,8,0,1.0,2.582,True
6,7,1,lo_to_hi,-0.003869,0.002353,-0.007282,-0.000224,8,0,8,0.0,1.644,False
6,8,2,lo_to_hi,-0.001817,0.002922,-0.006885,0.003144,8,1,7,0.125,0.622,False
7,1,6,hi_to_lo,1.517469,0.110331,1.34813,1.671593,8,8,0,1.0,13.754,True
7,2,5,hi_to_lo,0.369404,0.035461,0.311837,0.417321,8,8,0,1.0,10.417,True
7,3,4,hi_to_lo,0.132098,0.012738,0.11677,0.148867,8,8,0,1.0,10.37,True
7,4,3,hi_to_lo,0.055884,0.01058,0.041905,0.075634,8,8,0,1.0,5.282,True
7,5,2,hi_to_lo,0.023556,0.004692,0.016588,0.030102,8,8,0,1.0,5.02,True
7,6,1,hi_to_lo,0.008416,0.002573,0.004356,0.011487,8,8,0,1.0,3.27,True
7,8,1,lo_to_hi,-0.00144,0.003107,-0.005817,0.004654,8,2,6,0.25,0.464,False
8,1,7,hi_to_lo,1.613056,0.076313,1.449645,1.690346,8,8,0,1.0,21.137,True
8,2,6,hi_to_lo,0.422865,0.02774,0.384217,0.470572,8,8,0,1.0,15.244,True
8,3,5,hi_to_lo,0.157041,0.013816,0.139002,0.175505,8,8,0,1.0,11.366,True
8,4,4,hi_to_lo,0.075582,0.011704,0.055181,0.086676,8,8,0,1.0,6.458,True
8,5,3,hi_to_lo,0.040113,0.00801,0.029105,0.053644,8,8,0,1.0,5.008,True
8,6,2,hi_to_lo,0.019528,0.006163,0.011419,0.03166,8,8,0,1.0,3.169,True
8,7,1,hi_to_lo,0.007004,0.002509,0.004101,0.010559,8,8,0,1.0,2.791,True
