pair,metric_name,target,n,pearson,spearman,mean_metric,mean_target
1-2,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-2,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-2,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-2,nestedness,up_delta_loss,3,-0.7761065843057791,-0.5,0.5547805059523809,0.07051944732666016
1-2,nestedness,down_delta_loss,3,0.06958387533598637,0.5,0.5547805059523809,0.22460285822550455
1-2,nestedness,mean_abs_delta_loss,3,-0.5347403758521228,-0.5,0.5547805059523809,0.14756115277608237
1-2,spearman,up_delta_loss,3,-0.7945352518165751,-0.5,0.4567020336786906,0.07051944732666016
1-2,spearman,down_delta_loss,3,0.09925028954999994,0.5,0.4567020336786906,0.22460285822550455
1-2,spearman,mean_abs_delta_loss,3,-0.5093477332816975,-0.5,0.4567020336786906,0.14756115277608237
1-2,top1_agreement,up_delta_loss,3,-0.9999973317829912,-1.0,0.35342261904761907,0.07051944732666016
1-2,top1_agreement,down_delta_loss,3,0.681388770431991,1.0,0.35342261904761907,0.22460285822550455
1-2,top1_agreement,mean_abs_delta_loss,3,0.11555901474721005,0.5,0.35342261904761907,0.14756115277608237
1-2,top_pair_overlap,up_delta_loss,0,nan,nan,nan,nan
1-2,top_pair_overlap,down_delta_loss,0,nan,nan,nan,nan
1-2,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
1-4,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-4,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-4,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-4,nestedness,up_delta_loss,3,-0.9737747391917828,-1.0,0.7900855654761904,-0.02575206756591797
1-4,nestedness,down_delta_loss,3,0.575110303837001,0.5,0.7900855654761904,0.6754310925801595
1-4,nestedness,mean_abs_delta_loss,3,0.5634136880976223,0.5,0.7900855654761904,0.36589519182840985
1-4,spearman,up_delta_loss,3,-0.247652694455163,-0.5,0.44131473700205487,-0.02575206756591797
1-4,spearman,down_delta_loss,3,-0.46024962289249705,-0.5,0.44131473700205487,0.6754310925801595
1-4,spearman,mean_abs_delta_loss,3,-0.47283324375662333,-0.5,0.44131473700205487,0.36589519182840985
1-4,top1_agreement,up_delta_loss,3,-0.3630798288137316,-0.5,0.3425719246031746,-0.02575206756591797
1-4,top1_agreement,down_delta_loss,3,-0.3494292701836505,-0.5,0.3425719246031746,0.6754310925801595
1-4,top1_agreement,mean_abs_delta_loss,3,-0.36272367223121893,-0.5,0.3425719246031746,0.36589519182840985
1-4,top_pair_overlap,up_delta_loss,0,nan,nan,nan,nan
1-4,top_pair_overlap,down_delta_loss,0,nan,nan,nan,nan
1-4,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
2-4,coactivation_cosine,up_delta_loss,3,-0.8652636387740535,-1.0,0.9887129607663558,-0.3336342175801595
2-4,coactivation_cosine,down_delta_loss,3,-0.7934029111718346,-1.0,0.9887129607663558,0.3798009554545085
2-4,coactivation_cosine,mean_abs_delta_loss,3,-0.7681503027049382,-1.0,0.9887129607663558,0.356717586517334
2-4,nestedness,up_delta_loss,3,-0.1993892572919514,-0.5,0.9031498015873017,-0.3336342175801595
2-4,nestedness,down_delta_loss,3,-0.32407269471667016,-0.5,0.9031498015873017,0.3798009554545085
2-4,nestedness,mean_abs_delta_loss,3,-0.36204749018311594,-0.5,0.9031498015873017,0.356717586517334
2-4,spearman,up_delta_loss,3,-0.560388586155318,-0.5,0.7264119585355123,-0.3336342175801595
2-4,spearman,down_delta_loss,3,-0.6625002049461232,-0.5,0.7264119585355123,0.3798009554545085
2-4,spearman,mean_abs_delta_loss,3,-0.6922366554111957,-0.5,0.7264119585355123,0.356717586517334
2-4,top1_agreement,up_delta_loss,3,-0.549589280611748,-0.5,0.6055927579365079,-0.3336342175801595
2-4,top1_agreement,down_delta_loss,3,-0.6527200547957246,-0.5,0.6055927579365079,0.3798009554545085
2-4,top1_agreement,mean_abs_delta_loss,3,-0.6828095915057149,-0.5,0.6055927579365079,0.356717586517334
2-4,top_pair_overlap,up_delta_loss,3,0.8752100905755942,0.8660254037844387,0.30952380952380953,-0.3336342175801595
2-4,top_pair_overlap,down_delta_loss,3,0.9302768161966006,0.8660254037844387,0.30952380952380953,0.3798009554545085
2-4,top_pair_overlap,mean_abs_delta_loss,3,0.9443453455614325,0.8660254037844387,0.30952380952380953,0.356717586517334
