seed,pair,source_train_k,target_train_k,layer_id,rank_in_target_logits,count,share,step_source,step_target
0,1-2,1,2,0,1,1159,0.43117559523809523,6000,3000
0,1-2,1,2,0,2,581,0.21614583333333334,6000,3000
0,1-2,1,2,0,3,411,0.15290178571428573,6000,3000
0,1-2,1,2,0,4,213,0.07924107142857142,6000,3000
0,1-2,1,2,0,5,166,0.061755952380952384,6000,3000
0,1-2,1,2,0,6,85,0.03162202380952381,6000,3000
0,1-2,1,2,0,7,38,0.014136904761904762,6000,3000
0,1-2,1,2,0,8,35,0.013020833333333334,6000,3000
0,1-2,1,2,1,1,1115,0.4148065476190476,6000,3000
0,1-2,1,2,1,2,526,0.1956845238095238,6000,3000
0,1-2,1,2,1,3,354,0.13169642857142858,6000,3000
0,1-2,1,2,1,4,267,0.09933035714285714,6000,3000
0,1-2,1,2,1,5,180,0.06696428571428571,6000,3000
0,1-2,1,2,1,6,136,0.050595238095238096,6000,3000
0,1-2,1,2,1,7,79,0.029389880952380952,6000,3000
0,1-2,1,2,1,8,31,0.011532738095238096,6000,3000
0,1-2,1,2,2,1,950,0.35342261904761907,6000,3000
0,1-2,1,2,2,2,499,0.18563988095238096,6000,3000
0,1-2,1,2,2,3,402,0.14955357142857142,6000,3000
0,1-2,1,2,2,4,296,0.11011904761904762,6000,3000
0,1-2,1,2,2,5,181,0.06733630952380952,6000,3000
0,1-2,1,2,2,6,146,0.05431547619047619,6000,3000
0,1-2,1,2,2,7,121,0.04501488095238095,6000,3000
0,1-2,1,2,2,8,93,0.03459821428571429,6000,3000
0,1-2,1,2,3,1,657,0.24441964285714285,6000,3000
0,1-2,1,2,3,2,476,0.17708333333333334,6000,3000
0,1-2,1,2,3,3,401,0.14918154761904762,6000,3000
0,1-2,1,2,3,4,342,0.12723214285714285,6000,3000
0,1-2,1,2,3,5,274,0.10193452380952381,6000,3000
0,1-2,1,2,3,6,244,0.09077380952380952,6000,3000
0,1-2,1,2,3,7,167,0.06212797619047619,6000,3000
0,1-2,1,2,3,8,127,0.04724702380952381,6000,3000
0,1-4,1,4,0,1,1103,0.4103422619047619,6000,1500
0,1-4,1,4,0,2,639,0.23772321428571427,6000,1500
0,1-4,1,4,0,3,433,0.16108630952380953,6000,1500
0,1-4,1,4,0,4,206,0.07663690476190477,6000,1500
0,1-4,1,4,0,5,164,0.06101190476190476,6000,1500
0,1-4,1,4,0,6,84,0.03125,6000,1500
0,1-4,1,4,0,7,37,0.013764880952380952,6000,1500
0,1-4,1,4,0,8,22,0.00818452380952381,6000,1500
0,1-4,1,4,1,1,1074,0.39955357142857145,6000,1500
0,1-4,1,4,1,2,548,0.20386904761904762,6000,1500
0,1-4,1,4,1,3,387,0.14397321428571427,6000,1500
0,1-4,1,4,1,4,242,0.0900297619047619,6000,1500
0,1-4,1,4,1,5,171,0.06361607142857142,6000,1500
0,1-4,1,4,1,6,147,0.0546875,6000,1500
0,1-4,1,4,1,7,69,0.025669642857142856,6000,1500
0,1-4,1,4,1,8,50,0.018601190476190476,6000,1500
0,1-4,1,4,2,1,871,0.3240327380952381,6000,1500
0,1-4,1,4,2,2,559,0.20796130952380953,6000,1500
0,1-4,1,4,2,3,365,0.13578869047619047,6000,1500
0,1-4,1,4,2,4,295,0.10974702380952381,6000,1500
0,1-4,1,4,2,5,228,0.08482142857142858,6000,1500
0,1-4,1,4,2,6,152,0.05654761904761905,6000,1500
0,1-4,1,4,2,7,111,0.041294642857142856,6000,1500
0,1-4,1,4,2,8,107,0.039806547619047616,6000,1500
0,1-4,1,4,3,1,598,0.22247023809523808,6000,1500
0,1-4,1,4,3,2,459,0.17075892857142858,6000,1500
0,1-4,1,4,3,3,402,0.14955357142857142,6000,1500
0,1-4,1,4,3,4,356,0.1324404761904762,6000,1500
0,1-4,1,4,3,5,292,0.10863095238095238,6000,1500
0,1-4,1,4,3,6,200,0.0744047619047619,6000,1500
0,1-4,1,4,3,7,224,0.08333333333333333,6000,1500
0,1-4,1,4,3,8,157,0.058407738095238096,6000,1500
0,2-4,2,4,0,1,1999,0.7436755952380952,3000,1500
0,2-4,2,4,0,2,496,0.18452380952380953,3000,1500
0,2-4,2,4,0,3,136,0.050595238095238096,3000,1500
0,2-4,2,4,0,4,38,0.014136904761904762,3000,1500
0,2-4,2,4,0,5,16,0.005952380952380952,3000,1500
0,2-4,2,4,0,6,2,0.000744047619047619,3000,1500
0,2-4,2,4,0,7,1,0.0003720238095238095,3000,1500
0,2-4,2,4,0,8,0,0.0,3000,1500
0,2-4,2,4,1,1,1799,0.6692708333333334,3000,1500
0,2-4,2,4,1,2,537,0.19977678571428573,3000,1500
0,2-4,2,4,1,3,206,0.07663690476190477,3000,1500
0,2-4,2,4,1,4,79,0.029389880952380952,3000,1500
0,2-4,2,4,1,5,42,0.015625,3000,1500
