seed,pair,layer_id,metric_name,value,step_a,step_b
0,1-2,0,top1_agreement,0.4060756138392857,6000,3000
0,1-2,0,nestedness,0.6736537388392857,6000,3000
0,1-2,0,spearman,0.6194893717765808,6000,3000
0,1-2,1,top1_agreement,0.37105887276785715,6000,3000
0,1-2,1,nestedness,0.5975864955357143,6000,3000
0,1-2,1,spearman,0.5539949536323547,6000,3000
0,1-2,2,top1_agreement,0.38710239955357145,6000,3000
0,1-2,2,nestedness,0.598876953125,6000,3000
0,1-2,2,spearman,0.4884572923183441,6000,3000
0,1-2,3,top1_agreement,0.29708426339285715,6000,3000
0,1-2,3,nestedness,0.470458984375,6000,3000
0,1-2,3,spearman,0.378662109375,6000,3000
0,1-2,4,top1_agreement,0.2739955357142857,6000,3000
0,1-2,4,nestedness,0.4544154575892857,6000,3000
0,1-2,4,spearman,0.3072028160095215,6000,3000
0,1-2,5,top1_agreement,0.24539620535714285,6000,3000
0,1-2,5,nestedness,0.43397739955357145,6000,3000
0,1-2,5,spearman,0.26334884762763977,6000,3000
0,1-2,6,top1_agreement,0.22314453125,6000,3000
0,1-2,6,nestedness,0.40572684151785715,6000,3000
0,1-2,6,spearman,0.2729641795158386,6000,3000
0,1-2,7,top1_agreement,0.22746930803571427,6000,3000
0,1-2,7,nestedness,0.39488002232142855,6000,3000
0,1-2,7,spearman,0.20949508249759674,6000,3000
0,1-3,0,top1_agreement,0.39847237723214285,6000,2000
0,1-3,0,nestedness,0.8229631696428571,6000,2000
0,1-3,0,spearman,0.6245814561843872,6000,2000
0,1-3,1,top1_agreement,0.37674386160714285,6000,2000
0,1-3,1,nestedness,0.7730538504464286,6000,2000
0,1-3,1,spearman,0.5750641226768494,6000,2000
0,1-3,2,top1_agreement,0.37918526785714285,6000,2000
0,1-3,2,nestedness,0.7496512276785714,6000,2000
0,1-3,2,spearman,0.5051866769790649,6000,2000
0,1-3,3,top1_agreement,0.265869140625,6000,2000
0,1-3,3,nestedness,0.612060546875,6000,2000
0,1-3,3,spearman,0.3602394461631775,6000,2000
0,1-3,4,top1_agreement,0.2775181361607143,6000,2000
0,1-3,4,nestedness,0.5982840401785714,6000,2000
0,1-3,4,spearman,0.3201123774051666,6000,2000
0,1-3,5,top1_agreement,0.21498325892857142,6000,2000
0,1-3,5,nestedness,0.551025390625,6000,2000
0,1-3,5,spearman,0.23545953631401062,6000,2000
0,1-3,6,top1_agreement,0.20954241071428573,6000,2000
0,1-3,6,nestedness,0.5495954241071429,6000,2000
0,1-3,6,spearman,0.24457742273807526,6000,2000
0,1-3,7,top1_agreement,0.213623046875,6000,2000
0,1-3,7,nestedness,0.516845703125,6000,2000
0,1-3,7,spearman,0.23323236405849457,6000,2000
0,1-4,0,top1_agreement,0.4072963169642857,6000,1500
0,1-4,0,nestedness,0.9198172433035714,6000,1500
0,1-4,0,spearman,0.6354872584342957,6000,1500
0,1-4,1,top1_agreement,0.39735630580357145,6000,1500
0,1-4,1,nestedness,0.8753836495535714,6000,1500
0,1-4,1,spearman,0.5828009843826294,6000,1500
0,1-4,2,top1_agreement,0.38480050223214285,6000,1500
0,1-4,2,nestedness,0.8485979352678571,6000,1500
0,1-4,2,spearman,0.5106367468833923,6000,1500
0,1-4,3,top1_agreement,0.29275948660714285,6000,1500
0,1-4,3,nestedness,0.756103515625,6000,1500
0,1-4,3,spearman,0.3771216869354248,6000,1500
0,1-4,4,top1_agreement,0.271484375,6000,1500
0,1-4,4,nestedness,0.7163434709821429,6000,1500
0,1-4,4,spearman,0.31262874603271484,6000,1500
0,1-4,5,top1_agreement,0.24944196428571427,6000,1500
0,1-4,5,nestedness,0.6917898995535714,6000,1500
0,1-4,5,spearman,0.2680937945842743,6000,1500
0,1-4,6,top1_agreement,0.22035435267857142,6000,1500
0,1-4,6,nestedness,0.67041015625,6000,1500
0,1-4,6,spearman,0.2589609622955322,6000,1500
0,1-4,7,top1_agreement,0.22635323660714285,6000,1500
0,1-4,7,nestedness,0.6258719308035714,6000,1500
0,1-4,7,spearman,0.2010265439748764,6000,1500
0,1-5,0,top1_agreement,0.40516880580357145,6000,1200
0,1-5,0,nestedness,0.9653669084821429,6000,1200
0,1-5,0,spearman,0.6318874359130859,6000,1200
0,1-5,1,top1_agreement,0.3792201450892857,6000,1200
0,1-5,1,nestedness,0.9275599888392857,6000,1200
0,1-5,1,spearman,0.5659976601600647,6000,1200
0,1-5,2,top1_agreement,0.3748256138392857,6000,1200
0,1-5,2,nestedness,0.9053431919642857,6000,1200
0,1-5,2,spearman,0.49837321043014526,6000,1200
0,1-5,3,top1_agreement,0.28651646205357145,6000,1200
0,1-5,3,nestedness,0.8511788504464286,6000,1200
0,1-5,3,spearman,0.39620786905288696,6000,1200
0,1-5,4,top1_agreement,0.28895786830357145,6000,1200
0,1-5,4,nestedness,0.8279854910714286,6000,1200
0,1-5,4,spearman,0.3435382544994354,6000,1200
0,1-5,5,top1_agreement,0.24717494419642858,6000,1200
0,1-5,5,nestedness,0.7936662946428571,6000,1200
0,1-5,5,spearman,0.25983288884162903,6000,1200
0,1-5,6,top1_agreement,0.21369280133928573,6000,1200
0,1-5,6,nestedness,0.7882952008928571,6000,1200
0,1-5,6,spearman,0.2651873826980591,6000,1200
0,1-5,7,top1_agreement,0.24278041294642858,6000,1200
0,1-5,7,nestedness,0.7348284040178571,6000,1200
0,1-5,7,spearman,0.22065995633602142,6000,1200
0,1-6,0,top1_agreement,0.40304129464285715,6000,1000
0,1-6,0,nestedness,0.9860142299107143,6000,1000
0,1-6,0,spearman,0.6222521662712097,6000,1000
0,1-6,1,top1_agreement,0.36070033482142855,6000,1000
0,1-6,1,nestedness,0.9596470424107143,6000,1000
0,1-6,1,spearman,0.5594847798347473,6000,1000
0,1-6,2,top1_agreement,0.3768833705357143,6000,1000
0,1-6,2,nestedness,0.9520786830357143,6000,1000
0,1-6,2,spearman,0.5007398724555969,6000,1000
0,1-6,3,top1_agreement,0.2771693638392857,6000,1000
0,1-6,3,nestedness,0.9249790736607143,6000,1000
0,1-6,3,spearman,0.39325907826423645,6000,1000
0,1-6,4,top1_agreement,0.28641183035714285,6000,1000
0,1-6,4,nestedness,0.9010532924107143,6000,1000
0,1-6,4,spearman,0.3362937569618225,6000,1000
0,1-6,5,top1_agreement,0.239990234375,6000,1000
0,1-6,5,nestedness,0.8872419084821429,6000,1000
0,1-6,5,spearman,0.26158836483955383,6000,1000
0,1-6,6,top1_agreement,0.21372767857142858,6000,1000
0,1-6,6,nestedness,0.8517717633928571,6000,1000
0,1-6,6,spearman,0.22013844549655914,6000,1000
0,1-6,7,top1_agreement,0.20458984375,6000,1000
0,1-6,7,nestedness,0.8371233258928571,6000,1000
0,1-6,7,spearman,0.18005786836147308,6000,1000
0,1-7,0,top1_agreement,0.39536830357142855,6000,860
0,1-7,0,nestedness,0.9987095424107143,6000,860
0,1-7,0,spearman,0.6172623038291931,6000,860
0,1-7,1,top1_agreement,0.37008231026785715,6000,860
0,1-7,1,nestedness,0.9896414620535714,6000,860
0,1-7,1,spearman,0.5612917542457581,6000,860
0,1-7,2,top1_agreement,0.37161690848214285,6000,860
0,1-7,2,nestedness,0.9859444754464286,6000,860
0,1-7,2,spearman,0.5011335015296936,6000,860
0,1-7,3,top1_agreement,0.28187779017857145,6000,860
0,1-7,3,nestedness,0.9724818638392857,6000,860
0,1-7,3,spearman,0.3902745842933655,6000,860
0,1-7,4,top1_agreement,0.2869349888392857,6000,860
0,1-7,4,nestedness,0.9658551897321429,6000,860
0,1-7,4,spearman,0.33672723174095154,6000,860
0,1-7,5,top1_agreement,0.23810686383928573,6000,860
0,1-7,5,nestedness,0.9436383928571429,6000,860
0,1-7,5,spearman,0.24966120719909668,6000,860
0,1-7,6,top1_agreement,0.21065848214285715,6000,860
0,1-7,6,nestedness,0.9317452566964286,6000,860
0,1-7,6,spearman,0.23562809824943542,6000,860
0,1-7,7,top1_agreement,0.19398716517857142,6000,860
0,1-7,7,nestedness,0.9151088169642857,6000,860
0,1-7,7,spearman,0.1777983158826828,6000,860
0,1-8,0,top1_agreement,0.3911830357142857,6000,750
0,1-8,0,nestedness,1.0,6000,750
0,1-8,0,spearman,0.611238420009613,6000,750
0,1-8,1,top1_agreement,0.37203543526785715,6000,750
0,1-8,1,nestedness,1.0,6000,750
0,1-8,1,spearman,0.5580406785011292,6000,750
0,1-8,2,top1_agreement,0.36317661830357145,6000,750
0,1-8,2,nestedness,1.0,6000,750
0,1-8,2,spearman,0.4928011894226074,6000,750
