pair,metric_name,target,n,pearson,spearman,mean_metric,mean_target
1-2,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-2,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-2,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-2,nestedness,up_delta_loss,10,-0.4086327860604033,-0.3333333333333333,0.5046138218470982,0.0027160699878420124
1-2,nestedness,down_delta_loss,10,0.23965537400413717,0.23636363636363636,0.5046138218470982,0.20099843304072107
1-2,nestedness,mean_abs_delta_loss,10,0.18091482519713564,0.15151515151515152,0.5046138218470982,0.10276667534240654
1-2,spearman,up_delta_loss,10,-0.21733650633432722,0.01818181818181818,0.39532282650470735,0.0027160699878420124
1-2,spearman,down_delta_loss,10,-0.15713418069233243,-0.3333333333333333,0.39532282650470735,0.20099843304072107
1-2,spearman,mean_abs_delta_loss,10,-0.20331770159038942,-0.28484848484848485,0.39532282650470735,0.10276667534240654
1-2,top1_agreement,up_delta_loss,10,-0.15866039023114065,0.12727272727272726,0.30955287388392855,0.0027160699878420124
1-2,top1_agreement,down_delta_loss,10,0.06505038628640633,-0.10303030303030303,0.30955287388392855,0.20099843304072107
1-2,top1_agreement,mean_abs_delta_loss,10,0.0315390058322726,-0.11515151515151516,0.30955287388392855,0.10276667534240654
1-2,top_pair_overlap,up_delta_loss,0,nan,nan,nan,nan
1-2,top_pair_overlap,down_delta_loss,0,nan,nan,nan,nan
1-2,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
1-3,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-3,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-3,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-3,nestedness,up_delta_loss,10,-0.42665156320551473,-0.34545454545454546,0.6534776960100446,0.025900784986359737
1-3,nestedness,down_delta_loss,10,-0.10875748276319025,-0.3212121212121212,0.6534776960100446,0.5471796152847154
1-3,nestedness,mean_abs_delta_loss,10,-0.19189038023560984,-0.44242424242424244,0.6534776960100446,0.28654020013553755
1-3,spearman,up_delta_loss,10,-0.5847355091152641,-0.7696969696969697,0.40111892223358153,0.025900784986359737
1-3,spearman,down_delta_loss,10,0.2147600252332358,0.2606060606060606,0.40111892223358153,0.5471796152847154
1-3,spearman,mean_abs_delta_loss,10,0.1201460867444088,0.1393939393939394,0.40111892223358153,0.28654020013553755
1-3,top1_agreement,up_delta_loss,10,-0.6624892546265521,-0.6121212121212121,0.30880475725446427,0.025900784986359737
1-3,top1_agreement,down_delta_loss,10,0.14422248240847163,0.22424242424242424,0.30880475725446427,0.5471796152847154
1-3,top1_agreement,mean_abs_delta_loss,10,0.031764744086022915,0.11515151515151516,0.30880475725446427,0.28654020013553755
1-3,top_pair_overlap,up_delta_loss,0,nan,nan,nan,nan
1-3,top_pair_overlap,down_delta_loss,0,nan,nan,nan,nan
1-3,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
1-4,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-4,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-4,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-4,nestedness,up_delta_loss,10,-0.5230237075653934,-0.5393939393939394,0.7670510428292412,0.058836180078131815
1-4,nestedness,down_delta_loss,10,0.39740620242592845,0.01818181818181818,0.7670510428292412,0.7950497879513673
1-4,nestedness,mean_abs_delta_loss,10,0.28349469139382205,-0.04242424242424243,0.7670510428292412,0.4269429840147495
1-4,spearman,up_delta_loss,10,-0.653332203001893,-0.6848484848484848,0.40422323644161223,0.058836180078131815
