seed,pair,layer_id,metric_name,value,step_a,step_b
0,1-2,0,top1_agreement,0.43117559523809523,6000,3000
0,1-2,0,nestedness,0.6473214285714286,6000,3000
0,1-2,0,spearman,0.5920138359069824,6000,3000
0,1-2,1,top1_agreement,0.4148065476190476,6000,3000
0,1-2,1,nestedness,0.6104910714285714,6000,3000
0,1-2,1,spearman,0.5286723971366882,6000,3000
0,1-2,2,top1_agreement,0.35342261904761907,6000,3000
0,1-2,2,nestedness,0.5394345238095238,6000,3000
0,1-2,2,spearman,0.41638320684432983,6000,3000
0,1-2,3,top1_agreement,0.24441964285714285,6000,3000
0,1-2,3,nestedness,0.42150297619047616,6000,3000
0,1-2,3,spearman,0.2912946343421936,6000,3000
0,1-4,0,top1_agreement,0.4103422619047619,6000,1500
0,1-4,0,nestedness,0.8857886904761905,6000,1500
0,1-4,0,spearman,0.5911900997161865,6000,1500
0,1-4,1,top1_agreement,0.39955357142857145,6000,1500
0,1-4,1,nestedness,0.8374255952380952,6000,1500
0,1-4,1,spearman,0.5264934301376343,6000,1500
0,1-4,2,top1_agreement,0.3240327380952381,6000,1500
0,1-4,2,nestedness,0.7775297619047619,6000,1500
0,1-4,2,spearman,0.4022020697593689,6000,1500
0,1-4,3,top1_agreement,0.22247023809523808,6000,1500
0,1-4,3,nestedness,0.6752232142857143,6000,1500
0,1-4,3,spearman,0.22678396105766296,6000,1500
0,2-4,0,top1_agreement,0.7436755952380952,3000,1500
0,2-4,0,nestedness,0.9799107142857143,3000,1500
0,2-4,0,spearman,0.8777369260787964,3000,1500
0,2-4,0,coactivation_cosine,0.9376449280943864,3000,1500
0,2-4,0,top_pair_overlap,0.3333333333333333,3000,1500
0,2-4,1,top1_agreement,0.6688988095238095,3000,1500
0,2-4,1,nestedness,0.9401041666666666,3000,1500
0,2-4,1,spearman,0.7897090911865234,3000,1500
0,2-4,1,coactivation_cosine,0.9683654825695654,3000,1500
0,2-4,1,top_pair_overlap,0.5384615384615384,3000,1500
0,2-4,2,top1_agreement,0.5539434523809523,3000,1500
0,2-4,2,nestedness,0.8697916666666666,3000,1500
0,2-4,2,spearman,0.6507139801979065,3000,1500
0,2-4,2,coactivation_cosine,0.927565159954751,3000,1500
0,2-4,2,top_pair_overlap,0.25,3000,1500
0,2-4,3,top1_agreement,0.41703869047619047,3000,1500
0,2-4,3,nestedness,0.8039434523809523,3000,1500
0,2-4,3,spearman,0.5346247553825378,3000,1500
0,2-4,3,coactivation_cosine,0.9549562225609123,3000,1500
0,2-4,3,top_pair_overlap,0.42857142857142855,3000,1500
1,1-2,0,top1_agreement,0.4505208333333333,6000,3000
1,1-2,0,nestedness,0.6659226190476191,6000,3000
1,1-2,0,spearman,0.6296679973602295,6000,3000
1,1-2,1,top1_agreement,0.3872767857142857,6000,3000
1,1-2,1,nestedness,0.6060267857142857,6000,3000
1,1-2,1,spearman,0.5088311433792114,6000,3000
1,1-2,2,top1_agreement,0.2961309523809524,6000,3000
1,1-2,2,nestedness,0.49813988095238093,6000,3000
1,1-2,2,spearman,0.37308675050735474,6000,3000
1,1-2,3,top1_agreement,0.23177083333333334,6000,3000
