pair,metric_name,target,n,pearson,spearman,mean_metric,mean_target
1-2,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-2,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-2,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-2,nestedness,up_delta_loss,9,-0.11867332755194762,-0.18333333333333332,0.5533027447089948,0.06365818447536892
1-2,nestedness,down_delta_loss,9,0.707988040977431,0.6833333333333333,0.5533027447089948,0.18274789386325413
1-2,nestedness,mean_abs_delta_loss,9,0.6534819658647318,0.7,0.5533027447089948,0.12525206142001682
1-2,spearman,up_delta_loss,9,0.07749220433532346,-0.1,0.45376988583140904,0.06365818447536892
1-2,spearman,down_delta_loss,9,0.46838616509498177,0.4666666666666667,0.45376988583140904,0.18274789386325413
1-2,spearman,mean_abs_delta_loss,9,0.4847899360037316,0.48333333333333334,0.45376988583140904,0.12525206142001682
1-2,top1_agreement,up_delta_loss,9,0.1622161984558234,0.06666666666666667,0.3451760912698413,0.06365818447536892
1-2,top1_agreement,down_delta_loss,9,0.48545367393124134,0.55,0.3451760912698413,0.18274789386325413
1-2,top1_agreement,mean_abs_delta_loss,9,0.5104109276107931,0.5333333333333333,0.3451760912698413,0.12525206142001682
1-2,top_pair_overlap,up_delta_loss,0,nan,nan,nan,nan
1-2,top_pair_overlap,down_delta_loss,0,nan,nan,nan,nan
1-2,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
1-4,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-4,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-4,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-4,nestedness,up_delta_loss,9,0.16795796596950102,-0.05,0.7913463128306879,-0.014844364590115018
1-4,nestedness,down_delta_loss,9,0.15499049164049902,0.23333333333333334,0.7913463128306879,0.6999522315131294
1-4,nestedness,mean_abs_delta_loss,9,0.15029532587600866,0.3,0.7913463128306879,0.3826610247294108
1-4,spearman,up_delta_loss,9,0.2999943572628675,0.35,0.44154749313990277,-0.014844364590115018
1-4,spearman,down_delta_loss,9,-0.23129124308581547,-0.2833333333333333,0.44154749313990277,0.6999522315131294
1-4,spearman,mean_abs_delta_loss,9,-0.25862746505381845,-0.23333333333333334,0.44154749313990277,0.3826610247294108
1-4,top1_agreement,up_delta_loss,9,0.1999620938071149,0.31666666666666665,0.33726025132275134,-0.014844364590115018
1-4,top1_agreement,down_delta_loss,9,-0.35195811396896787,-0.3333333333333333,0.33726025132275134,0.6999522315131294
1-4,top1_agreement,mean_abs_delta_loss,9,-0.3767951295358128,-0.2833333333333333,0.33726025132275134,0.3826610247294108
1-4,top_pair_overlap,up_delta_loss,0,nan,nan,nan,nan
1-4,top_pair_overlap,down_delta_loss,0,nan,nan,nan,nan
1-4,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
2-4,coactivation_cosine,up_delta_loss,9,-0.42574090822259386,-0.35,0.9860744409670771,-0.3284594747755263
2-4,coactivation_cosine,down_delta_loss,9,0.35233241105338753,0.1,0.9860744409670771,0.38896507687038845
2-4,coactivation_cosine,mean_abs_delta_loss,9,0.45045920686688196,0.23333333333333334,0.9860744409670771,0.35871227582295734
2-4,nestedness,up_delta_loss,9,0.30343639693387847,0.26666666666666666,0.9024677579365079,-0.3284594747755263
2-4,nestedness,down_delta_loss,9,-0.0885711581304215,0.06666666666666667,0.9024677579365079,0.38896507687038845
2-4,nestedness,mean_abs_delta_loss,9,-0.21077983591959737,-0.15,0.9024677579365079,0.35871227582295734
2-4,spearman,up_delta_loss,9,0.19538432857577986,0.21666666666666667,0.7245033383369446,-0.3284594747755263
2-4,spearman,down_delta_loss,9,-0.23870690110278311,-0.06666666666666667,0.7245033383369446,0.38896507687038845
2-4,spearman,mean_abs_delta_loss,9,-0.25897459374651166,-0.2,0.7245033383369446,0.35871227582295734
2-4,top1_agreement,up_delta_loss,9,0.3454462773288506,0.3333333333333333,0.6070498511904762,-0.3284594747755263
2-4,top1_agreement,down_delta_loss,9,-0.6017655851594949,-0.55,0.6070498511904762,0.38896507687038845
2-4,top1_agreement,mean_abs_delta_loss,9,-0.5798041478288529,-0.5666666666666667,0.6070498511904762,0.35871227582295734
2-4,top_pair_overlap,up_delta_loss,9,0.07592437212886347,0.051298917604257706,0.39875864875864875,-0.3284594747755263
2-4,top_pair_overlap,down_delta_loss,9,0.6094599280052031,0.6839855680567695,0.39875864875864875,0.38896507687038845
2-4,top_pair_overlap,mean_abs_delta_loss,9,0.3757647517001865,0.4873397172404482,0.39875864875864875,0.35871227582295734
