metric_type,metric_name,seed,checkpoint_step,train_k,inference_k,train_k_b,inference_k_b,pair,value,extra
expert_frequency,max_expert_share,0,0,1,1,,,,0.1526841517857143,
loss,validation_loss,0,0,1,1,,,,5.627902039119175,
expert_frequency,max_expert_share,0,0,1,2,,,,0.14718191964285715,
loss,validation_loss,0,0,1,2,,,,5.625819187164307,
expert_frequency,max_expert_share,0,0,1,4,,,,0.13857840401785715,
loss,validation_loss,0,0,1,4,,,,5.624526440756662,
expert_frequency,max_expert_share,0,500,1,1,,,,0.13566964285714286,
loss,validation_loss,0,500,1,1,,,,0.3806601855584553,
expert_frequency,max_expert_share,0,500,1,2,,,,0.1326060267857143,
loss,validation_loss,0,500,1,2,,,,0.7377440977096558,
expert_frequency,max_expert_share,0,500,1,4,,,,0.13095005580357144,
loss,validation_loss,0,500,1,4,,,,1.1180550513948713,
expert_frequency,max_expert_share,0,1000,1,1,,,,0.13276785714285713,
loss,validation_loss,0,1000,1,1,,,,0.2584774614231927,
expert_frequency,max_expert_share,0,1000,1,2,,,,0.13320033482142857,
loss,validation_loss,0,1000,1,2,,,,0.4221386478628431,
expert_frequency,max_expert_share,0,1000,1,4,,,,0.13018275669642856,
loss,validation_loss,0,1000,1,4,,,,0.8055590483120509,
expert_frequency,max_expert_share,0,2000,1,1,,,,0.13429129464285713,
loss,validation_loss,0,2000,1,1,,,,0.17318545486245837,
expert_frequency,max_expert_share,0,2000,1,2,,,,0.1293638392857143,
loss,validation_loss,0,2000,1,2,,,,0.27662970636572154,
expert_frequency,max_expert_share,0,2000,1,4,,,,0.13262276785714286,
loss,validation_loss,0,2000,1,4,,,,0.5399570303303854,
expert_frequency,max_expert_share,0,4000,1,1,,,,0.13177455357142856,
loss,validation_loss,0,4000,1,1,,,,0.1532873193706785,
expert_frequency,max_expert_share,0,4000,1,2,,,,0.13433314732142856,
loss,validation_loss,0,4000,1,2,,,,0.19406014927795956,
expert_frequency,max_expert_share,0,4000,1,4,,,,0.12938337053571428,
loss,validation_loss,0,4000,1,4,,,,0.4044597659792219,
expert_frequency,max_expert_share,0,6000,1,1,,,,0.13880580357142858,
loss,validation_loss,0,6000,1,1,,,,0.15640827545097896,
expert_frequency,max_expert_share,0,6000,1,2,,,,0.13162667410714285,
loss,validation_loss,0,6000,1,2,,,,0.1778290642159326,
expert_frequency,max_expert_share,0,6000,1,4,,,,0.12939034598214286,
loss,validation_loss,0,6000,1,4,,,,0.29567097195557185,
expert_frequency,max_expert_share,0,0,2,1,,,,0.1526841517857143,
loss,validation_loss,0,0,2,1,,,,5.627902039119175,
expert_frequency,max_expert_share,0,0,2,2,,,,0.14718191964285715,
loss,validation_loss,0,0,2,2,,,,5.625819187164307,
expert_frequency,max_expert_share,0,0,2,4,,,,0.13857840401785715,
loss,validation_loss,0,0,2,4,,,,5.624526440756662,
expert_frequency,max_expert_share,0,250,2,1,,,,0.14080357142857142,
loss,validation_loss,0,250,2,1,,,,1.4154102747780937,
expert_frequency,max_expert_share,0,250,2,2,,,,0.14027064732142858,
loss,validation_loss,0,250,2,2,,,,0.7838774418830872,
expert_frequency,max_expert_share,0,250,2,4,,,,0.13721121651785714,
loss,validation_loss,0,250,2,4,,,,0.9746315261295864,
expert_frequency,max_expert_share,0,500,2,1,,,,0.13752232142857143,
loss,validation_loss,0,500,2,1,,,,0.9224409099987575,
expert_frequency,max_expert_share,0,500,2,2,,,,0.1352260044642857,
loss,validation_loss,0,500,2,2,,,,0.29786974038396563,
expert_frequency,max_expert_share,0,500,2,4,,,,0.13139369419642857,
loss,validation_loss,0,500,2,4,,,,0.486743517943791,
expert_frequency,max_expert_share,0,1000,2,1,,,,0.13768973214285715,
loss,validation_loss,0,1000,2,1,,,,0.7989916018077305,
expert_frequency,max_expert_share,0,1000,2,2,,,,0.1329017857142857,
loss,validation_loss,0,1000,2,2,,,,0.2142658736024584,
expert_frequency,max_expert_share,0,1000,2,4,,,,0.12927036830357144,
loss,validation_loss,0,1000,2,4,,,,0.3098711700098855,
expert_frequency,max_expert_share,0,2000,2,1,,,,0.1380970982142857,
loss,validation_loss,0,2000,2,1,,,,0.5583759265286582,
expert_frequency,max_expert_share,0,2000,2,2,,,,0.13606305803571428,
loss,validation_loss,0,2000,2,2,,,,0.15944247437374934,
expert_frequency,max_expert_share,0,2000,2,4,,,,0.12956333705357143,
loss,validation_loss,0,2000,2,4,,,,0.19833632051944733,
expert_frequency,max_expert_share,0,3000,2,1,,,,0.13683035714285716,
loss,validation_loss,0,3000,2,1,,,,0.484050292628152,
expert_frequency,max_expert_share,0,3000,2,2,,,,0.13508370535714287,
loss,validation_loss,0,3000,2,2,,,,0.1581473353079387,
expert_frequency,max_expert_share,0,3000,2,4,,,,0.13062779017857143,
loss,validation_loss,0,3000,2,4,,,,0.19841062945978982,
expert_frequency,max_expert_share,0,0,4,1,,,,0.1526841517857143,
loss,validation_loss,0,0,4,1,,,,5.627902039119175,
expert_frequency,max_expert_share,0,0,4,2,,,,0.14718191964285715,
loss,validation_loss,0,0,4,2,,,,5.625819187164307,
expert_frequency,max_expert_share,0,0,4,4,,,,0.13857840401785715,
loss,validation_loss,0,0,4,4,,,,5.624526440756662,
expert_frequency,max_expert_share,0,100,4,1,,,,0.1866015625,
loss,validation_loss,0,100,4,1,,,,2.79371919631958,
expert_frequency,max_expert_share,0,100,4,2,,,,0.16655970982142856,
loss,validation_loss,0,100,4,2,,,,2.453225371497018,
expert_frequency,max_expert_share,0,100,4,4,,,,0.14381696428571428,
loss,validation_loss,0,100,4,4,,,,2.2481198842184886,
expert_frequency,max_expert_share,0,500,4,1,,,,0.1554017857142857,
loss,validation_loss,0,500,4,1,,,,2.0007319109780446,
expert_frequency,max_expert_share,0,500,4,2,,,,0.1394921875,
loss,validation_loss,0,500,4,2,,,,0.588115725857871,
expert_frequency,max_expert_share,0,500,4,4,,,,0.13160295758928572,
loss,validation_loss,0,500,4,4,,,,0.28004362659794946,
expert_frequency,max_expert_share,0,1000,4,1,,,,0.15180245535714285,
loss,validation_loss,0,1000,4,1,,,,1.81115220614842,
expert_frequency,max_expert_share,0,1000,4,2,,,,0.13700613839285714,
loss,validation_loss,0,1000,4,2,,,,0.403193211214883,
expert_frequency,max_expert_share,0,1000,4,4,,,,0.13153738839285714,
loss,validation_loss,0,1000,4,4,,,,0.21636278433459147,
expert_frequency,max_expert_share,0,1500,4,1,,,,0.14579799107142857,
loss,validation_loss,0,1500,4,1,,,,1.6217863246372768,
expert_frequency,max_expert_share,0,1500,4,2,,,,0.1344642857142857,
loss,validation_loss,0,1500,4,2,,,,0.3633876022270748,
expert_frequency,max_expert_share,0,1500,4,4,,,,0.13125418526785715,
loss,validation_loss,0,1500,4,4,,,,0.20463364507470813,
expert_frequency,max_expert_share,1,0,1,1,,,,0.170390625,
loss,validation_loss,1,0,1,1,,,,5.657110819135394,
expert_frequency,max_expert_share,1,0,1,2,,,,0.15183872767857143,
loss,validation_loss,1,0,1,2,,,,5.656564374651228,
expert_frequency,max_expert_share,1,0,1,4,,,,0.14341657366071428,
loss,validation_loss,1,0,1,4,,,,5.659373547690255,
expert_frequency,max_expert_share,1,500,1,1,,,,0.14280691964285713,
loss,validation_loss,1,500,1,1,,,,0.3524899023771286,
expert_frequency,max_expert_share,1,500,1,2,,,,0.13289620535714286,
