pair,metric_name,target,n,pearson,spearman,mean_metric,mean_target
1-2,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-2,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-2,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-2,nestedness,up_delta_loss,3,-0.09424654454165411,-0.5,0.5180115327380953,0.03153024585474106
1-2,nestedness,down_delta_loss,3,-0.9662324414087258,-1.0,0.5180115327380953,0.3387019012087868
1-2,nestedness,mean_abs_delta_loss,3,-0.7743321947732779,-0.5,0.5180115327380953,0.18511607353176393
1-2,spearman,up_delta_loss,3,0.11578801584357376,-0.5,0.39923714598019916,0.03153024585474106
1-2,spearman,down_delta_loss,3,-0.998741391205923,-1.0,0.39923714598019916,0.3387019012087868
1-2,spearman,mean_abs_delta_loss,3,-0.6250722707063501,-0.5,0.39923714598019916,0.18511607353176393
1-2,top1_agreement,up_delta_loss,3,0.8372620291842472,0.5,0.3165159970238095,0.03153024585474106
1-2,top1_agreement,down_delta_loss,3,-0.6777991738080251,-0.5,0.3165159970238095,0.3387019012087868
1-2,top1_agreement,mean_abs_delta_loss,3,0.1996337966223857,0.5,0.3165159970238095,0.18511607353176393
1-2,top_pair_overlap,up_delta_loss,0,nan,nan,nan,nan
1-2,top_pair_overlap,down_delta_loss,0,nan,nan,nan,nan
1-2,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
1-4,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-4,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-4,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-4,nestedness,up_delta_loss,3,0.9835553481772535,1.0,0.7570293898809525,0.17429078743571327
1-4,nestedness,down_delta_loss,3,0.13101403621110738,-0.5,0.7570293898809525,1.4512897956371307
1-4,nestedness,mean_abs_delta_loss,3,0.4453915361931497,0.5,0.7570293898809525,0.8127902915364219
1-4,spearman,up_delta_loss,3,0.9729050592690447,1.0,0.38456109166145325,0.17429078743571327
1-4,spearman,down_delta_loss,3,0.07959496678532478,-0.5,0.38456109166145325,1.4512897956371307
1-4,spearman,mean_abs_delta_loss,3,0.39851670354490737,0.5,0.38456109166145325,0.8127902915364219
1-4,top1_agreement,up_delta_loss,3,0.6364855277350017,1.0,0.3055115327380952,0.17429078743571327
1-4,top1_agreement,down_delta_loss,3,-0.5378358939737437,-0.5,0.3055115327380952,1.4512897956371307
1-4,top1_agreement,mean_abs_delta_loss,3,-0.23541762463024468,0.5,0.3055115327380952,0.8127902915364219
1-4,top_pair_overlap,up_delta_loss,0,nan,nan,nan,nan
1-4,top_pair_overlap,down_delta_loss,0,nan,nan,nan,nan
1-4,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
2-4,coactivation_cosine,up_delta_loss,3,-0.9497446040950822,-0.5,0.9788719551260475,0.03369502643744151
2-4,coactivation_cosine,down_delta_loss,3,-0.4016748768420287,-0.5,0.9788719551260475,0.146591789268312
2-4,coactivation_cosine,mean_abs_delta_loss,3,-0.5809995165416736,-0.5,0.9788719551260475,0.09014340785287676
2-4,nestedness,up_delta_loss,3,-0.8223820562926087,-1.0,0.8997879464285714,0.03369502643744151
2-4,nestedness,down_delta_loss,3,-0.9727784669056623,-1.0,0.8997879464285714,0.146591789268312
2-4,nestedness,mean_abs_delta_loss,3,-0.9996286937521389,-1.0,0.8997879464285714,0.09014340785287676
2-4,spearman,up_delta_loss,3,-0.9726498436193534,-1.0,0.7129781246185303,0.03369502643744151
2-4,spearman,down_delta_loss,3,-0.8226973448296738,-1.0,0.7129781246185303,0.146591789268312
2-4,spearman,mean_abs_delta_loss,3,-0.9218203750188435,-1.0,0.7129781246185303,0.09014340785287676
2-4,top1_agreement,up_delta_loss,3,-0.4795841946864101,-0.5,0.6416090029761904,0.03369502643744151
2-4,top1_agreement,down_delta_loss,3,-0.9733137981148743,-0.5,0.6416090029761904,0.146591789268312
2-4,top1_agreement,mean_abs_delta_loss,3,-0.905536938086134,-0.5,0.6416090029761904,0.09014340785287676
2-4,top_pair_overlap,up_delta_loss,3,0.9001050076942978,1.0,0.33730158730158727,0.03369502643744151
2-4,top_pair_overlap,down_delta_loss,3,0.9255585387720695,1.0,0.33730158730158727,0.146591789268312
2-4,top_pair_overlap,mean_abs_delta_loss,3,0.9835420880996238,1.0,0.33730158730158727,0.09014340785287676
