seed,pair,source_train_k,target_train_k,layer_id,rank_in_target_logits,count,share,step_source,step_target
0,1-2,1,2,0,1,16845,0.37600446428571427,6000,3000
0,1-2,1,2,0,2,10905,0.24341517857142858,6000,3000
0,1-2,1,2,0,3,6924,0.15455357142857143,6000,3000
0,1-2,1,2,0,4,4295,0.09587053571428572,6000,3000
0,1-2,1,2,0,5,2940,0.065625,6000,3000
0,1-2,1,2,0,6,1654,0.03691964285714286,6000,3000
0,1-2,1,2,0,7,664,0.014821428571428572,6000,3000
0,1-2,1,2,0,8,573,0.012790178571428572,6000,3000
0,1-2,1,2,1,1,17324,0.38669642857142855,6000,3000
0,1-2,1,2,1,2,9332,0.20830357142857142,6000,3000
0,1-2,1,2,1,3,5931,0.13238839285714285,6000,3000
0,1-2,1,2,1,4,4205,0.09386160714285714,6000,3000
0,1-2,1,2,1,5,2956,0.06598214285714285,6000,3000
0,1-2,1,2,1,6,2273,0.050736607142857146,6000,3000
0,1-2,1,2,1,7,1948,0.04348214285714286,6000,3000
0,1-2,1,2,1,8,831,0.01854910714285714,6000,3000
0,1-2,1,2,2,1,12943,0.28890625,6000,3000
0,1-2,1,2,2,2,8917,0.19904017857142858,6000,3000
0,1-2,1,2,2,3,6014,0.13424107142857142,6000,3000
0,1-2,1,2,2,4,4375,0.09765625,6000,3000
0,1-2,1,2,2,5,4581,0.10225446428571429,6000,3000
0,1-2,1,2,2,6,3782,0.08441964285714286,6000,3000
0,1-2,1,2,2,7,2468,0.055089285714285716,6000,3000
0,1-2,1,2,2,8,1720,0.038392857142857145,6000,3000
0,1-2,1,2,3,1,9670,0.2158482142857143,6000,3000
0,1-2,1,2,3,2,7670,0.17120535714285715,6000,3000
0,1-2,1,2,3,3,6647,0.1483705357142857,6000,3000
0,1-2,1,2,3,4,5623,0.12551339285714286,6000,3000
0,1-2,1,2,3,5,4975,0.11104910714285714,6000,3000
0,1-2,1,2,3,6,4472,0.09982142857142857,6000,3000
0,1-2,1,2,3,7,3390,0.07566964285714285,6000,3000
0,1-2,1,2,3,8,2353,0.052522321428571425,6000,3000
0,1-4,1,4,0,1,16261,0.36296875,6000,1500
0,1-4,1,4,0,2,11296,0.25214285714285717,6000,1500
0,1-4,1,4,0,3,7359,0.16426339285714286,6000,1500
0,1-4,1,4,0,4,4221,0.09421875,6000,1500
0,1-4,1,4,0,5,2577,0.05752232142857143,6000,1500
0,1-4,1,4,0,6,1666,0.0371875,6000,1500
0,1-4,1,4,0,7,979,0.02185267857142857,6000,1500
0,1-4,1,4,0,8,441,0.00984375,6000,1500
0,1-4,1,4,1,1,16292,0.3636607142857143,6000,1500
0,1-4,1,4,1,2,9400,0.20982142857142858,6000,1500
0,1-4,1,4,1,3,6604,0.14741071428571428,6000,1500
0,1-4,1,4,1,4,4278,0.09549107142857143,6000,1500
0,1-4,1,4,1,5,3194,0.07129464285714286,6000,1500
0,1-4,1,4,1,6,2493,0.05564732142857143,6000,1500
0,1-4,1,4,1,7,1361,0.030379464285714287,6000,1500
0,1-4,1,4,1,8,1178,0.026294642857142857,6000,1500
0,1-4,1,4,2,1,11158,0.2490625,6000,1500
0,1-4,1,4,2,2,8021,0.17904017857142857,6000,1500
0,1-4,1,4,2,3,6560,0.14642857142857144,6000,1500
0,1-4,1,4,2,4,5602,0.12504464285714287,6000,1500
0,1-4,1,4,2,5,5014,0.11191964285714286,6000,1500
0,1-4,1,4,2,6,3615,0.08069196428571429,6000,1500
0,1-4,1,4,2,7,2802,0.06254464285714285,6000,1500
0,1-4,1,4,2,8,2028,0.045267857142857144,6000,1500
0,1-4,1,4,3,1,9175,0.20479910714285715,6000,1500
0,1-4,1,4,3,2,5941,0.13261160714285714,6000,1500
0,1-4,1,4,3,3,6118,0.1365625,6000,1500
0,1-4,1,4,3,4,5308,0.11848214285714286,6000,1500
0,1-4,1,4,3,5,5854,0.13066964285714286,6000,1500
0,1-4,1,4,3,6,5243,0.11703125,6000,1500
0,1-4,1,4,3,7,3911,0.08729910714285714,6000,1500
0,1-4,1,4,3,8,3250,0.07254464285714286,6000,1500
0,2-4,2,4,0,1,33707,0.7523883928571429,3000,1500
0,2-4,2,4,0,2,8038,0.17941964285714285,3000,1500
0,2-4,2,4,0,3,2237,0.049933035714285715,3000,1500
0,2-4,2,4,0,4,516,0.011517857142857142,3000,1500
0,2-4,2,4,0,5,273,0.00609375,3000,1500
0,2-4,2,4,0,6,25,0.0005580357142857143,3000,1500
