seed,pair,source_train_k,target_train_k,layer_id,rank_in_target_logits,count,share,step_source,step_target
0,1-2,1,2,0,1,21790,0.4863839285714286,1500,1500
0,1-2,1,2,0,2,11979,0.26738839285714283,1500,1500
0,1-2,1,2,0,3,5857,0.13073660714285715,1500,1500
0,1-2,1,2,0,4,2535,0.05658482142857143,1500,1500
0,1-2,1,2,0,5,1173,0.026183035714285714,1500,1500
0,1-2,1,2,0,6,997,0.022254464285714287,1500,1500
0,1-2,1,2,0,7,232,0.005178571428571428,1500,1500
0,1-2,1,2,0,8,237,0.0052901785714285715,1500,1500
0,1-2,1,2,1,1,20853,0.46546875,1500,1500
0,1-2,1,2,1,2,9939,0.22185267857142857,1500,1500
0,1-2,1,2,1,3,5615,0.12533482142857144,1500,1500
0,1-2,1,2,1,4,3979,0.08881696428571428,1500,1500
0,1-2,1,2,1,5,2211,0.04935267857142857,1500,1500
0,1-2,1,2,1,6,1218,0.0271875,1500,1500
0,1-2,1,2,1,7,589,0.013147321428571428,1500,1500
0,1-2,1,2,1,8,396,0.008839285714285714,1500,1500
0,1-2,1,2,2,1,15613,0.3485044642857143,1500,1500
0,1-2,1,2,2,2,8417,0.18787946428571428,1500,1500
0,1-2,1,2,2,3,6633,0.14805803571428572,1500,1500
0,1-2,1,2,2,4,4547,0.10149553571428571,1500,1500
0,1-2,1,2,2,5,3660,0.08169642857142857,1500,1500
0,1-2,1,2,2,6,2949,0.06582589285714285,1500,1500
0,1-2,1,2,2,7,1811,0.040424107142857144,1500,1500
0,1-2,1,2,2,8,1170,0.02611607142857143,1500,1500
0,1-2,1,2,3,1,14918,0.33299107142857143,1500,1500
0,1-2,1,2,3,2,8328,0.18589285714285714,1500,1500
0,1-2,1,2,3,3,5613,0.12529017857142857,1500,1500
0,1-2,1,2,3,4,4869,0.10868303571428571,1500,1500
0,1-2,1,2,3,5,4024,0.08982142857142857,1500,1500
0,1-2,1,2,3,6,3341,0.07457589285714286,1500,1500
0,1-2,1,2,3,7,2132,0.047589285714285716,1500,1500
0,1-2,1,2,3,8,1575,0.03515625,1500,1500
0,1-4,1,4,0,1,20255,0.45212053571428573,1500,1500
0,1-4,1,4,0,2,12057,0.26912946428571427,1500,1500
0,1-4,1,4,0,3,6623,0.14783482142857143,1500,1500
0,1-4,1,4,0,4,2955,0.06595982142857143,1500,1500
0,1-4,1,4,0,5,1476,0.03294642857142857,1500,1500
0,1-4,1,4,0,6,1050,0.0234375,1500,1500
0,1-4,1,4,0,7,345,0.0077008928571428575,1500,1500
0,1-4,1,4,0,8,39,0.0008705357142857143,1500,1500
0,1-4,1,4,1,1,20467,0.4568526785714286,1500,1500
0,1-4,1,4,1,2,10139,0.2263169642857143,1500,1500
0,1-4,1,4,1,3,5634,0.12575892857142856,1500,1500
0,1-4,1,4,1,4,3173,0.07082589285714286,1500,1500
0,1-4,1,4,1,5,2522,0.056294642857142856,1500,1500
0,1-4,1,4,1,6,1925,0.04296875,1500,1500
0,1-4,1,4,1,7,750,0.016741071428571428,1500,1500
0,1-4,1,4,1,8,190,0.004241071428571428,1500,1500
0,1-4,1,4,2,1,15726,0.3510267857142857,1500,1500
