metric_type,metric_name,seed,checkpoint_step,train_k,inference_k,train_k_b,inference_k_b,pair,value,extra
expert_frequency,max_expert_share,0,0,1,1,,,,0.1526841517857143,
loss,validation_loss,0,0,1,1,,,,5.627902039119175,
expert_frequency,max_expert_share,0,0,1,2,,,,0.14718191964285715,
loss,validation_loss,0,0,1,2,,,,5.625819187164307,
expert_frequency,max_expert_share,0,0,1,4,,,,0.13857840401785715,
loss,validation_loss,0,0,1,4,,,,5.624526440756662,
expert_frequency,max_expert_share,0,100,1,1,,,,0.1378515625,
loss,validation_loss,0,100,1,1,,,,2.4095194339752197,
expert_frequency,max_expert_share,0,100,1,2,,,,0.12932477678571427,
loss,validation_loss,0,100,1,2,,,,2.2725798198154994,
expert_frequency,max_expert_share,0,100,1,4,,,,0.13117745535714287,
loss,validation_loss,0,100,1,4,,,,2.284094993046352,
expert_frequency,max_expert_share,0,500,1,1,,,,0.13566964285714286,
loss,validation_loss,0,500,1,1,,,,0.3806601855584553,
expert_frequency,max_expert_share,0,500,1,2,,,,0.1326060267857143,
loss,validation_loss,0,500,1,2,,,,0.7377440977096558,
expert_frequency,max_expert_share,0,500,1,4,,,,0.13095005580357144,
loss,validation_loss,0,500,1,4,,,,1.1180550513948713,
expert_frequency,max_expert_share,0,1000,1,1,,,,0.13276785714285713,
loss,validation_loss,0,1000,1,1,,,,0.2584774614231927,
expert_frequency,max_expert_share,0,1000,1,2,,,,0.13320033482142857,
loss,validation_loss,0,1000,1,2,,,,0.4221386478628431,
expert_frequency,max_expert_share,0,1000,1,4,,,,0.13018275669642856,
loss,validation_loss,0,1000,1,4,,,,0.8055590483120509,
expert_frequency,max_expert_share,0,1500,1,1,,,,0.138046875,
loss,validation_loss,0,1500,1,1,,,,0.21109083328928266,
expert_frequency,max_expert_share,0,1500,1,2,,,,0.13563337053571428,
loss,validation_loss,0,1500,1,2,,,,0.33713551299912586,
expert_frequency,max_expert_share,0,1500,1,4,,,,0.13379324776785714,
loss,validation_loss,0,1500,1,4,,,,0.6376063105038234,
expert_frequency,max_expert_share,0,0,2,1,,,,0.1526841517857143,
loss,validation_loss,0,0,2,1,,,,5.627902039119175,
expert_frequency,max_expert_share,0,0,2,2,,,,0.14718191964285715,
loss,validation_loss,0,0,2,2,,,,5.625819187164307,
expert_frequency,max_expert_share,0,0,2,4,,,,0.13857840401785715,
loss,validation_loss,0,0,2,4,,,,5.624526440756662,
expert_frequency,max_expert_share,0,100,2,1,,,,0.15485491071428573,
loss,validation_loss,0,100,2,1,,,,2.5676631259918214,
expert_frequency,max_expert_share,0,100,2,2,,,,0.15907087053571428,
loss,validation_loss,0,100,2,2,,,,2.298288858958653,
expert_frequency,max_expert_share,0,100,2,4,,,,0.14906668526785713,
loss,validation_loss,0,100,2,4,,,,2.188592198235648,
expert_frequency,max_expert_share,0,500,2,1,,,,0.13752232142857143,
loss,validation_loss,0,500,2,1,,,,0.9224409099987575,
expert_frequency,max_expert_share,0,500,2,2,,,,0.1352260044642857,
loss,validation_loss,0,500,2,2,,,,0.29786974038396563,
expert_frequency,max_expert_share,0,500,2,4,,,,0.13139369419642857,
loss,validation_loss,0,500,2,4,,,,0.486743517943791,
expert_frequency,max_expert_share,0,1000,2,1,,,,0.13768973214285715,
loss,validation_loss,0,1000,2,1,,,,0.7989916018077305,
expert_frequency,max_expert_share,0,1000,2,2,,,,0.1329017857142857,
loss,validation_loss,0,1000,2,2,,,,0.2142658736024584,
expert_frequency,max_expert_share,0,1000,2,4,,,,0.12927036830357144,
loss,validation_loss,0,1000,2,4,,,,0.3098711700098855,
expert_frequency,max_expert_share,0,1500,2,1,,,,0.13721540178571429,
loss,validation_loss,0,1500,2,1,,,,0.6376710135596139,
expert_frequency,max_expert_share,0,1500,2,2,,,,0.13638113839285715,
loss,validation_loss,0,1500,2,2,,,,0.18929377257823943,
expert_frequency,max_expert_share,0,1500,2,4,,,,0.12765066964285715,
loss,validation_loss,0,1500,2,4,,,,0.2574292038168226,
expert_frequency,max_expert_share,0,0,4,1,,,,0.1526841517857143,
loss,validation_loss,0,0,4,1,,,,5.627902039119175,
expert_frequency,max_expert_share,0,0,4,2,,,,0.14718191964285715,
loss,validation_loss,0,0,4,2,,,,5.625819187164307,
expert_frequency,max_expert_share,0,0,4,4,,,,0.13857840401785715,
loss,validation_loss,0,0,4,4,,,,5.624526440756662,
expert_frequency,max_expert_share,0,100,4,1,,,,0.1866015625,
loss,validation_loss,0,100,4,1,,,,2.79371919631958,
expert_frequency,max_expert_share,0,100,4,2,,,,0.16655970982142856,
loss,validation_loss,0,100,4,2,,,,2.453225371497018,
expert_frequency,max_expert_share,0,100,4,4,,,,0.14381696428571428,
loss,validation_loss,0,100,4,4,,,,2.2481198842184886,
expert_frequency,max_expert_share,0,500,4,1,,,,0.1554017857142857,
loss,validation_loss,0,500,4,1,,,,2.0007319109780446,
expert_frequency,max_expert_share,0,500,4,2,,,,0.1394921875,
loss,validation_loss,0,500,4,2,,,,0.588115725857871,
expert_frequency,max_expert_share,0,500,4,4,,,,0.13160295758928572,
loss,validation_loss,0,500,4,4,,,,0.28004362659794946,
expert_frequency,max_expert_share,0,1000,4,1,,,,0.15180245535714285,
loss,validation_loss,0,1000,4,1,,,,1.81115220614842,
expert_frequency,max_expert_share,0,1000,4,2,,,,0.13700613839285714,
loss,validation_loss,0,1000,4,2,,,,0.403193211214883,
expert_frequency,max_expert_share,0,1000,4,4,,,,0.13153738839285714,
loss,validation_loss,0,1000,4,4,,,,0.21636278433459147,
expert_frequency,max_expert_share,0,1500,4,1,,,,0.14579799107142857,
loss,validation_loss,0,1500,4,1,,,,1.6217863246372768,
expert_frequency,max_expert_share,0,1500,4,2,,,,0.1344642857142857,
loss,validation_loss,0,1500,4,2,,,,0.3633876022270748,
expert_frequency,max_expert_share,0,1500,4,4,,,,0.13125418526785715,
loss,validation_loss,0,1500,4,4,,,,0.20463364507470813,
expert_frequency,max_expert_share,1,0,1,1,,,,0.170390625,
loss,validation_loss,1,0,1,1,,,,5.657110819135394,
expert_frequency,max_expert_share,1,0,1,2,,,,0.15183872767857143,
loss,validation_loss,1,0,1,2,,,,5.656564374651228,
expert_frequency,max_expert_share,1,0,1,4,,,,0.14341657366071428,
loss,validation_loss,1,0,1,4,,,,5.659373547690255,
expert_frequency,max_expert_share,1,100,1,1,,,,0.14741629464285713,
loss,validation_loss,1,100,1,1,,,,2.334067724772862,
expert_frequency,max_expert_share,1,100,1,2,,,,0.1330189732142857,
loss,validation_loss,1,100,1,2,,,,2.2208992440359934,
expert_frequency,max_expert_share,1,100,1,4,,,,0.12928850446428572,
loss,validation_loss,1,100,1,4,,,,2.2483776814596994,
expert_frequency,max_expert_share,1,500,1,1,,,,0.14280691964285713,
loss,validation_loss,1,500,1,1,,,,0.3524899023771286,
expert_frequency,max_expert_share,1,500,1,2,,,,0.13289620535714286,
loss,validation_loss,1,500,1,2,,,,0.6664856566701617,
expert_frequency,max_expert_share,1,500,1,4,,,,0.1287876674107143,
loss,validation_loss,1,500,1,4,,,,1.123230252947126,
expert_frequency,max_expert_share,1,1000,1,1,,,,0.136796875,
loss,validation_loss,1,1000,1,1,,,,0.2212868355853217,
expert_frequency,max_expert_share,1,1000,1,2,,,,0.13046875,
loss,validation_loss,1,1000,1,2,,,,0.4319563148702894,
