seed,train_k,inference_k,same_compute,fixed_step,fixed_minus_same
0,1,2,-0.019780996299925302,-0.010045425286368703,0.009735571013556599
0,1,3,-0.022410074869791685,0.04315426898381064,0.06556434385360232
0,1,4,-0.0010695840631212428,0.09630296249238268,0.09737254655550392
0,1,5,0.04045227879569646,0.14919357167349923,0.10874129287780276
0,1,6,0.07292546828587848,0.20613618029488456,0.13321071200900608
0,1,7,0.09635398643357412,0.2570588654941983,0.1607048790606242
0,1,8,0.12452394337881179,0.308813404469263,0.1842894610904512
0,2,1,0.23628138076691402,0.24212855195242267,0.005847171185508648
0,2,3,-0.014320237295968152,-0.0019493840989612266,0.012370853197006926
0,2,4,-0.007842767806280182,0.010056900599646201,0.017899668405926383
0,2,5,0.004477649927139282,0.04670503025963196,0.04222738033249268
0,2,6,0.023583978414535522,0.09207743500906324,0.06849345659452771
0,2,7,0.05162138172558378,0.14578499491252594,0.09416361318694216
0,2,8,0.08447513977686566,0.20134091944921584,0.11686577967235018
0,3,1,0.5201347640582492,0.5067838893996344,-0.013350874658614842
0,3,2,0.04441693992841811,0.03922026214145474,-0.005196677786963366
0,3,4,-0.003939794642584704,-0.011476461849515396,-0.007536667206930692
0,3,5,0.0007946704115186498,-0.0005390908983018972,-0.001333761309820547
0,3,6,0.014697124560674013,0.020471499079749655,0.005774374519075642
0,3,7,0.03270146534556434,0.05018297263554161,0.01748150728997727
0,3,8,0.058687340645563024,0.08662643035252887,0.027939089706965847
0,4,1,0.9326749131793068,0.9326749131793066,-2.220446049250313e-16
0,4,2,0.12375943291754948,0.12375943244449678,-4.730527081164837e-10
0,4,3,0.02759019746666863,0.02759019344572039,-4.020948241034716e-09
0,4,5,-0.00745862012817744,-0.007458624385652091,-4.2574746506041095e-09
0,4,6,-0.0034745846475873754,-0.00347458180927096,2.838316415232356e-09
0,4,7,0.012750543299175465,0.012750542353069994,-9.461054717441186e-10
0,4,8,0.03226918265933082,0.032269164683326856,-1.7976003963138254e-08
0,5,1,0.9816200690610069,0.9246959629512967,-0.056924106109710104
0,5,2,0.16475843531744822,0.14222376119522823,-0.02253467412221999
0,5,3,0.03951800721032278,0.04611422239787999,0.006596215187557208
0,5,4,0.006918188361894506,0.012744514715103905,0.005826326353209399
0,5,6,-0.00290039039793466,-0.0016199482811821708,0.0012804421167524893
0,5,7,0.001201162735621153,0.0052468313111199705,0.0040456685754988175
0,5,8,0.006022074392863674,0.013289227372124124,0.0072671529792604495
0,6,1,1.3555742225476675,1.2210362771200756,-0.1345379454275919
0,6,2,0.2781240805273964,0.2822853024043734,0.004161221876976984
0,6,3,0.0805669348864328,0.0739081937169272,-0.0066587411695056
0,6,4,0.02967369059721625,0.022352148616124723,-0.007321541981091528
0,6,5,0.0058553800696418135,0.011022459892999548,0.005167079823357734
0,6,7,-0.00022380408786593087,-6.774777457829728e-05,0.00015605631328763359
0,6,8,0.0031444075561704588,0.005557162421090278,0.0024127548649198194
0,7,1,1.3481295080412004,1.2905100338042728,-0.05761947423692759
0,7,2,0.3118367989857991,0.2911311047417777,-0.020705694244021355
0,7,3,0.12209332840783249,0.09869008877920726,-0.023403239628625228
0,7,4,0.04837284343583237,0.03842314178981476,-0.009949701646017606
0,7,5,0.01958791698728285,0.016435477468702553,-0.0031524395185802967
0,7,6,0.009212126334508242,0.0035741821167961096,-0.005637944217712132
0,7,8,-0.0012252912634895252,0.0006895642431955507,0.0019148555066850759
0,8,1,1.5613863397212258,1.4390710961251032,-0.12231524359612256
0,8,2,0.4705716641176315,0.34092837193655584,-0.12964329218107568
0,8,3,0.1755046801907676,0.1231975498653593,-0.05230713032540829
0,8,4,0.08450851412046523,0.04490468426356237,-0.03960382985690286
0,8,5,0.03917872054236282,0.02071068873481141,-0.01846803180755141
0,8,6,0.014912383896963921,0.013630981483156668,-0.0012814024138072533
0,8,7,0.007660765023458582,0.004806307573167079,-0.0028544574502915032
1,1,2,-0.008597924595787398,-0.012503819806235217,-0.0039058952104478184
1,1,3,-0.00502998204458327,0.03174219718055116,0.03677217922513443
1,1,4,0.011169745808556009,0.0767196331705366,0.06554988736198059
1,1,5,0.034183907366934274,0.12649188249830218,0.0923079751313679
1,1,6,0.06066796396459856,0.18683585950306486,0.1261678955384663
1,1,7,0.08640295905726297,0.2413790727418566,0.15497611368459363
1,1,8,0.10979203737917403,0.28910672948473976,0.17931469210556572
1,2,1,0.21957771763915107,0.24597106093452092,0.026393343295369853
1,2,3,-0.0130927605288369,-0.016333974543071894,-0.0032412140142349943
1,2,4,-0.0048293293941588655,0.0018945904005141512,0.006723919794673017
1,2,5,0.008504627006394538,0.03768645676355514,0.029181829757160604
1,2,6,0.03211942527975359,0.09349375300937235,0.06137432772961876
1,2,7,0.05749020051388515,0.15062304905482704,0.09313284854094189
1,2,8,0.08640448039486298,0.20735448315030058,0.1209500027554376
1,3,1,0.6386600817952838,0.5837550428178575,-0.05490503897742627
1,3,2,0.05675223895481657,0.045740021599663616,-0.011012217355152953
