seed,train_k,step,checkpoint_type,floating_dtype,state_tensors,bytes,path
0,1,1500,full_model,float16,1101,154576670,checkpoints/final_seed0_train1_step1500_float16.pt
0,1,1500,router_only,float32,8,200931,checkpoints/router_seed0_train1_step1500_float32.pt
0,2,1500,full_model,float16,1101,154576670,checkpoints/final_seed0_train2_step1500_float16.pt
0,2,1500,router_only,float32,8,200931,checkpoints/router_seed0_train2_step1500_float32.pt
0,3,1500,full_model,float16,1101,154576670,checkpoints/final_seed0_train3_step1500_float16.pt
0,3,1500,router_only,float32,8,200931,checkpoints/router_seed0_train3_step1500_float32.pt
0,4,1500,full_model,float16,1101,154576670,checkpoints/final_seed0_train4_step1500_float16.pt
0,4,1500,router_only,float32,8,200931,checkpoints/router_seed0_train4_step1500_float32.pt
0,5,1500,full_model,float16,1101,154576670,checkpoints/final_seed0_train5_step1500_float16.pt
0,5,1500,router_only,float32,8,200931,checkpoints/router_seed0_train5_step1500_float32.pt
0,6,1500,full_model,float16,1101,154576670,checkpoints/final_seed0_train6_step1500_float16.pt
0,6,1500,router_only,float32,8,200931,checkpoints/router_seed0_train6_step1500_float32.pt
0,7,1500,full_model,float16,1101,154576670,checkpoints/final_seed0_train7_step1500_float16.pt
0,7,1500,router_only,float32,8,200931,checkpoints/router_seed0_train7_step1500_float32.pt
0,8,1500,full_model,float16,1101,154576670,checkpoints/final_seed0_train8_step1500_float16.pt
0,8,1500,router_only,float32,8,200931,checkpoints/router_seed0_train8_step1500_float32.pt
1,1,1500,full_model,float16,1101,154576670,checkpoints/final_seed1_train1_step1500_float16.pt
1,1,1500,router_only,float32,8,200931,checkpoints/router_seed1_train1_step1500_float32.pt
1,2,1500,full_model,float16,1101,154576670,checkpoints/final_seed1_train2_step1500_float16.pt
1,2,1500,router_only,float32,8,200931,checkpoints/router_seed1_train2_step1500_float32.pt
1,3,1500,full_model,float16,1101,154576670,checkpoints/final_seed1_train3_step1500_float16.pt
1,3,1500,router_only,float32,8,200931,checkpoints/router_seed1_train3_step1500_float32.pt
1,4,1500,full_model,float16,1101,154576670,checkpoints/final_seed1_train4_step1500_float16.pt
1,4,1500,router_only,float32,8,200931,checkpoints/router_seed1_train4_step1500_float32.pt
1,5,1500,full_model,float16,1101,154576670,checkpoints/final_seed1_train5_step1500_float16.pt
1,5,1500,router_only,float32,8,200931,checkpoints/router_seed1_train5_step1500_float32.pt
1,6,1500,full_model,float16,1101,154576670,checkpoints/final_seed1_train6_step1500_float16.pt
1,6,1500,router_only,float32,8,200931,checkpoints/router_seed1_train6_step1500_float32.pt
1,7,1500,full_model,float16,1101,154576670,checkpoints/final_seed1_train7_step1500_float16.pt
1,7,1500,router_only,float32,8,200931,checkpoints/router_seed1_train7_step1500_float32.pt
1,8,1500,full_model,float16,1101,154576670,checkpoints/final_seed1_train8_step1500_float16.pt
1,8,1500,router_only,float32,8,200931,checkpoints/router_seed1_train8_step1500_float32.pt
2,1,1500,full_model,float16,1101,154576670,checkpoints/final_seed2_train1_step1500_float16.pt
2,1,1500,router_only,float32,8,200931,checkpoints/router_seed2_train1_step1500_float32.pt
2,2,1500,full_model,float16,1101,154576670,checkpoints/final_seed2_train2_step1500_float16.pt
2,2,1500,router_only,float32,8,200931,checkpoints/router_seed2_train2_step1500_float32.pt
2,3,1500,full_model,float16,1101,154576670,checkpoints/final_seed2_train3_step1500_float16.pt
2,3,1500,router_only,float32,8,200931,checkpoints/router_seed2_train3_step1500_float32.pt
2,4,1500,full_model,float16,1101,154576670,checkpoints/final_seed2_train4_step1500_float16.pt
2,4,1500,router_only,float32,8,200931,checkpoints/router_seed2_train4_step1500_float32.pt
2,5,1500,full_model,float16,1101,154576670,checkpoints/final_seed2_train5_step1500_float16.pt
2,5,1500,router_only,float32,8,200931,checkpoints/router_seed2_train5_step1500_float32.pt
2,6,1500,full_model,float16,1101,154576670,checkpoints/final_seed2_train6_step1500_float16.pt
2,6,1500,router_only,float32,8,200931,checkpoints/router_seed2_train6_step1500_float32.pt
2,7,1500,full_model,float16,1101,154576670,checkpoints/final_seed2_train7_step1500_float16.pt
2,7,1500,router_only,float32,8,200931,checkpoints/router_seed2_train7_step1500_float32.pt
2,8,1500,full_model,float16,1101,154576670,checkpoints/final_seed2_train8_step1500_float16.pt
2,8,1500,router_only,float32,8,200931,checkpoints/router_seed2_train8_step1500_float32.pt
