pair,layer_id,rbo_p90,rbo_p95,kendall_tau,mean_absolute_rank_displacement,normalized_footrule_similarity,top1_overlap,top4_overlap,top8_overlap,selected_containment_a,selected_containment_b,selected_jaccard,hypergeometric_calibrated_overlap,empirical_observed_overlap,empirical_null_overlap,empirical_ceiling_overlap,empirical_alignment_headroom,frequency_adjusted_overlap,empirical_ceiling_utilization,empirical_num_samples,selected_union_kendall_tau,common_selected_kendall_tau,common_pairwise_order_agreement,common_selected_exact_order_fraction,full_containment_record_fraction,ordered_containment_record_fraction,contained_exact_order_fraction,common_selected_record_mean_tau,common_selected_valid_record_fraction,common_pair_coverage,num_seeds
1-2,-1,0.5271040913520927,0.6721343481343934,0.4132336032006048,6.593530806284103,0.5879043246072436,0.23230303406084654,0.4005133411871693,0.5271859951120205,0.3606848338293651,0.18034241691468256,0.18034241691468256,0.3180638227513227,0.36068483382936506,0.21099540884801024,0.36068612557870366,0.1496907167306934,0.18972232514931955,0.9999914531686377,336.0,-0.29218336640211634,nan,nan,nan,0.3606848338293651,nan,nan,nan,0.0,nan,3
1-2,0,0.6870747971028512,0.7875762889222483,0.6588843560987903,3.974700443328373,0.7515812222919767,0.4302662037037037,0.6025648974867724,0.7031611689814815,0.6208664021164022,0.3104332010582011,0.3104332010582011,0.5955908289241623,0.6208664021164022,0.39416934031295736,0.6208664021164022,0.22669706180344473,0.374192942864268,1.0,336.0,0.009142140652557328,nan,nan,nan,0.6208664021164022,nan,nan,nan,0.0,nan,3
1-2,1,0.6039443752870226,0.728099253890449,0.5350033339633736,5.319649832589286,0.6675218854631696,0.3165405919312169,0.49895109953703703,0.615966796875,0.4787739748677249,0.23938698743386244,0.23938698743386244,0.44402557319223984,0.4787739748677248,0.2833139406028369,0.4795283564814814,0.1962144158786446,0.27261927925706175,0.9960748060105203,336.0,-0.1638764880952381,nan,nan,nan,0.4787739748677249,nan,nan,nan,0.0,nan,3
1-2,2,0.5395560098323743,0.6811076083732664,0.4330404958417338,6.410855732266865,0.5993215167333209,0.23981068121693125,0.4168397610780423,0.5447281125992064,0.3797743055555555,0.18988715277777776,0.18988715277777776,0.33842592592592596,0.3797743055555555,0.22350209846054261,0.38141741071428575,0.15791531225374308,0.2012814681143711,0.9895100251639525,336.0,-0.28751240079365076,nan,nan,nan,0.3797743055555555,nan,nan,nan,0.0,nan,3
1-2,3,0.4913906521032494,0.6463676097009645,0.35884471606182794,7.1862547536375665,0.5508590778976521,0.18437913359788358,0.35650473296957674,0.4883613384589947,0.300925925925926,0.150462962962963,0.150462962962963,0.25432098765432093,0.30092592592592593,0.18192601915175052,0.30425347222222227,0.1223274530704717,0.1455809810735209,0.97257170697652,336.0,-0.36584408068783064,nan,nan,nan,0.300925925925926,nan,nan,nan,0.0,nan,3
1-2,4,0.46589934931881993,0.6275307627491717,0.31287933677755375,7.6378012359457665,0.5226374227533895,0.16107597552910055,0.32309751157407407,0.45855034722222227,0.2646329365079365,0.13231646825396826,0.13231646825396826,0.2156084656084656,0.2646329365079365,0.15532499753743104,0.26801215277777785,0.11268715524034677,0.1294064885897892,0.9699009480628699,336.0,-0.404286541005291,nan,nan,nan,0.2646329365079365,nan,nan,nan,0.0,nan,3
1-2,5,0.46621243256667927,0.6271072288385432,0.31003102948588707,7.680374710648148,0.5199765805844908,0.1720713458994709,0.32406115658068785,0.4560598544973545,0.273323826058201,0.1366619130291005,0.1366619130291005,0.22487874779541442,0.2733238260582011,0.1536095544157379,0.2780981316137566,0.12448857719801872,0.14155726867136384,0.9606515602337614,336.0,-0.37834821428571425,nan,nan,nan,0.273323826058201,nan,nan,nan,0.0,nan,3
1-2,6,0.4619751205074442,0.6258333065300499,0.31763220346102156,7.585102384052579,0.5259311009967137,0.1470940806878307,0.3165612599206349,0.4575337404927249,0.2459180720899471,0.12295903604497355,0.12295903604497355,0.19564594356261025,0.24591807208994707,0.13630692931723515,0.2504650297619048,0.11415810044466963,0.12692333554010657,0.9602777063939957,336.0,-0.4245962852733685,nan,nan,nan,0.2459180720899471,nan,nan,nan,0.0,nan,3
1-2,7,0.5007799940983011,0.6534527260704538,0.3795533539146505,6.9535073578042335,0.5654057901372355,0.2071862599206349,0.3655263103505291,0.49312660176917994,0.3212632275132275,0.16063161375661375,0.16063161375661375,0.27601410934744264,0.32126322751322756,0.15981039098559047,0.32522114748677255,0.1654107565011821,0.19204336812656866,0.9759189118226113,336.0,-0.3221450617283951,nan,nan,nan,0.3212632275132275,nan,nan,nan,0.0,nan,3
1-3,-1,0.5269103061089159,0.6716935083156595,0.4096375332083753,6.628988033880002,0.5856882478825,0.2319490947420635,0.4018202685805225,0.5266954533006779,0.45605856274801587,0.1520195209160053,0.15201952091600532,0.3997887588943623,0.4560585627480158,0.2811268165843465,0.4560585627480158,0.17493174616366933,0.24336726083297866,1.0,336.0,-0.11638962949184302,nan,nan,nan,0.45605856274801587,nan,nan,nan,0.0,nan,3
1-3,0,0.6912860122156008,0.7901550898212274,0.6609628328713036,3.952548233920304,0.7529657353799809,0.43977347883597884,0.6078249007936508,0.7069589120370369,0.7463107638888888,0.24877025462962962,0.24877025462962962,0.7200670498084291,0.7463107638888888,0.49881225022514925,0.7463314318783069,0.24751918165315764,0.4940676671706708,0.9999154081603255,336.0,0.16844066909171077,nan,nan,nan,0.7463107638888888,nan,nan,nan,0.0,nan,3
1-3,1,0.6084402003717804,0.731223251526537,0.5406106928343414,5.260881050553902,0.6711949343403812,0.3121383101851852,0.5061099743716931,0.6209787843088624,0.6025648974867726,0.20085496582892415,0.20085496582892415,0.5614509213647145,0.6025648974867726,0.37226764782449623,0.6031952711640212,0.230927623339525,0.3667622760558682,0.9971845596445464,336.0,0.0057870370370370445,nan,nan,nan,0.6025648974867726,nan,nan,nan,0.0,nan,3
1-3,2,0.5440720279014936,0.6845548923586676,0.44171930128528225,6.3189697265625,0.6050643920898438,0.24168113425925927,0.42194992146164023,0.5495618386243386,0.4886222718253969,0.1628740906084656,0.1628740906084656,0.43572112753147235,0.4886222718253969,0.3030386781633457,0.4899553571428572,0.1869166789795115,0.26643350302494007,0.992900385523633,336.0,-0.0990272266313933,nan,nan,nan,0.4886222718253969,nan,nan,nan,0.0,nan,3
1-3,3,0.49003847783349874,0.6455547629223558,0.3555599745883737,7.205824110243056,0.549635993109809,0.17724867724867724,0.3542880911044974,0.48954587260251325,0.3801359953703704,0.12671199845679013,0.12671199845679013,0.3160121328224777,0.3801359953703704,0.24213890823764492,0.38314318783068785,0.14100427959304287,0.1821407075521806,0.9786452840524577,336.0,-0.1890225418871252,nan,nan,nan,0.3801359953703704,nan,nan,nan,0.0,nan,3
1-3,4,0.46700174842065967,0.6279155919126231,0.3106144730762769,7.663638806216931,0.5210225746114417,0.16437251984126985,0.32758763227513227,0.45968191964285715,0.3519345238095238,0.11731150793650792,0.11731150793650792,0.28489326765188844,0.3519345238095239,0.22234666990318586,0.35578910383597884,0.13344243393279298,0.16661893356206117,0.9711428635404241,336.0,-0.21489541997354497,nan,nan,nan,0.3519345238095238,nan,nan,nan,0.0,nan,3
1-3,5,0.461678015351859,0.6236193757229438,0.3000022313928092,7.776457609953703,0.5139713993778936,0.16773106812169314,0.3195555348875661,0.450714595734127,0.3486483134920635,0.11621610449735449,0.11621610449735449,0.2812671045429666,0.3486483134920635,0.20612031936001352,0.3530299272486772,0.14690960788866372,0.1796088307538495,0.9699003642082236,336.0,-0.21034157297178133,nan,nan,nan,0.3486483134920635,nan,nan,nan,0.0,nan,3
1-3,6,0.45889554156387935,0.6233299915336636,0.30978557627688175,7.668833576182209,0.520697901488612,0.1501632771164021,0.31364448991402116,0.45224919394841273,0.31572420634920634,0.10524140211640214,0.1052414021164021,0.2449370552818829,0.31572420634920634,0.18623947251773046,0.3206018518518519,0.1343623793341214,0.15914901143502133,0.9636273556343237,336.0,-0.23595954585537923,nan,nan,nan,0.31572420634920634,nan,nan,nan,0.0,nan,3
1-3,7,0.49387042521255536,0.6471951107272577,0.3578451833417338,7.184751157407407,0.5509530526620371,0.20248429232804233,0.36360160383597884,0.4838725095072751,0.4145275297619047,0.13817584325396826,0.13817584325396826,0.3539614121510673,0.4145275297619048,0.21805058644320616,0.41864045965608465,0.2005898732128785,0.2513114544575528,0.9792544059201856,336.0,-0.15609843474426807,nan,nan,nan,0.4145275297619047,nan,nan,nan,0.0,nan,3
1-4,-1,0.5275988719037795,0.6722096129014311,0.41121698194934475,6.617801080935846,0.5863874324415096,0.23166361813822753,0.40319791925016535,0.5277002728174603,0.5307746362433863,0.13269365906084657,0.13269365906084657,0.4637424414210129,0.5307746362433863,0.3408466421992851,0.530782386739418,0.18993574454013293,0.2881722134547473,0.9999594750611909,336.0,-0.01610484182098766,nan,nan,nan,0.5307746362433863,nan,nan,nan,0.0,nan,3
1-4,0,0.6955162722592517,0.7928286831603977,0.6640946583081317,3.922458224826389,0.7548463609483508,0.4468832671957672,0.6166113797949736,0.7118830605158729,0.8211392195767195,0.20528480489417988,0.20528480489417988,0.795587679516251,0.8211392195767195,0.5787281095209952,0.8211392195767195,0.24241111005572438,0.5753575018065776,1.0,336.0,0.2618427579365079,nan,nan,nan,0.8211392195767195,nan,nan,nan,0.0,nan,3
