seed,pair,layer_id,intersection_size,count,share
0,1-2,0,0,12279,0.3806733630952381
0,1-2,0,1,19977,0.6193266369047619
0,1-2,1,0,17670,0.5478050595238095
0,1-2,1,1,14586,0.45219494047619047
0,1-2,2,0,20238,0.6274181547619048
0,1-2,2,1,12018,0.37258184523809523
0,1-2,3,0,21783,0.6753162202380952
0,1-2,3,1,10473,0.32468377976190477
0,1-2,4,0,23797,0.7377542162698413
0,1-2,4,1,8459,0.2622457837301587
0,1-2,5,0,23614,0.7320808531746031
0,1-2,5,1,8642,0.2679191468253968
0,1-2,6,0,24332,0.7543402777777778
0,1-2,6,1,7924,0.2456597222222222
0,1-2,7,0,22051,0.683624751984127
0,1-2,7,1,10205,0.316375248015873
0,1-2,-1,0,165764,0.6423766121031746
0,1-2,-1,1,92284,0.3576233878968254
0,1-3,0,0,8769,0.27185639880952384
0,1-3,0,1,23487,0.7281436011904762
0,1-3,1,0,13139,0.4073350694444444
0,1-3,1,1,19117,0.5926649305555556
0,1-3,2,0,17110,0.5304439484126984
0,1-3,2,1,15146,0.46955605158730157
0,1-3,3,0,19703,0.6108320932539683
0,1-3,3,1,12553,0.38916790674603174
0,1-3,4,0,20868,0.6469494047619048
0,1-3,4,1,11388,0.35305059523809523
0,1-3,5,0,21515,0.6670076884920635
0,1-3,5,1,10741,0.3329923115079365
0,1-3,6,0,22299,0.6913132440476191
0,1-3,6,1,9957,0.30868675595238093
0,1-3,7,0,19182,0.5946800595238095
0,1-3,7,1,13074,0.40531994047619047
0,1-3,-1,0,142585,0.552552238343254
0,1-3,-1,1,115463,0.44744776165674605
0,1-4,0,0,5868,0.18191964285714285
0,1-4,0,1,26388,0.8180803571428571
0,1-4,1,0,10859,0.33665054563492064
0,1-4,1,1,21397,0.6633494543650794
0,1-4,2,0,13977,0.43331473214285715
0,1-4,2,1,18279,0.5666852678571429
0,1-4,3,0,16593,0.5144159226190477
0,1-4,3,1,15663,0.4855840773809524
0,1-4,4,0,18866,0.5848834325396826
0,1-4,4,1,13390,0.41511656746031744
0,1-4,5,0,19019,0.5896267361111112
0,1-4,5,1,13237,0.4103732638888889
0,1-4,6,0,19775,0.6130642361111112
0,1-4,6,1,12481,0.3869357638888889
0,1-4,7,0,17228,0.5341021825396826
0,1-4,7,1,15028,0.46589781746031744
0,1-4,-1,0,122185,0.4734971788194444
0,1-4,-1,1,135863,0.5265028211805556
0,1-5,0,0,4279,0.1326574900793651
0,1-5,0,1,27977,0.8673425099206349
0,1-5,1,0,8083,0.2505890376984127
0,1-5,1,1,24173,0.7494109623015873
0,1-5,2,0,12175,0.37744915674603174
0,1-5,2,1,20081,0.6225508432539683
0,1-5,3,0,14974,0.4642237103174603
0,1-5,3,1,17282,0.5357762896825397
0,1-5,4,0,17010,0.52734375
0,1-5,4,1,15246,0.47265625
0,1-5,5,0,17100,0.5301339285714286
0,1-5,5,1,15156,0.46986607142857145
0,1-5,6,0,17299,0.5363033234126984
0,1-5,6,1,14957,0.46369667658730157
0,1-5,7,0,15009,0.46530877976190477
0,1-5,7,1,17247,0.5346912202380952
0,1-5,-1,0,105929,0.4105011470734127
0,1-5,-1,1,152119,0.5894988529265873
0,1-6,0,0,3191,0.09892733134920635
0,1-6,0,1,29065,0.9010726686507936
0,1-6,1,0,6409,0.19869171626984128
0,1-6,1,1,25847,0.8013082837301587
0,1-6,2,0,9672,0.29985119047619047
0,1-6,2,1,22584,0.7001488095238095
0,1-6,3,0,12601,0.390656001984127
0,1-6,3,1,19655,0.609343998015873
0,1-6,4,0,14697,0.4556361607142857
0,1-6,4,1,17559,0.5443638392857143
0,1-6,5,0,15213,0.47163318452380953
0,1-6,5,1,17043,0.5283668154761905
0,1-6,6,0,15257,0.4729972718253968
0,1-6,6,1,16999,0.5270027281746031
0,1-6,7,0,14066,0.4360739087301587
0,1-6,7,1,18190,0.5639260912698413
0,1-6,-1,0,91106,0.353058345734127
0,1-6,-1,1,166942,0.646941654265873
0,1-7,0,0,2471,0.07660590277777778
0,1-7,0,1,29785,0.9233940972222222
0,1-7,1,0,5087,0.15770709325396826
