pair,metric_name,target,n,pearson,spearman,mean_metric,mean_target
1-2,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-2,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-2,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-2,nestedness,up_delta_loss,3,-0.2630501750828433,-0.5,0.36067320808531744,-0.0035982229722240078
1-2,nestedness,down_delta_loss,3,-0.02660380234891085,0.5,0.36067320808531744,0.2515211843308949
1-2,nestedness,mean_abs_delta_loss,3,0.059950523078581855,0.5,0.36067320808531744,0.1314778957102034
1-2,spearman,up_delta_loss,3,0.03209538363879899,-0.5,0.5588507652282715,-0.0035982229722240078
1-2,spearman,down_delta_loss,3,0.2683466482441681,0.5,0.5588507652282715,0.2515211843308949
1-2,spearman,mean_abs_delta_loss,3,0.3506543735732859,0.5,0.5588507652282715,0.1314778957102034
1-2,top1_agreement,up_delta_loss,3,-0.5985654130424676,-1.0,0.2323043258101852,-0.0035982229722240078
1-2,top1_agreement,down_delta_loss,3,-0.39138268201404747,-0.5,0.2323043258101852,0.2515211843308949
1-2,top1_agreement,mean_abs_delta_loss,3,-0.3103300675669563,-0.5,0.2323043258101852,0.1314778957102034
1-2,top_pair_overlap,up_delta_loss,0,nan,nan,nan,nan
1-2,top_pair_overlap,down_delta_loss,0,nan,nan,nan,nan
1-2,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
1-3,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-3,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-3,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-3,nestedness,up_delta_loss,3,-0.33297458610559855,-0.5,0.4560482287533069,0.043649590520000926
1-3,nestedness,down_delta_loss,3,0.5947536541060942,0.5,0.4560482287533069,0.5230687866135248
1-3,nestedness,mean_abs_delta_loss,3,0.6594718226630829,0.5,0.4560482287533069,0.2833591885667629
1-3,spearman,up_delta_loss,3,-0.0949479350458424,-0.5,0.5540136893590292,0.043649590520000926
1-3,spearman,down_delta_loss,3,0.38258628304515674,0.5,0.5540136893590292,0.5230687866135248
1-3,spearman,mean_abs_delta_loss,3,0.4580058920852509,0.5,0.5540136893590292,0.2833591885667629
1-3,top1_agreement,up_delta_loss,3,-0.6804294714045038,-0.5,0.23196717923280427,0.043649590520000926
1-3,top1_agreement,down_delta_loss,3,0.8653514865392761,0.5,0.23196717923280427,0.5230687866135248
1-3,top1_agreement,mean_abs_delta_loss,3,0.9039885129272882,0.5,0.23196717923280427,0.2833591885667629
1-3,top_pair_overlap,up_delta_loss,0,nan,nan,nan,nan
1-3,top_pair_overlap,down_delta_loss,0,nan,nan,nan,nan
1-3,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
1-4,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-4,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-4,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-4,nestedness,up_delta_loss,3,-0.9465211023712122,-1.0,0.5308082217261905,0.09366840975625174
1-4,nestedness,down_delta_loss,3,0.7108116332785115,1.0,0.5308082217261905,0.9145930560808333
1-4,nestedness,mean_abs_delta_loss,3,0.5725131851637227,1.0,0.5308082217261905,0.5041307329185426
1-4,spearman,up_delta_loss,3,-0.9863345434012613,-1.0,0.5554381608963013,0.09366840975625174
1-4,spearman,down_delta_loss,3,0.9593472664230328,1.0,0.5554381608963013,0.9145930560808333
1-4,spearman,mean_abs_delta_loss,3,0.8928330258355864,1.0,0.5554381608963013,0.5041307329185426
