seed,pair,source_train_k,target_train_k,layer_id,rank_in_target_logits,count,share,step_source,step_target
0,1-2,1,2,0,1,13788,0.42745535714285715,1500,1500
0,1-2,1,2,0,2,6186,0.1917782738095238,1500,1500
0,1-2,1,2,0,3,3443,0.10673983134920635,1500,1500
0,1-2,1,2,0,4,2524,0.07824900793650794,1500,1500
0,1-2,1,2,0,5,1663,0.0515562996031746,1500,1500
0,1-2,1,2,0,6,1104,0.03422619047619048,1500,1500
0,1-2,1,2,0,7,820,0.025421626984126984,1500,1500
0,1-2,1,2,0,8,696,0.021577380952380952,1500,1500
0,1-2,1,2,0,9,525,0.016276041666666668,1500,1500
0,1-2,1,2,0,10,423,0.013113839285714286,1500,1500
0,1-2,1,2,0,11,328,0.010168650793650794,1500,1500
0,1-2,1,2,0,12,232,0.007192460317460317,1500,1500
0,1-2,1,2,0,13,196,0.006076388888888889,1500,1500
0,1-2,1,2,0,14,76,0.0023561507936507935,1500,1500
0,1-2,1,2,0,15,88,0.002728174603174603,1500,1500
0,1-2,1,2,0,16,94,0.002914186507936508,1500,1500
0,1-2,1,2,0,17,38,0.0011780753968253968,1500,1500
0,1-2,1,2,0,18,10,0.00031001984126984125,1500,1500
0,1-2,1,2,0,19,13,0.00040302579365079363,1500,1500
0,1-2,1,2,0,20,6,0.00018601190476190475,1500,1500
0,1-2,1,2,0,21,0,0.0,1500,1500
0,1-2,1,2,0,22,3,9.300595238095238e-05,1500,1500
0,1-2,1,2,0,23,0,0.0,1500,1500
0,1-2,1,2,0,24,0,0.0,1500,1500
0,1-2,1,2,0,25,0,0.0,1500,1500
0,1-2,1,2,0,26,0,0.0,1500,1500
0,1-2,1,2,0,27,0,0.0,1500,1500
0,1-2,1,2,0,28,0,0.0,1500,1500
0,1-2,1,2,0,29,0,0.0,1500,1500
0,1-2,1,2,0,30,0,0.0,1500,1500
0,1-2,1,2,0,31,0,0.0,1500,1500
0,1-2,1,2,0,32,0,0.0,1500,1500
0,1-2,1,2,1,1,9559,0.2963479662698413,1500,1500
