pair,layer_id,total_logit_mse,router_contribution,representation_contribution,router_share,representation_share,router_component_mse,representation_component_mse,interaction_mse,mean_abs_decomposition_residual,num_seeds
1-2,0,0.10303781051484366,0.09088972636631558,0.012148088406002712,0.8821931463346289,0.1178068947294519,0.09023578867079719,0.011494151833984586,0.0038348578862727636,8.661854302599315e-13,3
1-2,1,0.18730367176116458,0.08644165051361873,0.10086203094512697,0.461315999730747,0.5386840523284471,0.08085408735842932,0.09527446873604305,0.023951550856942224,2.8872847675331054e-13,3
1-2,2,0.2757684039691138,0.10133690446142167,0.17443150281906128,0.3673577906921719,0.6326422212788778,0.08848662461553301,0.16158122202706715,0.0452759022277499,5.774569535066211e-13,3
1-2,3,0.3727422309300256,0.13964737123913235,0.23309487672079177,0.3745827015115895,0.6254173443384957,0.1173309674338689,0.21077846723889548,0.07065930726036194,7.506940395586075e-13,3
1-2,4,0.42863964277600486,0.15395005165584505,0.27468960720395286,0.35919539070141165,0.6408046463678159,0.12682946617641147,0.2475690245628357,0.08624532582267881,1.2704052977145662e-12,3
1-2,5,0.4554773152820648,0.15833151860842629,0.2971458094460624,0.34764385548079596,0.6523561724043001,0.13178186851834495,0.27059616739787756,0.08794128894805908,7.506940395586075e-13,3
1-2,6,0.45858349875798304,0.16315986760078915,0.2954236448757232,0.3554785398155776,0.6445214904432165,0.14110334051979911,0.27336711353725857,0.08680912875939928,1.2126596023639042e-12,3
1-2,7,0.4296666156677973,0.15579358689368716,0.2738730434387449,0.3621469604144955,0.6378530738197509,0.1329827985120198,0.25106224938044475,0.06590669093623994,6.352026488572831e-13,3
1-3,0,0.09910453643117632,0.08690225510370164,0.01220228401796212,0.8771084887868518,0.1228915383566734,0.08688561831201826,0.01218564956197663,0.004225151066387457,6.929483442079453e-13,3
1-3,1,0.18092554996884058,0.08378095499106815,0.0971446042023008,0.4628031739571903,0.5371968770972972,0.07877791566508156,0.09214156440326145,0.02357981034687587,4.619655628052969e-13,3
1-3,2,0.2714441484875149,0.10115991651065766,0.170284241437912,0.3727104430957669,0.627289591741048,0.08820742061213842,0.15733174104539174,0.04439316477094377,5.774569535066211e-13,3
1-3,3,0.3985172339848109,0.15072986530879187,0.24778738192149571,0.3781960771961557,0.6218039558297472,0.12294750506915743,0.22000502310101946,0.0757116914268524,1.1549139070132421e-12,3
1-3,4,0.4647104588765947,0.16518045039404006,0.29953001415918745,0.35546763602977477,0.6445323761047052,0.1300853807774801,0.2644349412312583,0.09088236732142313,1.2704052977145662e-12,3
1-3,5,0.5169101196622091,0.17676679719062074,0.3401433342979068,0.3419150395544434,0.6580849832445838,0.14057626563405234,0.30395280557965476,0.09532032977967035,1.1549139070132421e-12,3
1-3,6,0.5131214800335112,0.17823172135958595,0.3348897723924546,0.3472615994680924,0.6527384273454232,0.14911893388581654,0.3057769782959469,0.09152362838624016,9.816768209612558e-13,3
1-3,7,0.5131975601589869,0.19071136296741545,0.3224862009759933,0.37133253383654213,0.6286674728105766,0.15603881790524438,0.2878136559138222,0.07567872083376324,1.3858966884158906e-12,3
1-4,0,0.09478829446293058,0.08239655906245823,0.012391735104814408,0.8687707028713222,0.1312292939877487,0.0822983088474425,0.012293485392417225,0.0043214088424094145,5.774569535066211e-13,3
1-4,1,0.17598857103832186,0.08103081087271373,0.09495776324045091,0.46039443047271345,0.5396055874413043,0.07678244322065324,0.09070939180396853,0.023131407087757475,5.774569535066211e-14,3
1-4,2,0.2626889035815284,0.09697459472550285,0.16571431405960568,0.3692815761421135,0.63071844356647,0.0854755107845579,0.15421522988213432,0.04361730033443088,3.4647417210397264e-13,3
1-4,3,0.39263814025455046,0.14921534156042432,0.24342280247854808,0.38012419573314066,0.6198758141258452,0.12167124994217404,0.21587870896808684,0.07511128745381794,6.929483442079453e-13,3
1-4,4,0.4900183583062792,0.17675216330422294,0.31326620824753293,0.3608199203687496,0.6391801070080679,0.13695050705046882,0.27346455010156784,0.09559510553640033,1.0394225163119181e-12,3
1-4,5,0.5205098693332975,0.17666814251551552,0.3438417372249421,0.33962607028213393,0.6603739501008099,0.1403255831627619,0.30749917692608303,0.09839866085657999,8.084397349092695e-13,3
1-4,6,0.535287064219278,0.1864187490372431,0.3488683255891951,0.34805715991775,0.6519428588106475,0.15380268200995428,0.31625226849601384,0.09628976266535501,1.4436423837665527e-12,3
1-4,7,0.5527492553468734,0.20829798683287604,0.34445128081336857,0.37625081518372244,0.6237492064864112,0.16691671051676313,0.3030699992936755,0.08323174998873756,1.2704052977145666e-12,3
1-5,0,0.09381574486929273,0.0823315249549018,0.011484221481378116,0.8775934877761103,0.12240652829054267,0.08285101846097008,0.012003715490064924,0.0043531978532435405,1.7323708605198632e-13,3
1-5,1,0.17047599383762901,0.07896712753507827,0.09150886866781445,0.46291060854934085,0.5370894053174435,0.07618216437006754,0.08872390928722562,0.022707892847912654,4.619655628052969e-13,3
1-5,2,0.259740396151467,0.09782729451618498,0.1619131054197039,0.37663154330992216,0.6233684711155952,0.0868758549765935,0.15096166398790148,0.04229689353988284,4.619655628052969e-13,3
1-5,3,0.3874967325301397,0.149988790826192,0.2375079497458443,0.3871573813533213,0.6128426394036155,0.12340528387872,0.21092443522952853,0.07399577067957984,5.19711258155959e-13,3
1-5,4,0.4722720479208326,0.17201478377221124,0.30025727502883426,0.36434255074294114,0.635657471946726,0.13576580040038577,0.26400828266900683,0.09111492903459639,7.506940395586075e-13,3
1-5,5,0.5344782481117853,0.1912713135991778,0.34320695438082255,0.3581639053652947,0.6418361314830813,0.15195906304177784,0.30389470524258083,0.10204549062819708,9.239311256105937e-13,3
1-5,6,0.5520395135122632,0.20199069806507655,0.3500488249082414,0.3659455692530227,0.63405444789727,0.16626310774258204,0.31432122748995583,0.10176676180627613,1.2704052977145662e-12,3
1-5,7,0.5767519663250635,0.22767746826959034,0.34907451319316074,0.39408597982417204,0.6059140467457614,0.18177367486650983,0.3031707178978693,0.0891189646153223,1.501388079117215e-12,3
1-6,0,0.09373876949151357,0.0825346265993421,0.011204145730487884,0.8803146104836204,0.11968541965120567,0.0833588968666773,0.012028418570047333,0.004448436481493806,5.774569535066211e-13,3
1-6,1,0.17257535031863624,0.08030562930636936,0.09226972526974149,0.46537817927873676,0.5346218455161647,0.07700852079996988,0.08897261392502558,0.023456614287126632,5.774569535066211e-13,3
1-6,2,0.2591568420803736,0.09736388354074388,0.16179296279710434,0.37581561639246286,0.6241843999854347,0.08700228447005863,0.15143136467252458,0.04292870916071392,2.3098278140264843e-13,3
1-6,3,0.38298535536205963,0.1480070872912331,0.23497827847798666,0.38639792366338366,0.6136021036944486,0.12318311560721625,0.21015430537481158,0.07448416025865645,1.501388079117215e-12,3
1-6,4,0.4804379599434989,0.18136772229557943,0.2990702532586597,0.37749152787329754,0.6225085046045263,0.1434695692289443,0.26117209877286635,0.0957338164250056,1.3281509930652285e-12,3
1-6,5,0.5502803382419404,0.2002541148473346,0.3500262404245043,0.3641035190996058,0.6358965116997816,0.15812746068787953,0.30789958106146914,0.1040883840076507,6.929483442079453e-13,3
1-6,6,0.5675501274684118,0.21213399607037742,0.35541614180519465,0.3739169014861621,0.6260831165530023,0.1751965766861325,0.318478716744317,0.10566018545438371,1.3281509930652287e-12,3
1-6,7,0.5796318584018283,0.23848861172085714,0.3411432551959204,0.4114947895242093,0.5885052255136644,0.19238073296017114,0.2950353773813399,0.09317258047679115,1.1549139070132421e-12,3
1-7,0,0.09415062410490853,0.08263496368650405,0.01151566275410236,0.8770508052153305,0.1229492184277969,0.08316492182867867,0.012045623054580082,0.004573086128821449,2.3098278140264843e-13,3
1-7,1,0.17523805820752703,0.08319855942612603,0.0920394966526637,0.4746050515781355,0.5253949363362738,0.08001305801527842,0.08885399618792156,0.02403786364528868,5.774569535066211e-13,3
1-7,2,0.2535502929536123,0.09673151988831778,0.15681878016108558,0.38149197560191533,0.6185080523380824,0.08703955132809897,0.1471268099451822,0.04251533391929808,5.19711258155959e-13,3
1-7,3,0.37221434192051966,0.14584966216768536,0.22636468732167803,0.3916052901481484,0.6083947300688212,0.1231964225806887,0.20371144726162863,0.07180562993836781,1.09716821166258e-12,3
1-7,4,0.48083576323494076,0.180757050476377,0.30007872316572404,0.37594519114416985,0.6240548303450102,0.1448816552994743,0.2642033298810323,0.0961501413867587,1.501388079117215e-12,3
1-7,5,0.5516645605601962,0.20571381610537334,0.3459507633769323,0.3727981894328569,0.627201845067534,0.1631338974786183,0.3033708438040718,0.10565742944914197,4.619655628052969e-13,3
1-7,6,0.5664935944572328,0.2188393984522138,0.3476542054660737,0.3863781340713721,0.6136218825730889,0.1830340850920904,0.3118488845371065,0.10663399620661661,1.559133774467877e-12,3
1-7,7,0.6047656555024404,0.25028968046581934,0.35447598638988675,0.41381056434677355,0.5861894542862894,0.198842948391324,0.30302924958486405,0.09691256284713745,2.4253192047278085e-12,3
1-8,0,0.0964156190554301,0.08501360482639736,0.011402016032546286,0.881389269807258,0.11861074734067623,0.08564353769733794,0.012031950263513459,0.004640541157670437,5.19711258155959e-13,3
1-8,1,0.17548980835884334,0.08424102077408442,0.09124879042307536,0.47967808541933565,0.5203219304545684,0.0806981556945377,0.08770592439742315,0.023831389312233244,4.0421986745463475e-13,3
1-8,2,0.2552009404651702,0.09938296722987343,0.1558179770197187,0.3894280769544702,0.610571937752129,0.08965278239477248,0.146087784615774,0.04244133534412536,6.929483442079453e-13,3
1-8,3,0.38236130797673784,0.15215115414725408,0.23021015856001112,0.3978189506958481,0.6021810623275115,0.12667127781444124,0.2047302770236182,0.0734481629398134,9.816768209612558e-13,3
1-8,4,0.48414430164155503,0.18947610022529723,0.29466821371562896,0.391368560334445,0.608631465038612,0.1506279834679195,0.2558200927007766,0.09508708923582047,1.09716821166258e-12,3
