seed,pair,layer_id,component,metric_name,value,num_records
0,1-2,0,representation_with_router_a,nestedness,0.7922247222491673,5376
0,1-2,0,representation_with_router_a,spearman,0.9702394604682922,5376
0,1-2,0,representation_with_router_a,top1_agreement,0.7922247222491673,5376
0,1-2,0,representation_with_router_b,nestedness,0.8311012046677726,5376
0,1-2,0,representation_with_router_b,spearman,0.9682725412505013,5376
0,1-2,0,representation_with_router_b,top1_agreement,0.8377976417541504,5376
0,1-2,0,router_on_hidden_a,nestedness,0.640439007963453,5376
0,1-2,0,router_on_hidden_a,spearman,0.8472635575703212,5376
0,1-2,0,router_on_hidden_a,top1_agreement,0.44549852183886934,5376
0,1-2,0,router_on_hidden_b,nestedness,0.6426711423056466,5376
0,1-2,0,router_on_hidden_b,spearman,0.8468373503003802,5376
0,1-2,0,router_on_hidden_b,top1_agreement,0.46428572705813814,5376
0,1-2,0,total,nestedness,0.6108631065913609,5376
0,1-2,0,total,spearman,0.8246267352785382,5376
0,1-2,0,total,top1_agreement,0.42894345947674345,5376
0,1-2,1,representation_with_router_a,nestedness,0.4198288789817265,5376
0,1-2,1,representation_with_router_a,spearman,0.8049835818154472,5376
0,1-2,1,representation_with_router_a,top1_agreement,0.4198288789817265,5376
0,1-2,1,representation_with_router_b,nestedness,0.5739397576877049,5376
0,1-2,1,representation_with_router_b,spearman,0.8200676441192627,5376
0,1-2,1,representation_with_router_b,top1_agreement,0.5249256108488355,5376
0,1-2,1,router_on_hidden_a,nestedness,0.6635044898305621,5376
0,1-2,1,router_on_hidden_a,spearman,0.8593965172767639,5376
0,1-2,1,router_on_hidden_a,top1_agreement,0.44810268708637785,5376
0,1-2,1,router_on_hidden_b,nestedness,0.7388393027441842,5376
0,1-2,1,router_on_hidden_b,spearman,0.869866132736206,5376
0,1-2,1,router_on_hidden_b,top1_agreement,0.5420387131827218,5376
0,1-2,1,total,nestedness,0.45851936084883554,5376
0,1-2,1,total,spearman,0.7094053115163531,5376
0,1-2,1,total,top1_agreement,0.2873883971146175,5376
0,1-2,2,representation_with_router_a,nestedness,0.31975447280066355,5376
0,1-2,2,representation_with_router_a,spearman,0.7035496234893799,5376
0,1-2,2,representation_with_router_a,top1_agreement,0.31975447280066355,5376
0,1-2,2,representation_with_router_b,nestedness,0.4470796287059784,5376
0,1-2,2,representation_with_router_b,spearman,0.7169329949787685,5376
0,1-2,2,representation_with_router_b,top1_agreement,0.39806548186710905,5376
0,1-2,2,router_on_hidden_a,nestedness,0.6674107313156128,5376
0,1-2,2,router_on_hidden_a,spearman,0.8412048476082938,5376
0,1-2,2,router_on_hidden_a,top1_agreement,0.4706101247242519,5376
0,1-2,2,router_on_hidden_b,nestedness,0.7645089541162763,5376
0,1-2,2,router_on_hidden_b,spearman,0.8539240530558995,5376
0,1-2,2,router_on_hidden_b,top1_agreement,0.5827753032956805,5376
0,1-2,2,total,nestedness,0.37630209752491545,5376
0,1-2,2,total,spearman,0.6008780002593994,5376
0,1-2,2,total,top1_agreement,0.24069941256727492,5376
0,1-2,3,representation_with_router_a,nestedness,0.2752976289817265,5376
0,1-2,3,representation_with_router_a,spearman,0.6163666844367981,5376
0,1-2,3,representation_with_router_a,top1_agreement,0.2752976289817265,5376
0,1-2,3,representation_with_router_b,nestedness,0.40950522252491545,5376
0,1-2,3,representation_with_router_b,spearman,0.6455747740609306,5376
0,1-2,3,representation_with_router_b,top1_agreement,0.3346354237624577,5376
0,1-2,3,router_on_hidden_a,nestedness,0.6110491241727557,5376
0,1-2,3,router_on_hidden_a,spearman,0.7991124050957816,5376
0,1-2,3,router_on_hidden_a,top1_agreement,0.41313245041029795,5376
0,1-2,3,router_on_hidden_b,nestedness,0.7522321513720921,5376
0,1-2,3,router_on_hidden_b,spearman,0.823985116822379,5376
0,1-2,3,router_on_hidden_b,top1_agreement,0.5736607398305621,5376
0,1-2,3,total,nestedness,0.31194197280066355,5376
0,1-2,3,total,spearman,0.4941988672528948,5376
0,1-2,3,total,top1_agreement,0.17615327451910293,5376
0,1-2,4,representation_with_router_a,nestedness,0.21279762472425187,5376
0,1-2,4,representation_with_router_a,spearman,0.5538136448178973,5376
0,1-2,4,representation_with_router_a,top1_agreement,0.21279762472425187,5376
0,1-2,4,representation_with_router_b,nestedness,0.38188245041029795,5376
0,1-2,4,representation_with_router_b,spearman,0.6017901982579913,5376
0,1-2,4,representation_with_router_b,top1_agreement,0.32663691895348684,5376
0,1-2,4,router_on_hidden_a,nestedness,0.5723586423056466,5376
0,1-2,4,router_on_hidden_a,spearman,0.7799986004829407,5376
0,1-2,4,router_on_hidden_a,top1_agreement,0.36030506661960054,5376
0,1-2,4,router_on_hidden_b,nestedness,0.7524181689534869,5376
0,1-2,4,router_on_hidden_b,spearman,0.8197534084320068,5376
0,1-2,4,router_on_hidden_b,top1_agreement,0.5837053826877049,5376
0,1-2,4,total,nestedness,0.26618304422923494,5376
0,1-2,4,total,spearman,0.44390979409217834,5376
0,1-2,4,total,top1_agreement,0.163132444024086,5376
0,1-2,5,representation_with_router_a,nestedness,0.20275297973837172,5376
0,1-2,5,representation_with_router_a,spearman,0.5198968095438821,5376
0,1-2,5,representation_with_router_a,top1_agreement,0.20275297973837172,5376
0,1-2,5,representation_with_router_b,nestedness,0.37072173186710905,5376
0,1-2,5,representation_with_router_b,spearman,0.5808152897017342,5376
0,1-2,5,representation_with_router_b,top1_agreement,0.31436013323920114,5376
0,1-2,5,router_on_hidden_a,nestedness,0.5714285884584699,5376
0,1-2,5,router_on_hidden_a,spearman,0.7604332055364337,5376
0,1-2,5,router_on_hidden_a,top1_agreement,0.37146578090531485,5376
0,1-2,5,router_on_hidden_b,nestedness,0.7628348384584699,5376
0,1-2,5,router_on_hidden_b,spearman,0.8134547897747585,5376
0,1-2,5,router_on_hidden_b,top1_agreement,0.6127232313156128,5376
0,1-2,5,total,nestedness,0.2682291737624577,5376
0,1-2,5,total,spearman,0.4117265854563032,5376
0,1-2,5,total,top1_agreement,0.16982887472425187,5376
0,1-2,6,representation_with_router_a,nestedness,0.16629464498588017,5376
0,1-2,6,representation_with_router_a,spearman,0.48854699305125643,5376
0,1-2,6,representation_with_router_a,top1_agreement,0.16629464498588017,5376
0,1-2,6,representation_with_router_b,nestedness,0.38364956208637785,5376
0,1-2,6,representation_with_router_b,spearman,0.5778128675052098,5376
0,1-2,6,representation_with_router_b,top1_agreement,0.33258929422923494,5376
0,1-2,6,router_on_hidden_a,nestedness,0.5238095436777387,5376
0,1-2,6,router_on_hidden_a,spearman,0.7668388400759015,5376
0,1-2,6,router_on_hidden_a,top1_agreement,0.33965774519102915,5376
0,1-2,6,router_on_hidden_b,nestedness,0.8028273923056466,5376
0,1-2,6,router_on_hidden_b,spearman,0.8335339852741787,5376
0,1-2,6,router_on_hidden_b,top1_agreement,0.6551339456013271,5376
0,1-2,6,total,nestedness,0.22507440830980027,5376
0,1-2,6,total,spearman,0.4137650302478245,5376
0,1-2,6,total,top1_agreement,0.12500000638621195,5376
0,1-2,7,representation_with_router_a,nestedness,0.19252232568604605,5376
0,1-2,7,representation_with_router_a,spearman,0.5378254141126361,5376
0,1-2,7,representation_with_router_a,top1_agreement,0.19252232568604605,5376
0,1-2,7,representation_with_router_b,nestedness,0.43526786991528105,5376
0,1-2,7,representation_with_router_b,spearman,0.642193581376757,5376
0,1-2,7,representation_with_router_b,top1_agreement,0.40718006661960054,5376
0,1-2,7,router_on_hidden_a,nestedness,0.5943080527441842,5376
0,1-2,7,router_on_hidden_a,spearman,0.7988679153578622,5376
0,1-2,7,router_on_hidden_a,top1_agreement,0.43005953090531485,5376
0,1-2,7,router_on_hidden_b,nestedness,0.8409598384584699,5376
0,1-2,7,router_on_hidden_b,spearman,0.8502238137381417,5376
0,1-2,7,router_on_hidden_b,top1_agreement,0.6780134098870414,5376
0,1-2,7,total,nestedness,0.30468750851494925,5376
0,1-2,7,total,spearman,0.47256938900266376,5376
0,1-2,7,total,top1_agreement,0.19773065830980027,5376
0,1-3,0,representation_with_router_a,nestedness,0.7853422846112933,5376
0,1-3,0,representation_with_router_a,spearman,0.9679087315286908,5376
0,1-3,0,representation_with_router_a,top1_agreement,0.7853422846112933,5376
0,1-3,0,representation_with_router_b,nestedness,0.8467882020132882,5376
0,1-3,0,representation_with_router_b,spearman,0.9649855239050729,5376
0,1-3,0,representation_with_router_b,top1_agreement,0.8188244189534869,5376
0,1-3,0,router_on_hidden_a,nestedness,0.7687872222491673,5376
0,1-3,0,router_on_hidden_a,spearman,0.8469967842102051,5376
0,1-3,0,router_on_hidden_a,top1_agreement,0.44810268708637785,5376
0,1-3,0,router_on_hidden_b,nestedness,0.7739955612591335,5376
0,1-3,0,router_on_hidden_b,spearman,0.8447141562189374,5376
0,1-3,0,router_on_hidden_b,top1_agreement,0.46670388323920114,5376
0,1-3,0,total,nestedness,0.7375372222491673,5376
0,1-3,0,total,spearman,0.8211401190076556,5376
0,1-3,0,total,top1_agreement,0.43284971373421804,5376
0,1-3,1,representation_with_router_a,nestedness,0.42020090562956675,5376
0,1-3,1,representation_with_router_a,spearman,0.8067705375807626,5376
0,1-3,1,representation_with_router_a,top1_agreement,0.42020090562956675,5376
0,1-3,1,representation_with_router_b,nestedness,0.608692969594683,5376
