host_k,donor_k,swap_scope,layer_id,validation_loss,baseline_loss,delta_loss,num_seeds
1,1,all_layers,-1,1.0214836786663721,1.0214836786663721,0.0,3
1,1,single_layer,0,1.0214836786663721,1.0214836786663721,0.0,3
1,1,single_layer,1,1.0214836786663721,1.0214836786663721,0.0,3
1,1,single_layer,2,1.0214836786663721,1.0214836786663721,0.0,3
1,1,single_layer,3,1.0214836786663721,1.0214836786663721,0.0,3
1,1,single_layer,4,1.0214836786663721,1.0214836786663721,0.0,3
1,1,single_layer,5,1.0214836786663721,1.0214836786663721,0.0,3
1,1,single_layer,6,1.0214836786663721,1.0214836786663721,0.0,3
1,1,single_layer,7,1.0214836786663721,1.0214836786663721,0.0,3
1,2,all_layers,-1,1.3989079187786768,1.0214836786663721,0.3774242401123047,3
1,2,single_layer,0,1.2943186078752789,1.0214836786663721,0.2728349292089069,3
1,2,single_layer,1,1.0843760475279793,1.0214836786663721,0.06289236886160714,3
1,2,single_layer,2,1.0329025510757688,1.0214836786663721,0.011418872409396727,3
1,2,single_layer,3,1.0303817325168187,1.0214836786663721,0.008898053850446397,3
1,2,single_layer,4,1.005381841508169,1.0214836786663721,-0.016101837158203087,3
1,2,single_layer,5,1.03098878406343,1.0214836786663721,0.009505105397057956,3
1,2,single_layer,6,1.004822776431129,1.0214836786663721,-0.01666090223524308,3
1,2,single_layer,7,1.0250317709786552,1.0214836786663721,0.0035480923122829986,3
1,3,all_layers,-1,1.4200316837855749,1.0214836786663721,0.3985480051192026,3
1,3,single_layer,0,1.2696419973222035,1.0214836786663721,0.24815831865583146,3
1,3,single_layer,1,1.0542866540333582,1.0214836786663721,0.032802975366986065,3
1,3,single_layer,2,1.035343049064515,1.0214836786663721,0.013859370398143037,3
1,3,single_layer,3,1.0213446844191778,1.0214836786663721,-0.00013899424719432396,3
1,3,single_layer,4,1.0120203532869854,1.0214836786663721,-0.009463325379386767,3
1,3,single_layer,5,1.0185055808415486,1.0214836786663721,-0.002978097824823278,3
1,3,single_layer,6,1.0189499022468687,1.0214836786663721,-0.002533776419503327,3
1,3,single_layer,7,1.0312787616063679,1.0214836786663721,0.009795082939995647,3
1,4,all_layers,-1,1.419267139737568,1.0214836786663721,0.3977834610711961,3
1,4,single_layer,0,1.2725559113517642,1.0214836786663721,0.25107223268539186,3
1,4,single_layer,1,1.053864040072002,1.0214836786663721,0.03238036140562994,3
1,4,single_layer,2,1.0291953011164587,1.0214836786663721,0.00771162245008683,3
1,4,single_layer,3,1.018797102428618,1.0214836786663721,-0.0026865762377541826,3
1,4,single_layer,4,1.0131558312310114,1.0214836786663721,-0.008327847435360894,3
1,4,single_layer,5,1.0118431817917595,1.0214836786663721,-0.009640496874612473,3
1,4,single_layer,6,1.0222296336340524,1.0214836786663721,0.0007459549676804474,3
1,4,single_layer,7,1.0319163004557292,1.0214836786663721,0.010432621789357074,3
1,5,all_layers,-1,1.4255333249531095,1.0214836786663721,0.4040496462867374,3
1,5,single_layer,0,1.2773114158993677,1.0214836786663721,0.2558277372329955,3
1,5,single_layer,1,1.06104248289078,1.0214836786663721,0.03955880422440794,3
1,5,single_layer,2,1.0414461105588881,1.0214836786663721,0.01996243189251608,3
1,5,single_layer,3,1.0164125230577257,1.0214836786663721,-0.00507115560864646,3
1,5,single_layer,4,1.0281672704787483,1.0214836786663721,0.006683591812376026,3
1,5,single_layer,5,1.0210950034005302,1.0214836786663721,-0.00038867526584196455,3
1,5,single_layer,6,1.0251314980643136,1.0214836786663721,0.003647819397941454,3
1,5,single_layer,7,1.0384358905610582,1.0214836786663721,0.01695221189468621,3
1,6,all_layers,-1,1.4725356329055062,1.0214836786663721,0.45105195423913386,3
1,6,single_layer,0,1.3363705286903986,1.0214836786663721,0.3148868500240265,3
1,6,single_layer,1,1.061504424564422,1.0214836786663721,0.040020745898049936,3
1,6,single_layer,2,1.0317798796154205,1.0214836786663721,0.010296200949048226,3
1,6,single_layer,3,1.030759993053618,1.0214836786663721,0.009276314387245818,3
1,6,single_layer,4,1.0120756058465867,1.0214836786663721,-0.00940807281978547,3
1,6,single_layer,5,1.0262539575970362,1.0214836786663721,0.004770278930664136,3
1,6,single_layer,6,1.0237067086356026,1.0214836786663721,0.0022230299692305167,3
1,6,single_layer,7,1.0371606917608351,1.0214836786663721,0.01567701309446305,3
1,7,all_layers,-1,1.4519341786702473,1.0214836786663721,0.43045050000387536,3
1,7,single_layer,0,1.3025570521278986,1.0214836786663721,0.28107337346152655,3
1,7,single_layer,1,1.071615976000589,1.0214836786663721,0.05013229733421687,3
1,7,single_layer,2,1.0267984904940166,1.0214836786663721,0.005314811827644483,3
1,7,single_layer,3,1.023039530193995,1.0214836786663721,0.0015558515276227942,3
1,7,single_layer,4,1.0185216570657396,1.0214836786663721,-0.002962021600632451,3
1,7,single_layer,5,1.0170023479158916,1.0214836786663721,-0.004481330750480517,3
1,7,single_layer,6,1.0254510243733723,1.0214836786663721,0.003967345707000265,3
1,7,single_layer,7,1.036512011573428,1.0214836786663721,0.015028332907056038,3
1,8,all_layers,-1,1.428971426827567,1.0214836786663721,0.4074877481611949,3
1,8,single_layer,0,1.32935793437655,1.0214836786663721,0.3078742557101779,3
1,8,single_layer,1,1.0426314217703683,1.0214836786663721,0.02114774310399614,3
1,8,single_layer,2,1.0400716690790086,1.0214836786663721,0.018587990412636406,3
1,8,single_layer,3,1.0297744690425814,1.0214836786663721,0.00829079037620913,3
1,8,single_layer,4,1.0164889381045388,1.0214836786663721,-0.004994740561833429,3
