pair,layer_id,source_rank,mean_target_rank,mean_absolute_displacement,count
1-2,-1,1,6.599241226438492,5.599241226438492,2064384
1-2,-1,2,7.995589967757937,6.265073745969742,2064384
1-2,-1,3,8.98666769360739,6.561017233227926,2064384
1-2,-1,4,9.782867431640625,6.693954709976438,2064384
1-2,-1,5,10.459956577845983,6.756291949559772,2064384
1-2,-1,6,11.113802955264138,6.790805877201141,2064384
1-2,-1,7,11.668860541449654,6.784203423394097,2064384
1-2,-1,8,12.237456790984623,6.790925525483631,2064384
1-2,-1,9,12.759112645709326,6.780692933097718,2064384
1-2,-1,10,13.251889183407737,6.744707380022321,2064384
1-2,-1,11,13.758777436755953,6.747356112041171,2064384
1-2,-1,12,14.266702803354415,6.747393411303324,2064384
1-2,-1,13,14.699967641679068,6.718647305927579,2064384
1-2,-1,14,15.190875825427828,6.727664523654514,2064384
1-2,-1,15,15.65209718734499,6.7140100872705855,2064384
1-2,-1,16,16.148845854259672,6.710536896236359,2064384
1-2,-1,17,16.59522937593006,6.703932989211309,2064384
1-2,-1,18,17.099678645058283,6.728697277250744,2064384
1-2,-1,19,17.570601205977184,6.7252701047867065,2064384
1-2,-1,20,18.05841112893725,6.744361998542907,2064384
1-2,-1,21,18.551123240637402,6.76312740265377,2064384
1-2,-1,22,19.07234070793031,6.760573129805308,2064384
1-2,-1,23,19.59618414015997,6.770834786551339,2064384
1-2,-1,24,20.129976302858385,6.7752874465215776,2064384
1-2,-1,25,20.740648057725693,6.738784063430059,2064384
1-2,-1,26,21.3214595734127,6.739029172867063,2064384
1-2,-1,27,21.969303676060267,6.693365672278026,2064384
1-2,-1,28,22.67498101128472,6.5985814654637895,2064384
1-2,-1,29,23.42986285497272,6.489759657118055,2064384
1-2,-1,30,24.311050657242063,6.266974555121528,2064384
1-2,-1,31,25.378482879154266,5.896009657118055,2064384
1-2,-1,32,26.927954779730904,5.072045220269097,2064384
1-2,0,1,2.9356321304563493,1.9356321304563493,258048
1-2,0,2,4.242811414930555,2.629762679811508,258048
1-2,0,3,5.331012059771825,3.0972958519345237,258048
1-2,0,4,6.311217292906746,3.4027894035218256,258048
1-2,0,5,7.196335565476191,3.6728515625,258048
1-2,0,6,8.112920851934524,3.8804989769345237,258048
1-2,0,7,8.891454303075397,4.06396484375,258048
1-2,0,8,9.745861235119047,4.236692398313492,258048
1-2,0,9,10.49052501860119,4.3730352492559526,258048
1-2,0,10,11.274429563492063,4.420456659226191,258048
1-2,0,11,12.063856336805555,4.532745845734127,258048
1-2,0,12,12.78597392733135,4.583220951140873,258048
1-2,0,13,13.712057446676587,4.626584976438492,258048
1-2,0,14,14.328167627728174,4.706794859871032,258048
1-2,0,15,15.070324125744047,4.7568475632440474,258048
1-2,0,16,15.892582000248016,4.746229383680555,258048
1-2,0,17,16.684674944196427,4.740742032490079,258048
1-2,0,18,17.458949497767858,4.692464192708333,258048
1-2,0,19,18.248790922619047,4.684175037202381,258048
1-2,0,20,19.00998263888889,4.604104662698413,258048
1-2,0,21,19.8353755890377,4.571168929811508,258048
1-2,0,22,20.683803013392858,4.459015376984127,258048
1-2,0,23,21.462878999255953,4.3559454055059526,258048
1-2,0,24,22.41184585813492,4.165070064484127,258048
1-2,0,25,23.249813988095237,4.0140283978174605,258048
1-2,0,26,24.133951822916668,3.8016803075396823,258048
1-2,0,27,24.992784288194443,3.645600818452381,258048
1-2,0,28,26.043243892609127,3.3166271391369047,258048
1-2,0,29,27.07223849826389,2.9754503038194446,258048
1-2,0,30,28.166910807291668,2.557249038938492,258048
1-2,0,31,29.39568607390873,1.9885060143849207,258048
1-2,0,32,30.76390826512897,1.2360917348710319,258048
1-2,1,1,4.438689701140873,3.438689701140873,258048
1-2,1,2,5.908865792410714,4.241075303819445,258048
1-2,1,3,7.001216827876984,4.676750062003968,258048
1-2,1,4,7.894914899553571,4.941727895585317,258048
1-2,1,5,8.750073629712302,5.202237568204365,258048
1-2,1,6,9.573951357886905,5.405579582093254,258048
1-2,1,7,10.277711898561508,5.524053664434524,258048
