pair,layer_id,rbo_p90,rbo_p95,kendall_tau,mean_absolute_rank_displacement,normalized_footrule_similarity,top1_overlap,top4_overlap,top8_overlap,selected_containment_a,selected_containment_b,selected_jaccard,hypergeometric_calibrated_overlap,empirical_observed_overlap,empirical_null_overlap,empirical_ceiling_overlap,empirical_alignment_headroom,frequency_adjusted_overlap,empirical_ceiling_utilization,empirical_num_samples,selected_union_kendall_tau,common_selected_kendall_tau,common_pairwise_order_agreement,common_selected_exact_order_fraction,full_containment_record_fraction,ordered_containment_record_fraction,contained_exact_order_fraction,common_selected_record_mean_tau,common_selected_valid_record_fraction,common_pair_coverage,num_seeds
1-2,-1,0.453973612476196,0.6186100583278393,0.2916824176747312,7.8377301251446765,0.5101418671784578,0.15391839244378305,0.30912239841683203,0.44296636026372355,0.2524362392526455,0.12621811962632276,0.12621811962632276,0.20259865520282186,0.2524362392526455,0.16892071429450917,0.25278888682208994,0.08386817252758079,0.10049675708222694,0.9957906783978862,336.0,-0.4167390046296296,nan,nan,nan,0.2524362392526455,nan,nan,nan,0.0,nan,3
1-2,0,0.5809713310041171,0.7128042673173086,0.5097452799479166,5.559982380539021,0.6525011012163112,0.2758866567460318,0.467804439484127,0.5961100260416666,0.43303571428571425,0.21651785714285712,0.21651785714285712,0.3952380952380952,0.43303571428571425,0.3115343211752786,0.43560887896825395,0.12407455779297534,0.1764513219382529,0.9793058861480818,336.0,-0.22463348765432098,nan,nan,nan,0.43303571428571425,nan,nan,nan,0.0,nan,3
1-2,1,0.5124207771902952,0.6624078285912662,0.39823536206317206,6.7670672381365735,0.5770582976164641,0.20218460648148148,0.38140707671957674,0.5149532903439153,0.32940641534391535,0.16470320767195767,0.16470320767195767,0.284700176366843,0.32940641534391535,0.21852089313857934,0.3336020171957672,0.11508112405718789,0.14187025785133067,0.9633858305621312,336.0,-0.3380800815696649,nan,nan,nan,0.32940641534391535,nan,nan,nan,0.0,nan,3
1-2,2,0.468263308087177,0.6292625128944634,0.31825436827956993,7.5879216269841265,0.5257548983134921,0.1622643849206349,0.32829809441137564,0.46047892898478837,0.2665860615079365,0.13329303075396826,0.13329303075396826,0.21769179894179894,0.2665860615079365,0.1743195394292469,0.2704303075396825,0.09611076811043566,0.11172554146834125,0.9597841667498169,336.0,-0.40419009038800713,nan,nan,nan,0.2665860615079365,nan,nan,nan,0.0,nan,3
1-2,3,0.43522345644982047,0.6045102354437488,0.25606479439684143,8.193795986276454,0.48788775085772157,0.13761780753968253,0.28477389219576715,0.42021639384920634,0.23027240410052907,0.11513620205026454,0.11513620205026454,0.17895723104056435,0.2302724041005291,0.15727042700945626,0.23543940145502643,0.07816897444557021,0.08661514788501636,0.9336147750521743,336.0,-0.44077243165784824,nan,nan,nan,0.23027240410052907,nan,nan,nan,0.0,nan,3
1-2,4,0.4138781006699798,0.5888955343151389,0.2201761225218414,8.565298574942132,0.4646688390661169,0.11258887235449737,0.26019965277777773,0.3968731915509259,0.19283234126984128,0.09641617063492064,0.09641617063492064,0.13902116402116402,0.19283234126984125,0.12797377188168413,0.19896040013227512,0.07098662825059103,0.07433649845188424,0.9080003669497128,336.0,-0.4807029872134038,nan,nan,nan,0.19283234126984128,nan,nan,nan,0.0,nan,3
1-2,5,0.40915522537119636,0.5846963396354196,0.20836483534946235,8.710352983424274,0.455602938535983,0.10954034391534391,0.25555968915343913,0.388905681630291,0.1941654265873016,0.0970827132936508,0.0970827132936508,0.14044312169312176,0.19416542658730163,0.12511587266407745,0.19957010582010581,0.07445423315602838,0.078927246008331,0.9269597471626163,336.0,-0.4870618386243386,nan,nan,nan,0.1941654265873016,nan,nan,nan,0.0,nan,3
1-2,6,0.396071088782364,0.5760149778375613,0.19403863722278225,8.830758231026785,0.4480776105608259,0.09908234126984128,0.23642629794973544,0.3735752004794974,0.16690434854497352,0.08345217427248676,0.08345217427248676,0.1113646384479718,0.16690434854497357,0.11165419551390297,0.17333209325396826,0.06167789774006529,0.06223656867683602,0.8953036475665489,336.0,-0.5113536155202821,nan,nan,nan,0.16690434854497352,nan,nan,nan,0.0,nan,3
1-2,7,0.4158056122546183,0.5902887705878075,0.2285799416162634,8.486663979828043,0.4695835012607474,0.1321821263227513,0.25851004464285715,0.3926181692294974,0.2062872023809524,0.1031436011904762,0.1031436011904762,0.1533730158730158,0.2062872023809524,0.12497669354384779,0.21016245039682543,0.08518575685297763,0.0929521924828524,0.9541221607868943,336.0,-0.4471175044091711,nan,nan,nan,0.2062872023809524,nan,nan,nan,0.0,nan,3
1-3,-1,0.4608868623515245,0.6236476986079493,0.3024190266927083,7.725851391989086,0.517134288000682,0.15905955481150794,0.3187995385871362,0.45073348756820436,0.3456139942956349,0.11520466476521164,0.11520466476521164,0.27791889025725236,0.3456139942956349,0.23925676810691768,0.34577804646164023,0.10652127835472253,0.13983753031726312,0.9984571565525076,336.0,-0.22628778797398588,nan,nan,nan,0.3456139942956349,nan,nan,nan,0.0,nan,3
1-3,0,0.5921431485258561,0.7205397325380222,0.5237328314012096,5.417222118882275,0.6614236175698577,0.2859002976190476,0.48605427414021163,0.606871589781746,0.5692067625661376,0.18973558752204586,0.18973558752204586,0.5246419449005656,0.5692067625661376,0.4251594513396375,0.5715939153439153,0.14643446400427781,0.2506162986227915,0.9835365210659184,336.0,-0.036961254409171064,nan,nan,nan,0.5692067625661376,nan,nan,nan,0.0,nan,3
1-3,1,0.5290362025224625,0.6745278831110739,0.4237828408518145,6.493228649966931,0.5941732093770667,0.21475074404761907,0.4033048115079365,0.534206814236111,0.4600694444444444,0.15335648148148148,0.1533564814814815,0.4042145593869731,0.4600694444444444,0.3138583706236632,0.4630766369047619,0.14921826628109874,0.21315690706909052,0.9798440305342693,336.0,-0.13241636353615518,nan,nan,nan,0.4600694444444444,nan,nan,nan,0.0,nan,3
1-3,2,0.4799009372252299,0.6380945391878777,0.3393587502100135,7.367215272610781,0.5395490454618262,0.16618096891534392,0.344196945271164,0.4756944444444445,0.3727575231481482,0.12425250771604938,0.1242525077160494,0.3078703703703703,0.37275752314814814,0.2547679292609479,0.3759817294973545,0.12121380023640664,0.15853624036698769,0.9731763406208683,336.0,-0.20315944664903,nan,nan,nan,0.3727575231481482,nan,nan,nan,0.0,nan,3
1-3,3,0.44260324369866494,0.6100361788274954,0.26953125,8.067145130621691,0.4958034293361442,0.14068700396825395,0.2951518063822751,0.42979083994708994,0.3148974867724868,0.10496582892416227,0.10496582892416224,0.2440248129903302,0.3148974867724868,0.22067696020488578,0.3189587466931217,0.09828178648823595,0.1208372940084483,0.9587512467800355,336.0,-0.251901455026455,nan,nan,nan,0.3148974867724868,nan,nan,nan,0.0,nan,3
1-3,4,0.4205265205600368,0.5936130939131893,0.22987152427755375,8.464353531125992,0.47097790430462555,0.12319155092592593,0.2679604828042328,0.40305679563492064,0.27719907407407407,0.09239969135802469,0.09239969135802469,0.20242656449552995,0.277199074074074,0.18739402158617582,0.2818597056878307,0.09446568410165483,0.11050384653646068,0.95044705353527,336.0,-0.2857211750440917,nan,nan,nan,0.27719907407407407,nan,nan,nan,0.0,nan,3
1-3,5,0.40886155954662434,0.5847536367238297,0.21093553112399197,8.683431635458001,0.4572855227838748,0.11254753637566138,0.2539863384589947,0.3878296544312169,0.25922825727513227,0.08640941909171075,0.08640941909171075,0.18259669768290454,0.25922825727513227,0.17733046971743782,0.2644469246031746,0.08711645488573679,0.09954803582893157,0.9404428897429487,336.0,-0.3020419973544974,nan,nan,nan,0.25922825727513227,nan,nan,nan,0.0,nan,3
1-3,6,0.3987210825100524,0.5779473372587302,0.19745660597278225,8.789262075272816,0.4506711202954489,0.10106646825396826,0.23949032738095236,0.37544048652447093,0.2375165343915344,0.07917217813051146,0.07917217813051147,0.1586389345010035,0.2375165343915344,0.1655413606045255,0.2427972056878307,0.0772558450833052,0.08636257206726033,0.9293887846536665,336.0,-0.3204330632716049,nan,nan,nan,0.2375165343915344,nan,nan,nan,0.0,nan,3
1-3,7,0.4153022042232681,0.5896691873033769,0.2246828797043011,8.524952721974207,0.4671904548766121,0.1281518683862434,0.26025132275132273,0.3929772755456349,0.2740368716931217,0.09134562389770723,0.09134562389770723,0.1989372377303412,0.27403687169312163,0.16932558151806823,0.27828414351851855,0.1089585620004503,0.12633152906845693,0.9611841422672535,336.0,-0.2776675485008819,nan,nan,nan,0.2740368716931217,nan,nan,nan,0.0,nan,3
1-4,-1,0.46634923147245605,0.6278124059144511,0.31262354696950606,7.620498576492229,0.5237188389692357,0.16190915385251323,0.32632236379794977,0.45797697198454035,0.4198572875330688,0.1049643218832672,0.1049643218832672,0.33697975718065004,0.4198572875330688,0.29887427068382016,0.41999162946428575,0.12111735878046549,0.17258643946157007,0.9988758014783036,336.0,-0.11683967496141974,nan,nan,nan,0.4198572875330688,nan,nan,nan,0.0,nan,3
1-4,0,0.6030878156726662,0.7278610500203202,0.5362017231602823,5.292185304026124,0.6692384184983672,0.3060619212962963,0.49994833002645506,0.6179367146164021,0.6663256448412698,0.16658141121031744,0.16658141121031744,0.6186578798185941,0.6663256448412698,0.5117055576663289,0.6683821097883597,0.15667655212203088,0.31654294036788894,0.9868852103097444,336.0,0.0976472938712522,nan,nan,nan,0.6663256448412698,nan,nan,nan,0.0,nan,3
1-4,1,0.5347670375106263,0.6790204885121626,0.43646896526377693,6.367248212218915,0.6020469867363177,0.2179542824074074,0.410499855324074,0.5420554832175926,0.5504712301587301,0.13761780753968253,0.13761780753968253,0.48625283446712025,0.5504712301587302,0.3861099238010808,0.5532820767195767,0.16717215291849596,0.2675740074329188,0.9829039964267433,336.0,-0.023544284611992955,nan,nan,nan,0.5504712301587301,nan,nan,nan,0.0,nan,3
1-4,2,0.49094907133189336,0.6464447196751212,0.3603509062079973,7.157072844328703,0.552682947229456,0.17378678902116404,0.36007512814153436,0.4882928757440476,0.4576512896825397,0.11441282242063493,0.11441282242063493,0.38017290249433106,0.4576512896825397,0.31974061233535966,0.4604621362433862,0.14072152390802653,0.20277938974498988,0.9800443443516883,336.0,-0.08523272156084656,nan,nan,nan,0.4576512896825397,nan,nan,nan,0.0,nan,3
1-4,3,0.4520046655069274,0.6172660530906057,0.2874033938172043,7.878952752976191,0.507565452938988,0.14681506283068782,0.3092086226851852,0.44238668774801587,0.3999049272486772,0.0999762318121693,0.0999762318121693,0.31417705971277393,0.3999049272486772,0.2843833991191039,0.40387318121693117,0.1194897820978273,0.16148238746235757,0.9668047051152714,336.0,-0.1427916942239859,nan,nan,nan,0.3999049272486772,nan,nan,nan,0.0,nan,3
1-4,4,0.4262624519233514,0.5980061210362125,0.24227544312836025,8.358030934813161,0.4776230665741774,0.12628141534391535,0.2745535714285714,0.4119220713458995,0.3475735780423281,0.08689339451058202,0.08689339451058202,0.2543698034769464,0.3475735780423281,0.24536113573680063,0.3525442294973545,0.10718309376055389,0.1353773867979788,0.9533925397279521,336.0,-0.1740313602292769,nan,nan,nan,0.3475735780423281,nan,nan,nan,0.0,nan,3
