pair,layer_id,source_rank,mean_target_rank,mean_absolute_displacement,count
1-2,-1,1,8.896167896412036,7.896167896412037,774144
1-2,-1,2,10.215316530257937,8.419338004298941,774144
1-2,-1,3,11.036812272652117,8.503177703373016,774144
1-2,-1,4,11.635407624421296,8.41432472511574,774144
1-2,-1,5,12.171223958333334,8.306563120039682,774144
1-2,-1,6,12.583967582258598,8.133004970651456,774144
1-2,-1,7,13.096691313244047,8.059209914434524,774144
1-2,-1,8,13.52207599619709,7.95444000082672,774144
1-2,-1,9,13.894263857886905,7.80950443328373,774144
1-2,-1,10,14.275439711474867,7.705736917162699,774144
1-2,-1,11,14.572018900876323,7.5674331907242065,774144
1-2,-1,12,14.98811332258598,7.532699342757937,774144
1-2,-1,13,15.22345455109127,7.423515521660053,774144
1-2,-1,14,15.58128074363426,7.360303767774471,774144
1-2,-1,15,15.914924096808862,7.372900907324736,774144
1-2,-1,16,16.260233238260582,7.335441468253968,774144
1-2,-1,17,16.590301029265873,7.355143229166667,774144
1-2,-1,18,16.94478804976852,7.398633845899471,774144
1-2,-1,19,17.213320777529763,7.4252555080191796,774144
1-2,-1,20,17.56979709201389,7.501290457589286,774144
1-2,-1,21,17.953385933366402,7.523967117228836,774144
1-2,-1,22,18.334618623925266,7.59424732349537,774144
1-2,-1,23,18.672204396081348,7.723401589368386,774144
1-2,-1,24,19.060946025545636,7.81932689525463,774144
1-2,-1,25,19.46609157986111,7.930966331845238,774144
1-2,-1,26,19.91687334656085,8.022349847056878,774144
1-2,-1,27,20.37492507853836,8.145851417824074,774144
1-2,-1,28,20.935664424189813,8.212000609705688,774144
1-2,-1,29,21.45851417824074,8.320309916501323,774144
1-2,-1,30,22.130675946593914,8.341641865079366,774144
1-2,-1,31,23.064741185102513,8.144976903521826,774144
1-2,-1,32,24.445760737020503,7.554239262979498,774144
1-2,0,1,4.829509755291006,3.829509755291005,96768
1-2,0,2,6.2466001157407405,4.56065021494709,96768
1-2,0,3,7.332795965608466,4.990844080687831,96768
1-2,0,4,8.199311755952381,5.255694031084656,96768
1-2,0,5,9.058521412037036,5.434141451719577,96768
1-2,0,6,9.763341187169312,5.598017939814815,96768
1-2,0,7,10.663907490079366,5.853391617063492,96768
1-2,0,8,11.039310515873016,5.697999338624339,96768
1-2,0,9,11.935164517195767,5.952050264550264,96768
1-2,0,10,12.65182705026455,6.071325231481482,96768
1-2,0,11,13.089564732142858,6.077246610449736,96768
