seed,pair,layer_id,intersection_size,count,share
0,1-2,0,0,18153,0.5627790178571429
0,1-2,0,1,14103,0.43722098214285715
0,1-2,1,0,21640,0.6708829365079365
0,1-2,1,1,10616,0.3291170634920635
0,1-2,2,0,23675,0.7339719742063492
0,1-2,2,1,8581,0.2660280257936508
0,1-2,3,0,24716,0.7662450396825397
0,1-2,3,1,7540,0.23375496031746032
0,1-2,4,0,26433,0.8194754464285714
0,1-2,4,1,5823,0.18052455357142858
0,1-2,5,0,26077,0.8084387400793651
0,1-2,5,1,6179,0.1915612599206349
0,1-2,6,0,26380,0.8178323412698413
0,1-2,6,1,5876,0.18216765873015872
0,1-2,7,0,25190,0.7809399801587301
0,1-2,7,1,7066,0.21906001984126985
0,1-2,-1,0,192264,0.7450706845238095
0,1-2,-1,1,65784,0.25492931547619047
0,1-3,0,0,13936,0.4320436507936508
0,1-3,0,1,18320,0.5679563492063492
0,1-3,1,0,18010,0.5583457341269841
0,1-3,1,1,14246,0.44165426587301587
0,1-3,2,0,21059,0.6528707837301587
0,1-3,2,1,11197,0.3471292162698413
0,1-3,3,0,21976,0.6812996031746031
0,1-3,3,1,10280,0.3187003968253968
0,1-3,4,0,22993,0.712828621031746
0,1-3,4,1,9263,0.28717137896825395
0,1-3,5,0,23885,0.7404823908730159
0,1-3,5,1,8371,0.25951760912698413
0,1-3,6,0,23782,0.7372891865079365
0,1-3,6,1,8474,0.2627108134920635
0,1-3,7,0,22400,0.6944444444444444
0,1-3,7,1,9856,0.3055555555555556
0,1-3,-1,0,168041,0.6512005518353174
0,1-3,-1,1,90007,0.34879944816468256
0,1-4,0,0,10599,0.32859002976190477
0,1-4,0,1,21657,0.6714099702380952
0,1-4,1,0,14375,0.4456535218253968
0,1-4,1,1,17881,0.5543464781746031
0,1-4,2,0,17974,0.5572296626984127
0,1-4,2,1,14282,0.4427703373015873
0,1-4,3,0,19175,0.5944630456349206
0,1-4,3,1,13081,0.40553695436507936
0,1-4,4,0,20436,0.6335565476190477
0,1-4,4,1,11820,0.3664434523809524
0,1-4,5,0,22069,0.6841827876984127
0,1-4,5,1,10187,0.3158172123015873
0,1-4,6,0,21896,0.6788194444444444
0,1-4,6,1,10360,0.3211805555555556
0,1-4,7,0,20904,0.6480654761904762
0,1-4,7,1,11352,0.35193452380952384
0,1-4,-1,0,147428,0.571320064484127
0,1-4,-1,1,110620,0.428679935515873
0,1-5,0,0,8467,0.2624937996031746
0,1-5,0,1,23789,0.7375062003968254
0,1-5,1,0,12174,0.37741815476190477
0,1-5,1,1,20082,0.6225818452380952
0,1-5,2,0,16300,0.5053323412698413
0,1-5,2,1,15956,0.4946676587301587
0,1-5,3,0,16877,0.5232204861111112
0,1-5,3,1,15379,0.4767795138888889
0,1-5,4,0,18170,0.5633060515873016
0,1-5,4,1,14086,0.43669394841269843
0,1-5,5,0,20260,0.6281001984126984
0,1-5,5,1,11996,0.37189980158730157
0,1-5,6,0,20191,0.6259610615079365
0,1-5,6,1,12065,0.3740389384920635
0,1-5,7,0,19332,0.5993303571428571
0,1-5,7,1,12924,0.40066964285714285
0,1-5,-1,0,131771,0.5106453062996031
0,1-5,-1,1,126277,0.4893546937003968
0,1-6,0,0,7125,0.22088913690476192
0,1-6,0,1,25131,0.7791108630952381
0,1-6,1,0,10046,0.31144593253968256
0,1-6,1,1,22210,0.6885540674603174
0,1-6,2,0,14073,0.4362909226190476
0,1-6,2,1,18183,0.5637090773809523
0,1-6,3,0,15024,0.46577380952380953
0,1-6,3,1,17232,0.5342261904761905
0,1-6,4,0,16530,0.5124627976190477
0,1-6,4,1,15726,0.4875372023809524
0,1-6,5,0,18254,0.5659102182539683
0,1-6,5,1,14002,0.43408978174603174
0,1-6,6,0,18575,0.5758618551587301
0,1-6,6,1,13681,0.4241381448412698
0,1-6,7,0,17615,0.5460999503968254
0,1-6,7,1,14641,0.4539000496031746
0,1-6,-1,0,117242,0.45434182787698413
0,1-6,-1,1,140806,0.5456581721230159
0,1-7,0,0,5514,0.17094494047619047
0,1-7,0,1,26742,0.8290550595238095
0,1-7,1,0,8477,0.2628038194444444
0,1-7,1,1,23779,0.7371961805555556
0,1-7,2,0,12124,0.3758680555555556
0,1-7,2,1,20132,0.6241319444444444
0,1-7,3,0,13331,0.4132874503968254
0,1-7,3,1,18925,0.5867125496031746
0,1-7,4,0,15072,0.46726190476190477
0,1-7,4,1,17184,0.5327380952380952
0,1-7,5,0,16851,0.5224144345238095
0,1-7,5,1,15405,0.47758556547619047
0,1-7,6,0,17006,0.5272197420634921
0,1-7,6,1,15250,0.47278025793650796
0,1-7,7,0,15847,0.49128844246031744
0,1-7,7,1,16409,0.5087115575396826
0,1-7,-1,0,104222,0.40388609871031744
0,1-7,-1,1,153826,0.5961139012896826
0,1-8,0,0,4179,0.12955729166666666
0,1-8,0,1,28077,0.8704427083333334
0,1-8,1,0,7327,0.2271515376984127
0,1-8,1,1,24929,0.7728484623015873
0,1-8,2,0,10558,0.32731894841269843
0,1-8,2,1,21698,0.6726810515873016
0,1-8,3,0,11283,0.3497953869047619
0,1-8,3,1,20973,0.6502046130952381
0,1-8,4,0,13621,0.4222780257936508
0,1-8,4,1,18635,0.5777219742063492
0,1-8,5,0,15085,0.4676649305555556
0,1-8,5,1,17171,0.5323350694444444
0,1-8,6,0,15418,0.4779885912698413
0,1-8,6,1,16838,0.5220114087301587
0,1-8,7,0,14848,0.4603174603174603
0,1-8,7,1,17408,0.5396825396825397
0,1-8,-1,0,92319,0.35775902157738093
0,1-8,-1,1,165729,0.6422409784226191
0,2-3,0,0,704,0.021825396825396824
0,2-3,0,1,10187,0.3158172123015873
0,2-3,0,2,21365,0.6623573908730159
0,2-3,1,0,2523,0.07821800595238096
0,2-3,1,1,15520,0.48115079365079366
0,2-3,1,2,14213,0.4406312003968254
0,2-3,2,0,4484,0.13901289682539683
0,2-3,2,1,17072,0.529265873015873
0,2-3,2,2,10700,0.3317212301587302
0,2-3,3,0,5860,0.18167162698412698
0,2-3,3,1,18004,0.5581597222222222
0,2-3,3,2,8392,0.2601686507936508
0,2-3,4,0,6147,0.19056919642857142
0,2-3,4,1,18148,0.5626240079365079
0,2-3,4,2,7961,0.24680679563492064
0,2-3,5,0,7044,0.2183779761904762
0,2-3,5,1,17999,0.5580047123015873
0,2-3,5,2,7213,0.2236173115079365
0,2-3,6,0,7341,0.22758556547619047
0,2-3,6,1,18718,0.5802951388888888
0,2-3,6,2,6197,0.19211929563492064
0,2-3,7,0,6031,0.18697296626984128
0,2-3,7,1,18274,0.5665302579365079
0,2-3,7,2,7951,0.24649677579365079
0,2-3,-1,0,40134,0.15552920386904762
0,2-3,-1,1,133922,0.518980964781746
0,2-3,-1,2,83992,0.32548983134920634
0,2-4,0,0,304,0.009424603174603174
0,2-4,0,1,6726,0.20851934523809523
0,2-4,0,2,25226,0.7820560515873016
0,2-4,1,0,1421,0.04405381944444445
0,2-4,1,1,11740,0.36396329365079366
0,2-4,1,2,19095,0.5919828869047619
0,2-4,2,0,2932,0.09089781746031746
0,2-4,2,1,15692,0.48648313492063494
0,2-4,2,2,13632,0.4226190476190476
0,2-4,3,0,4016,0.12450396825396826
0,2-4,3,1,16963,0.5258866567460317
0,2-4,3,2,11277,0.349609375
0,2-4,4,0,4659,0.14443824404761904
0,2-4,4,1,17559,0.5443638392857143
0,2-4,4,2,10038,0.3111979166666667
0,2-4,5,0,5215,0.1616753472222222
0,2-4,5,1,17657,0.5474020337301587
0,2-4,5,2,9384,0.29092261904761907
0,2-4,6,0,6442,0.19971478174603174
0,2-4,6,1,17513,0.542937748015873
