pair,metric_name,target,n,pearson,spearman,mean_metric,mean_target
1-2,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-2,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-2,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-2,nestedness,up_delta_loss,3,-0.6944144156200286,-0.5,0.2524129877645503,-0.01377271305000971
1-2,nestedness,down_delta_loss,3,0.9587938944126613,1.0,0.2524129877645503,0.23485935609492045
1-2,nestedness,mean_abs_delta_loss,3,0.9999852562242769,1.0,0.2524129877645503,0.1243160345724651
1-2,spearman,up_delta_loss,3,-0.4520870773978441,-0.5,0.40805445114771527,-0.01377271305000971
1-2,spearman,down_delta_loss,3,0.999945590341413,1.0,0.40805445114771527,0.23485935609492045
1-2,spearman,mean_abs_delta_loss,3,0.9573609847851773,1.0,0.40805445114771527,0.1243160345724651
1-2,top1_agreement,up_delta_loss,3,-0.9203108678650893,-1.0,0.15397264591600526,-0.01377271305000971
1-2,top1_agreement,down_delta_loss,3,0.7716666442690107,0.5,0.15397264591600526,0.23485935609492045
1-2,top1_agreement,mean_abs_delta_loss,3,0.9184316796897439,0.5,0.15397264591600526,0.1243160345724651
1-2,top_pair_overlap,up_delta_loss,0,nan,nan,nan,nan
1-2,top_pair_overlap,down_delta_loss,0,nan,nan,nan,nan
1-2,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
1-3,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-3,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-3,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-3,nestedness,up_delta_loss,3,0.06852999365336845,0.5,0.3456114107969577,-0.007612458533710897
1-3,nestedness,down_delta_loss,3,-0.8544279208721789,-0.5,0.3456114107969577,0.5721070600880517
1-3,nestedness,mean_abs_delta_loss,3,-0.9146116677932203,-0.5,0.3456114107969577,0.2913939864152954
1-3,spearman,up_delta_loss,3,-0.062183440873739816,0.5,0.42183242241541546,-0.007612458533710897
1-3,spearman,down_delta_loss,3,-0.9148983774983057,-0.5,0.42183242241541546,0.5721070600880517
1-3,spearman,mean_abs_delta_loss,3,-0.9595371340795675,-0.5,0.42183242241541546,0.2913939864152954
1-3,top1_agreement,up_delta_loss,3,-0.045372375866494875,0.5,0.15911380828373015,-0.007612458533710897
1-3,top1_agreement,down_delta_loss,3,-0.9079727655087302,-0.5,0.15911380828373015,0.5721070600880517
1-3,top1_agreement,mean_abs_delta_loss,3,-0.9546607647218341,-0.5,0.15911380828373015,0.2913939864152954
1-3,top_pair_overlap,up_delta_loss,0,nan,nan,nan,nan
1-3,top_pair_overlap,down_delta_loss,0,nan,nan,nan,nan
1-3,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
1-4,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-4,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-4,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-4,nestedness,up_delta_loss,3,-0.4011133842246398,-0.5,0.41991799975198413,0.012879491561935075
1-4,nestedness,down_delta_loss,3,-0.22611725772412813,-0.5,0.41991799975198413,0.9145930636496772
1-4,nestedness,mean_abs_delta_loss,3,-0.4052252751026846,-0.5,0.41991799975198413,0.4640928056268465
1-4,spearman,up_delta_loss,3,-0.6397803220291041,-0.5,0.4353685180346171,0.012879491561935075
1-4,spearman,down_delta_loss,3,0.053365220226927634,-0.5,0.4353685180346171,0.9145930636496772
1-4,spearman,mean_abs_delta_loss,3,-0.13532829743887967,-0.5,0.4353685180346171,0.4640928056268465
