seed,train_k,layer_id,mutual_information,normalized_mutual_information,expert_purity,mean_pairwise_task_js
0,1,0,0.023675273008339395,0.009167982634704239,0.18892609126984128,0.013921134972988958
0,1,1,0.03372710749944918,0.01307032780269976,0.19518849206349206,0.01993158979588956
0,1,2,0.029652989851900766,0.011483986914189783,0.1963045634920635,0.017321935835602834
0,1,3,0.03076272493633373,0.011899643018446997,0.1954675099206349,0.017930085084451458
0,1,4,0.037243539394504394,0.014418566115824946,0.20238095238095238,0.02185104072028911
0,1,5,0.030454323286860922,0.011789400027632738,0.1954675099206349,0.017939342681133744
0,1,6,0.02898408897593311,0.011213121311784978,0.19549851190476192,0.016938852837754013
0,1,7,0.03602590477081064,0.014012890620620604,0.19782366071428573,0.021144551788194615
0,2,0,0.02156816662508427,0.008361474421836485,0.18763950892857142,0.0126195340524157
0,2,1,0.030688532332762343,0.011908375972926568,0.1999937996031746,0.017670006618639426
0,2,2,0.06428575382803306,0.024970057071078258,0.23001922123015872,0.03691074591199568
0,2,3,0.1419623104011513,0.055207405407055085,0.2732359871031746,0.07902742859150207
0,2,4,0.1598184719380637,0.06221253156528686,0.2864428323412698,0.0871038922148999
0,2,5,0.1565085114171086,0.06067315909816048,0.29172867063492064,0.0869829486387148
0,2,6,0.13239522881023408,0.051420380018839834,0.26901971726190477,0.07523147175713067
0,2,7,0.08136262121116447,0.03169987738476076,0.23493303571428573,0.04632420920386306
0,3,0,0.012873369979251132,0.004976713647471931,0.17620494378306878,0.007527076361253953
0,3,1,0.02292113030733803,0.008855992142865636,0.1886677414021164,0.013352010401323944
0,3,2,0.04909446211601387,0.018986067275871082,0.21494708994708994,0.028477878189165244
0,3,3,0.12474041115171522,0.04828513665796325,0.2668134093915344,0.07085319876512038
0,3,4,0.1506992495135606,0.05829608726166973,0.2881117724867725,0.08399424374600824
0,3,5,0.14589178297779318,0.05630383224959514,0.2825107473544973,0.08110473489908164
0,3,6,0.11074837374027474,0.04293540233113576,0.25965195105820105,0.06284751697721318
0,3,7,0.06954029616377756,0.02697521173817736,0.22781291335978837,0.039512486342968584
0,4,0,0.007840902232461682,0.003024732126827064,0.16780598958333334,0.004584102064028685
0,4,1,0.020156787669331745,0.007776016820178904,0.1873449900793651,0.011686137004705624
0,4,2,0.04642826858662512,0.017931762975690248,0.2105034722222222,0.02690600254192049
0,4,3,0.08855263732356969,0.03423562510185404,0.24233475942460317,0.050817081186628504
0,4,4,0.11870598853298098,0.04592448356795489,0.26378813244047616,0.0669078936232082
0,4,5,0.10226896304001318,0.0395894096755898,0.2534024677579365,0.057403085064376726
0,4,6,0.08866876641811652,0.034258959242763135,0.24298580109126985,0.05112412714672419
0,4,7,0.055993714183225976,0.021783137005967495,0.22021484375,0.03229228407468302
0,5,0,0.005762607565247836,0.0022221475268757594,0.1654265873015873,0.003351709332395377
0,5,1,0.014852923604409603,0.005727849887467982,0.18003472222222222,0.008635975849314392
0,5,2,0.03669098665010726,0.014174730478812719,0.19853670634920634,0.021545460993512806
0,5,3,0.08078447414392537,0.031191685312669096,0.23521825396825397,0.04709259701781486
0,5,4,0.11696485132482326,0.04514792388250434,0.2658234126984127,0.06696367014370587
0,5,5,0.11013333691829702,0.04252611180428435,0.26333705357142856,0.06218589419254593
0,5,6,0.08844202755688603,0.034157615820827124,0.2474516369047619,0.050945643740896995
0,5,7,0.049385717193548825,0.019097875493858947,0.21060267857142856,0.02870317699147425
0,6,0,0.00550385469355651,0.002122606126009491,0.16421234292328044,0.0032066510400895454
0,6,1,0.011810588150954015,0.004553400148069435,0.17733134920634921,0.006841967650656089
0,6,2,0.0346676383791844,0.013377362700984101,0.19735346395502645,0.020322723042798956
0,6,3,0.07580428022203003,0.02924692984716094,0.23460234788359788,0.04354688530454186
0,6,4,0.09755973000443842,0.03764009310642077,0.24912161044973544,0.05614093151744784
0,6,5,0.10511090144474605,0.040568129199380895,0.2623026207010582,0.058970109303041515
0,6,6,0.0719803630303882,0.0277703699174714,0.23526372354497355,0.041323403275041526
0,6,7,0.04617272663623149,0.017877095274455808,0.2113043568121693,0.02653880897275102
0,7,0,0.004514856347330162,0.001740656444796594,0.16297300170068027,0.002634335188123082
0,7,1,0.009798871534448682,0.0037777893586726052,0.1734561011904762,0.005695768532135536
0,7,2,0.024708575982268832,0.009531307976221667,0.18951955782312926,0.01448164703148235
0,7,3,0.05971427124341556,0.023055131129842928,0.21971991921768708,0.034915411101274864
0,7,4,0.08268389445185755,0.03200308878435708,0.23848497732426305,0.04778516328531134
0,7,5,0.08221577922071019,0.03174606670014126,0.24340100623582767,0.04702000633976798
0,7,6,0.07364247583218249,0.028477354772214726,0.22976013321995464,0.04289587542722357
0,7,7,0.04990099955141967,0.01931188510709978,0.21502090419501133,0.028600898452093924
0,8,0,0.0037834261652268724,0.00145830026834516,0.1614040798611111,0.002203941930629346
0,8,1,0.008020763717573364,0.003089810930367262,0.1705380394345238,0.0046783710368351805
0,8,2,0.017698935448256087,0.006824600302044737,0.18102833581349206,0.01034551193454358
0,8,3,0.04670934724995747,0.0180061236708987,0.21195281498015872,0.027219154496393772
0,8,4,0.0618774135832222,0.023858130176808504,0.2262641059027778,0.035478846069868425
0,8,5,0.06089478391755726,0.023486719943819557,0.22538054935515872,0.03492822795085024
0,8,6,0.04976051121888703,0.019198930805354116,0.21552579365079366,0.02905740358873286
0,8,7,0.034728649085797245,0.013441802830264473,0.1931888640873016,0.019997150628616706
1,1,0,0.028546248763323897,0.011040696985473912,0.19751364087301587,0.016603374756927587
1,1,1,0.030713935752100026,0.011896750188283076,0.1970486111111111,0.017999965029250636
1,1,2,0.034467849931917635,0.013346272664046477,0.2002108134920635,0.02012594617626777
1,1,3,0.030538798178056235,0.01183252374386757,0.19738963293650794,0.017725367417771372
1,1,4,0.035781742499877,0.013885991457613597,0.19766865079365079,0.02099238173202464
1,1,5,0.035321884499474786,0.01368245316099769,0.19990079365079366,0.020610075116223897
1,1,6,0.03005362325435413,0.01163873193175113,0.1896081349206349,0.01787197514496488
1,1,7,0.029341018488590317,0.011447335091988224,0.1954675099206349,0.017067178262649047
1,2,0,0.01727745697974303,0.006704308046549197,0.18230716765873015,0.01012257040987291
1,2,1,0.03463194332545151,0.013407404164181977,0.19897073412698413,0.020235476505032348
1,2,2,0.06118459039276805,0.023769043796083224,0.2175564236111111,0.03562631276385714
1,2,3,0.11718924865309732,0.04536895882037563,0.2636873759920635,0.06695048275738931
1,2,4,0.14559360378576194,0.0565215703939574,0.2815600198412698,0.0812091959258536
1,2,5,0.1392270331251214,0.05406582532565707,0.27160838293650796,0.07744246367932839
1,2,6,0.13331515541496458,0.05191863452891376,0.2726624503968254,0.07343210189069155
1,2,7,0.07038760602210098,0.027390253862388428,0.21949404761904762,0.04095720839928044
1,3,0,0.011417820052590517,0.00442042507754041,0.17602926587301587,0.006648196724802079
1,3,1,0.023894856482435972,0.009231634866443,0.19098255621693122,0.013913856818003825
1,3,2,0.052567891799113836,0.02040373115054631,0.21694155092592593,0.030574144036957643
1,3,3,0.10023264298800114,0.038794900396116404,0.24244584986772486,0.05835244357361063
1,3,4,0.17524302841517292,0.06785628367683745,0.2959036044973545,0.09751892310238447
1,3,5,0.1558227860252411,0.06038553375125169,0.2777364417989418,0.08777857850084533
1,3,6,0.14240616310646562,0.05519847694631802,0.2722594246031746,0.08104998527079536
1,3,7,0.07457242888321308,0.02914634420177262,0.22781291335978837,0.04327752412023456
1,4,0,0.009346191844064189,0.003609099382837331,0.17254154265873015,0.005444360724805143
