seed,train_k,layer_id,task_id,task_name,num_records,normalized_gate_entropy,top1_top2_logit_margin,selected_probability_mass,normalized_selected_weight_entropy
0,1,0,0,general_ko,4608,0.9795773029327393,0.15041467547416687,0.06391023844480515,0.0
0,1,0,1,general_en,4608,0.9797667264938354,0.15249092876911163,0.06412315368652344,0.0
0,1,0,2,math_ko,4608,0.9790931344032288,0.16575267910957336,0.0655617043375969,0.0
0,1,0,3,math_en,4608,0.9792033433914185,0.14844553172588348,0.06430847197771072,0.0
0,1,0,4,code,4608,0.9791283011436462,0.16015206277370453,0.06485298275947571,0.0
0,1,0,5,reasoning,4608,0.9795591831207275,0.14523373544216156,0.06395938992500305,0.0
0,1,0,6,translation,4608,0.979620099067688,0.14737102389335632,0.06386425346136093,0.0
0,1,1,0,general_ko,4608,0.9847596287727356,0.14614088833332062,0.05939215421676636,0.0
0,1,1,1,general_en,4608,0.9846470355987549,0.13266579806804657,0.0588412806391716,0.0
0,1,1,2,math_ko,4608,0.984546422958374,0.14010529220104218,0.05944250524044037,0.0
0,1,1,3,math_en,4608,0.9847072958946228,0.13760431110858917,0.05916327238082886,0.0
0,1,1,4,code,4608,0.9844996929168701,0.12414100766181946,0.058663539588451385,0.0
0,1,1,5,reasoning,4608,0.9848051071166992,0.14792384207248688,0.05923420935869217,0.0
0,1,1,6,translation,4608,0.9846751093864441,0.14013049006462097,0.059098824858665466,0.0
0,1,2,0,general_ko,4608,0.9855831861495972,0.13700798153877258,0.058343809098005295,0.0
0,1,2,1,general_en,4608,0.9860973358154297,0.12931667268276215,0.05722682178020477,0.0
0,1,2,2,math_ko,4608,0.985912024974823,0.1297607719898224,0.05776539072394371,0.0
0,1,2,3,math_en,4608,0.9860426783561707,0.13173344731330872,0.05760342627763748,0.0
0,1,2,4,code,4608,0.9857940673828125,0.12641654908657074,0.05749845504760742,0.0
0,1,2,5,reasoning,4608,0.9858847856521606,0.12457696348428726,0.0572257824242115,0.0
0,1,2,6,translation,4608,0.9857047200202942,0.13159553706645966,0.05804130807518959,0.0
0,1,3,0,general_ko,4608,0.9862478971481323,0.12217140197753906,0.05669311806559563,0.0
0,1,3,1,general_en,4608,0.9862567186355591,0.12804014980793,0.0576140470802784,0.0
0,1,3,2,math_ko,4608,0.9859936833381653,0.1265932023525238,0.05741386115550995,0.0
0,1,3,3,math_en,4608,0.9865556359291077,0.12391768395900726,0.056851956993341446,0.0
0,1,3,4,code,4608,0.9863294959068298,0.13342274725437164,0.05738768354058266,0.0
0,1,3,5,reasoning,4608,0.9861412048339844,0.13361060619354248,0.057636816054582596,0.0
0,1,3,6,translation,4608,0.98615562915802,0.13139770925045013,0.05737181007862091,0.0
0,1,4,0,general_ko,4608,0.9871687293052673,0.12465366721153259,0.05589775741100311,0.0
0,1,4,1,general_en,4608,0.9873116612434387,0.10862448066473007,0.055398814380168915,0.0
0,1,4,2,math_ko,4608,0.9864978790283203,0.1332010179758072,0.057056836783885956,0.0
0,1,4,3,math_en,4608,0.98750901222229,0.12186309695243835,0.05558058246970177,0.0
0,1,4,4,code,4608,0.9868245720863342,0.1269039809703827,0.056555211544036865,0.0
0,1,4,5,reasoning,4608,0.9871222376823425,0.12688422203063965,0.056117892265319824,0.0
0,1,4,6,translation,4608,0.9871266484260559,0.11895550787448883,0.055717580020427704,0.0
0,1,5,0,general_ko,4608,0.9881755113601685,0.12573717534542084,0.05468982458114624,0.0
0,1,5,1,general_en,4608,0.9884541630744934,0.1229749247431755,0.05481300503015518,0.0
0,1,5,2,math_ko,4608,0.9879646301269531,0.11441370844841003,0.055148083716630936,0.0
0,1,5,3,math_en,4608,0.9879752397537231,0.12040335685014725,0.05527050420641899,0.0
0,1,5,4,code,4608,0.9876368045806885,0.12215026468038559,0.055591240525245667,0.0
0,1,5,5,reasoning,4608,0.988037645816803,0.1197187751531601,0.0552334226667881,0.0
0,1,5,6,translation,4608,0.9880021214485168,0.12940511107444763,0.055405572056770325,0.0
0,1,6,0,general_ko,4608,0.9886767268180847,0.11463749408721924,0.054252080619335175,0.0
0,1,6,1,general_en,4608,0.9887203574180603,0.11083631962537766,0.0540311262011528,0.0
0,1,6,2,math_ko,4608,0.9885739088058472,0.10470856726169586,0.053931400179862976,0.0
0,1,6,3,math_en,4608,0.9892489314079285,0.11453410238027573,0.05353419482707977,0.0
0,1,6,4,code,4608,0.9878115057945251,0.11960899829864502,0.05521741136908531,0.0
0,1,6,5,reasoning,4608,0.9883835911750793,0.11882182955741882,0.05472210422158241,0.0
0,1,6,6,translation,4608,0.9888927936553955,0.11846935749053955,0.05419670045375824,0.0
0,1,7,0,general_ko,4608,0.9866992235183716,0.12851275503635406,0.05673646926879883,0.0
0,1,7,1,general_en,4608,0.987497866153717,0.10993019491434097,0.05500821769237518,0.0
0,1,7,2,math_ko,4608,0.9866335391998291,0.12189189344644547,0.05646492540836334,0.0
0,1,7,3,math_en,4608,0.9875450134277344,0.11180628836154938,0.05482136458158493,0.0
0,1,7,4,code,4608,0.9866740107536316,0.12053065747022629,0.05640942603349686,0.0
0,1,7,5,reasoning,4608,0.9873229265213013,0.12822958827018738,0.056123360991477966,0.0
0,1,7,6,translation,4608,0.9876465201377869,0.12153291702270508,0.05570270121097565,0.0
0,2,0,0,general_ko,4608,0.9348087310791016,0.41844552755355835,0.19737161695957184,0.9542164206504822
0,2,0,1,general_en,4608,0.9344848990440369,0.4000711441040039,0.1991177499294281,0.9563066959381104
0,2,0,2,math_ko,4608,0.9339892268180847,0.39931827783584595,0.1980200856924057,0.9570887088775635
0,2,0,3,math_en,4608,0.9348825812339783,0.3905580937862396,0.19639956951141357,0.9582648873329163
0,2,0,4,code,4608,0.9364117383956909,0.3849027454853058,0.19373555481433868,0.9580063223838806
0,2,0,5,reasoning,4608,0.9351880550384521,0.3691168427467346,0.19647660851478577,0.961027979850769
0,2,0,6,translation,4608,0.9326237440109253,0.40654003620147705,0.20147135853767395,0.9554638266563416
0,2,1,0,general_ko,4608,0.9286045432090759,0.46377813816070557,0.20760314166545868,0.943385660648346
0,2,1,1,general_en,4608,0.927571177482605,0.42886531352996826,0.2104087918996811,0.9491659998893738
0,2,1,2,math_ko,4608,0.9290786385536194,0.4582229256629944,0.2083865851163864,0.9464694261550903
0,2,1,3,math_en,4608,0.927384078502655,0.4412210285663605,0.20925018191337585,0.9473378658294678
