pair,layer_id,rbo_p90,rbo_p95,kendall_tau,mean_absolute_rank_displacement,normalized_footrule_similarity,top1_overlap,top4_overlap,top8_overlap,selected_containment_a,selected_containment_b,selected_jaccard,hypergeometric_calibrated_overlap,empirical_observed_overlap,empirical_null_overlap,empirical_ceiling_overlap,empirical_alignment_headroom,frequency_adjusted_overlap,empirical_ceiling_utilization,empirical_num_samples,selected_union_kendall_tau,common_selected_kendall_tau,common_pairwise_order_agreement,common_selected_exact_order_fraction,full_containment_record_fraction,ordered_containment_record_fraction,contained_exact_order_fraction,common_selected_record_mean_tau,common_selected_valid_record_fraction,common_pair_coverage,num_seeds
1-2,-1,0.4552936750561209,0.6197767309272968,0.29559907605571134,7.801172952803354,0.5124266904497904,0.15110270182291669,0.311217050703745,0.4451160733661954,0.2504713270399306,0.1252356635199653,0.1252356635199653,0.20050274884259262,0.2504713270399306,0.16586090366166412,0.2507837689112103,0.08492286524954619,0.10143759508703763,0.9963142685487518,336.0,-0.421496517443783,nan,nan,nan,0.2504713270399306,nan,nan,nan,0.0,nan,8
1-2,0,0.58151863288879,0.7142522528994819,0.5212572159305695,5.46007089766245,0.6587455688960968,0.2660706535218254,0.4660576714409722,0.5989268469432044,0.4249945746527778,0.2124972873263889,0.2124972873263889,0.38666087962962964,0.4249945746527778,0.2955628575122424,0.4272848462301587,0.13172198871791624,0.18390649879445714,0.9824497800760351,336.0,-0.24454106729497352,nan,nan,nan,0.4249945746527778,nan,nan,nan,0.0,nan,8
1-2,1,0.5108829586516354,0.6613154068288594,0.39598895657447075,6.788026113358756,0.5757483679150778,0.20098973834325395,0.3786863296750992,0.5120994931175595,0.32727632068452384,0.16363816034226192,0.16363816034226192,0.28242807539682535,0.32727632068452384,0.21695394622277103,0.3308764260912699,0.11392247986849882,0.1408119547913646,0.968258019415169,336.0,-0.33807922040343913,nan,nan,nan,0.32727632068452384,nan,nan,nan,0.0,nan,8
1-2,2,0.46992358896163366,0.6303463384573944,0.3199898504441784,7.571484035915798,0.5267822477552626,0.16835239955357142,0.33014884827628965,0.46162923177083337,0.27022879464285715,0.13511439732142858,0.13511439732142858,0.221577380952381,0.2702287946428572,0.17668978952950865,0.2741117931547619,0.0974220036252533,0.11364275760232732,0.9600669017854381,336.0,-0.3902426421957672,nan,nan,nan,0.27022879464285715,nan,nan,nan,0.0,nan,8
1-2,3,0.4367112521105524,0.6057158748948059,0.2604567004788306,8.169544522724454,0.4894034673297216,0.13298301091269843,0.2886536613343254,0.4242645748077877,0.22443111359126983,0.11221555679563491,0.11221555679563491,0.17272652116402112,0.22443111359126985,0.15083314534257852,0.22936042906746032,0.07852728372488182,0.0866486853741456,0.9357155899640165,336.0,-0.4480019221230158,nan,nan,nan,0.22443111359126983,nan,nan,nan,0.0,nan,8
1-2,4,0.4165439947032961,0.5907383850262833,0.2248933853641633,8.52538311670697,0.46716355520581443,0.1151219928075397,0.26405939980158727,0.39881339905753965,0.19741675967261904,0.09870837983630952,0.09870837983630952,0.14391121031746032,0.197416759672619,0.13199432795613814,0.20298161582341273,0.0709872878672746,0.07535330337442256,0.9191675346403425,336.0,-0.47805576223544965,nan,nan,nan,0.19741675967261904,nan,nan,nan,0.0,nan,8
1-2,5,0.40690249168896375,0.5834577876271829,0.2090242447391633,8.701121981181796,0.45617987617613776,0.1085689484126984,0.2514861576140873,0.38553243970114087,0.18700009300595238,0.09350004650297619,0.09350004650297619,0.13280009920634922,0.18700009300595238,0.12193525598404255,0.19213092137896826,0.07019566539492572,0.07410701296832375,0.9258522313809896,336.0,-0.48919580853174605,nan,nan,nan,0.18700009300595238,nan,nan,nan,0.0,nan,8
1-2,6,0.3986390587403765,0.5778981063636971,0.1971799788936492,8.792834811740452,0.45044782426622176,0.09709821428571429,0.24076625279017855,0.3767244853670635,0.16932508680555555,0.08466254340277778,0.08466254340277778,0.11394675925925926,0.16932508680555558,0.1114856909352837,0.17564949156746032,0.06416380063217664,0.06513232145221162,0.9005595762240524,336.0,-0.5138940558862434,nan,nan,nan,0.16932508680555555,nan,nan,nan,0.0,nan,8
1-2,7,0.4212274227037195,0.5944896953206702,0.2360022760206653,8.40091814313616,0.4749426160539899,0.11963665674603174,0.2698780846974206,0.40293811616443453,0.2030978732638889,0.10154893663194445,0.10154893663194445,0.14997106481481481,0.2030978732638889,0.12143221581074806,0.20735677083333334,0.0859245550225853,0.09298130858478905,0.9500696252929939,336.0,-0.46996166087962965,nan,nan,nan,0.2030978732638889,nan,nan,nan,0.0,nan,8
1-3,-1,0.46231562705930884,0.6249165540304955,0.3067164882536857,7.682564356970408,0.5198397276893494,0.15690491691468256,0.3209989033048115,0.45335939195421004,0.34361194428943453,0.11453731476314485,0.11453731476314485,0.2757097316297209,0.34361194428943453,0.2354210593015187,0.3437543596540179,0.10833330035249918,0.14152004878062696,0.9986803617826236,336.0,-0.23037994223296956,nan,nan,nan,0.34361194428943453,nan,nan,nan,0.0,nan,8
1-3,0,0.5938847237286234,0.7227770158146867,0.5366609634891633,5.2981627933562745,0.6688648254152327,0.2777467757936508,0.4847344292534722,0.6117016020275297,0.563019283234127,0.18767309441137567,0.18767309441137567,0.5178143814997263,0.563019283234127,0.4038033168165316,0.5648871527777778,0.1610838359612462,0.26693561200375715,0.988153548612593,336.0,-0.047555751901455015,nan,nan,nan,0.563019283234127,nan,nan,nan,0.0,nan,8
1-3,1,0.527722241964651,0.6736059652942791,0.4220684420677923,6.5112975589812745,0.5930439025636703,0.2161187065972222,0.4008207775297619,0.5331992497519842,0.4547216021825397,0.15157386739417988,0.1515738673941799,0.3983134920634921,0.45472160218253965,0.3135684965752702,0.45770166790674605,0.14413317133147585,0.20565092790433884,0.9792378562730473,336.0,-0.1342683015046296,nan,nan,nan,0.4547216021825397,nan,nan,nan,0.0,nan,8
1-3,2,0.48373873753789887,0.6408028328008525,0.3444363993983115,7.31236799936446,0.5429770000397213,0.17220052083333334,0.34967041015625,0.47979348803323413,0.37890625,0.12630208333333331,0.12630208333333334,0.31465517241379304,0.37890625,0.2565536215594394,0.3823784722222222,0.12582485066278284,0.16475652690146908,0.9722490039997874,336.0,-0.20021727223875663,nan,nan,nan,0.37890625,nan,nan,nan,0.0,nan,8
1-3,3,0.4464763973255945,0.6128644343927657,0.27695218978389613,8.001544528537325,0.4999034669664171,0.14311290922619047,0.30212305462549605,0.43458436027405756,0.31753007192460314,0.10584335730820107,0.10584335730820105,0.24692973453749312,0.3175300719246032,0.21730271854419958,0.3217385912698413,0.10443587272564168,0.12803900667848161,0.9598324840242786,336.0,-0.24734803860780422,nan,nan,nan,0.31753007192460314,nan,nan,nan,0.0,nan,8
1-3,4,0.4210586458148695,0.5941216900336155,0.23167591710244456,8.440323844788567,0.47247975970071454,0.1207488529265873,0.2692764524429564,0.40405709402901785,0.2766694568452381,0.09222315228174605,0.09222315228174602,0.2018421592775041,0.27666945684523814,0.18972224860688958,0.2817654079861111,0.09204315937922156,0.10729877637807164,0.9441709898389408,336.0,-0.2889023230820106,nan,nan,nan,0.2766694568452381,nan,nan,nan,0.0,nan,8
1-3,5,0.4078743170773709,0.5842617414554783,0.21111888270224294,8.673733665829612,0.4578916458856491,0.11075846354166666,0.2532280815972222,0.3867235940600198,0.25361173115079366,0.08453724371693122,0.0845372437169312,0.17639915161466885,0.25361173115079366,0.17412454024717156,0.25892082093253965,0.08479628068536815,0.09631526059696735,0.9364166371282281,336.0,-0.30574027571097884,nan,nan,nan,0.25361173115079366,nan,nan,nan,0.0,nan,8
1-3,6,0.3992655423887602,0.5784973134207207,0.19985075919858872,8.764295063321551,0.452231558542403,0.09850105406746032,0.24182903955853174,0.37635730561755953,0.23510354662698413,0.07836784887566137,0.07836784887566137,0.15597632731253416,0.23510354662698413,0.16182631699067038,0.24045913938492064,0.07863282239425026,0.08749214295824922,0.9309197666046355,336.0,-0.32726211144179895,nan,nan,nan,0.23510354662698413,nan,nan,nan,0.0,nan,8
1-3,7,0.4185044106367021,0.5924014390315646,0.23096835228704635,8.458789401584202,0.4713256624009874,0.11605205233134921,0.26630898127480157,0.4004584418402778,0.26933361235119047,0.08977787078373016,0.08977787078373016,0.193747434318555,0.26933361235119047,0.16646721507197737,0.27375914558531744,0.10729193051334009,0.1236168710472032,0.9582425837808601,336.0,-0.29174546337632273,nan,nan,nan,0.26933361235119047,nan,nan,nan,0.0,nan,8
