pair,layer_id,source_rank,mean_target_rank,mean_absolute_displacement,count
1-2,-1,1,8.874459402901786,7.874459402901786,2064384
1-2,-1,2,10.147343226841517,8.35418943374876,2064384
1-2,-1,3,10.93869357638889,8.411872016059029,2064384
1-2,-1,4,11.571609254867312,8.354714529854911,2064384
1-2,-1,5,12.121488056485616,8.264890640500992,2064384
1-2,-1,6,12.582323831225198,8.12300037202381,2064384
1-2,-1,7,13.054074242001487,8.018423897879464,2064384
1-2,-1,8,13.48132808624752,7.913634285094246,2064384
1-2,-1,9,13.827824183872767,7.767390659877232,2064384
1-2,-1,10,14.206861707899305,7.656861320374504,2064384
1-2,-1,11,14.539774092416915,7.545499771360367,2064384
1-2,-1,12,14.941423688616071,7.4959716796875,2064384
1-2,-1,13,15.218309190538195,7.410282195560516,2064384
1-2,-1,14,15.604375930059524,7.37450687468998,2064384
1-2,-1,15,15.914947994171627,7.362096392919147,2064384
1-2,-1,16,16.23083302331349,7.328903924851191,2064384
1-2,-1,17,16.58850291418651,7.339863126240079,2064384
1-2,-1,18,16.93766808888269,7.369056822761657,2064384
1-2,-1,19,17.252457391648065,7.406985812717014,2064384
1-2,-1,20,17.58406527080233,7.46482679578993,2064384
1-2,-1,21,17.972401936848957,7.5082818894159224,2064384
1-2,-1,22,18.361055888826886,7.5829370892237105,2064384
1-2,-1,23,18.70834495907738,7.690367683531746,2064384
1-2,-1,24,19.095719594804066,7.786941770523313,2064384
1-2,-1,25,19.531444246806796,7.872301374162946,2064384
1-2,-1,26,19.9517085968502,7.991132463727679,2064384
1-2,-1,27,20.41844976515997,8.099243648468502,2064384
1-2,-1,28,20.978065611824157,8.161870562841022,2064384
1-2,-1,29,21.542009626116073,8.24472384982639,2064384
1-2,-1,30,22.1973872109065,8.274976457868304,2064384
1-2,-1,31,23.123047843812003,8.089329310825892,2064384
1-2,-1,32,24.5020015656002,7.497998434399801,2064384
1-2,0,1,4.7784326946924605,3.7784326946924605,258048
1-2,0,2,6.174227275545635,4.492346385168651,258048
1-2,0,3,7.244566902281746,4.893081907242063,258048
1-2,0,4,8.134649367559524,5.169573102678571,258048
1-2,0,5,8.946106925843255,5.361347501240079,258048
1-2,0,6,9.66277591765873,5.497698102678571,258048
1-2,0,7,10.451338510664682,5.673436724950397,258048
1-2,0,8,11.021375868055555,5.6916000124007935,258048
1-2,0,9,11.752422030009921,5.8535039992559526,258048
1-2,0,10,12.446738591269842,5.92999751984127,258048
1-2,0,11,12.879483661954366,5.939999534970238,258048
1-2,0,12,13.674552796378968,6.006754557291667,258048
1-2,0,13,14.144790891617063,6.03704349578373,258048
1-2,0,14,14.835569351438492,6.027076357886905,258048
1-2,0,15,15.372264074900794,6.128262958829365,258048
1-2,0,16,15.980511377728174,6.131677052331349,258048
1-2,0,17,16.574927920386905,6.136738126240079,258048
1-2,0,18,17.229639446924605,6.121365017361111,258048
1-2,0,19,17.847443111359127,6.113370380704365,258048
1-2,0,20,18.33964611235119,6.135831318204365,258048
1-2,0,21,19.065708705357142,6.0354507688492065,258048
1-2,0,22,19.7587154327877,5.9966324094742065,258048
1-2,0,23,20.40585472470238,5.934779575892857,258048
1-2,0,24,21.06847950768849,5.834027002728175,258048
1-2,0,25,21.833170572916668,5.688205295138889,258048
1-2,0,26,22.629615420386905,5.538601345486111,258048
1-2,0,27,23.401464068700395,5.388985770089286,258048
1-2,0,28,24.25255378844246,5.151750837053571,258048
1-2,0,29,25.222737630208332,4.854434058779762,258048
1-2,0,30,26.23012385292659,4.461561414930555,258048
1-2,0,31,27.47482638888889,3.8839905753968256,258048
1-2,0,32,29.165287078373016,2.834712921626984,258048
1-2,1,1,6.650592137896825,5.650592137896825,258048
1-2,1,2,8.140380859375,6.403153676835317,258048
1-2,1,3,9.043158637152779,6.618183438740079,258048
1-2,1,4,9.9599609375,6.855918278769841,258048
1-2,1,5,10.627720424107142,6.918898809523809,258048
1-2,1,6,11.214556981646826,6.915930369543651,258048
1-2,1,7,11.850706070188492,7.007940383184524,258048
1-2,1,8,12.413938492063492,7.013462611607143,258048
1-2,1,9,12.819735088045634,6.976876395089286,258048
1-2,1,10,13.329605344742063,6.9324234250992065,258048
1-2,1,11,13.911954365079366,6.9953109499007935,258048
1-2,1,12,14.43643818204365,6.988444010416667,258048
1-2,1,13,14.728379991319445,6.953361390128968,258048
1-2,1,14,15.250321645585318,6.950764973958333,258048
1-2,1,15,15.720071459573413,6.986688523065476,258048
1-2,1,16,16.192371186755953,6.927544487847222,258048
1-2,1,17,16.651696583581348,7.0120946490575395,258048
1-2,1,18,17.151746961805557,6.951737661210317,258048
1-2,1,19,17.46911427331349,7.023522755456349,258048
1-2,1,20,17.991141183035715,6.9547836061507935,258048
1-2,1,21,18.533009362599206,6.997271825396825,258048
1-2,1,22,18.9749271453373,7.007921006944445,258048
1-2,1,23,19.490478515625,7.058303106398809,258048
1-2,1,24,19.96764167906746,7.060182601686508,258048
1-2,1,25,20.555869450644842,7.002809554811508,258048
1-2,1,26,21.16570560515873,6.983429439484127,258048
1-2,1,27,21.707259889632937,6.992051866319445,258048
1-2,1,28,22.54604182167659,6.793267144097222,258048
1-2,1,29,23.24753921750992,6.677544487847222,258048
1-2,1,30,24.09583488343254,6.4914667038690474,258048
1-2,1,31,25.266074528769842,6.010982452876984,258048
1-2,1,32,26.896027095734127,5.103972904265873,258048
1-2,2,1,8.172882564484127,7.172882564484127,258048
1-2,2,2,9.423731243799603,7.645480685763889,258048
1-2,2,3,10.359882657490079,7.865943545386905,258048
1-2,2,4,11.050277467757937,7.8806036086309526,258048
1-2,2,5,11.745628720238095,7.955558655753968,258048
1-2,2,6,12.25641353546627,7.884947761656746,258048
1-2,2,7,12.80330791170635,7.838820684523809,258048
1-2,2,8,13.377933562748016,7.848721943204365,258048
1-2,2,9,13.586197141617063,7.630591982886905,258048
1-2,2,10,14.019225105406745,7.580392020089286,258048
1-2,2,11,14.394814143105158,7.4590347532242065,258048
1-2,2,12,14.891558934771826,7.461886935763889,258048
1-2,2,13,15.122876364087302,7.3653661334325395,258048
1-2,2,14,15.500922309027779,7.341479104662699,258048
1-2,2,15,15.862703838045634,7.369160001240079,258048
1-2,2,16,16.175099206349206,7.312275235615079,258048
1-2,2,17,16.628789992559526,7.29425533234127,258048
1-2,2,18,16.894961402529763,7.340328156001984,258048
1-2,2,19,17.33041527157738,7.419569227430555,258048
1-2,2,20,17.55383107018849,7.510087270585317,258048
1-2,2,21,18.134668743799605,7.445370628720238,258048
1-2,2,22,18.60751488095238,7.474183097718254,258048
1-2,2,23,18.88911365327381,7.584038628472222,258048
1-2,2,24,19.376561724950395,7.631925068204365,258048
1-2,2,25,19.818084232390873,7.6719873821924605,258048
1-2,2,26,20.25043402777778,7.78045169890873,258048
1-2,2,27,20.72999984499008,7.829950241815476,258048
1-2,2,28,21.30819847470238,7.87158203125,258048
1-2,2,29,21.968711247519842,7.861010354662699,258048
1-2,2,30,22.72081550719246,7.778409443204365,258048
1-2,2,31,23.752646794394842,7.472993396577381,258048
1-2,2,32,25.291798425099206,6.7082015749007935,258048
1-2,3,1,9.355321490575397,8.355321490575397,258048
1-2,3,2,10.709430028521826,8.901797340029763,258048
1-2,3,3,11.505506727430555,8.950501457093255,258048
1-2,3,4,12.074769035218255,8.83517795138889,258048
1-2,3,5,12.621306888640873,8.730898902529763,258048
1-2,3,6,12.90986560639881,8.432613312251984,258048
1-2,3,7,13.438302176339286,8.37125263516865,258048
1-2,3,8,13.783013237847221,8.230774894593255,258048
1-2,3,9,14.148538256448413,8.071041046626984,258048
1-2,3,10,14.528688461061508,7.963739304315476,258048
1-2,3,11,14.883265904017858,7.8481329055059526,258048
1-2,3,12,15.042089068700397,7.752267020089286,258048
1-2,3,13,15.415213448660714,7.663919115823413,258048
1-2,3,14,15.808392237103174,7.665845114087301,258048
1-2,3,15,16.047320653521826,7.589971633184524,258048
1-2,3,16,16.38979957217262,7.588499038938492,258048
1-2,3,17,16.59585425967262,7.530176556299603,258048
1-2,3,18,16.9030025421627,7.630316840277778,258048
1-2,3,19,17.17837379092262,7.602023654513889,258048
1-2,3,20,17.500933934771826,7.643953838045635,258048
1-2,3,21,17.807384672619047,7.740025111607143,258048
1-2,3,22,18.260877821180557,7.7935694134424605,258048
1-2,3,23,18.495721726190474,7.941351996527778,258048
1-2,3,24,18.87986343625992,8.045902312748016,258048
1-2,3,25,19.18320622519841,8.23117404513889,258048
1-2,3,26,19.54734390500992,8.376608227926587,258048
1-2,3,27,19.896937779017858,8.57340107266865,258048
1-2,3,28,20.449648902529763,8.64069087921627,258048
1-2,3,29,20.891640314980158,8.841479104662698,258048
1-2,3,30,21.57819087921627,8.866214812748016,258048
1-2,3,31,22.41066390749008,8.776316809275794,258048
1-2,3,32,23.759533110119047,8.240466889880953,258048
1-2,4,1,10.217936197916666,9.217936197916666,258048
1-2,4,2,11.423390221974206,9.591963510664682,258048
1-2,4,3,12.142574249751984,9.55661349826389,258048
1-2,4,4,12.692510695684524,9.398154606894842,258048
1-2,4,5,13.132843501984127,9.17981925843254,258048
1-2,4,6,13.524030412946429,8.967637803819445,258048
1-2,4,7,13.792306082589286,8.69964115203373,258048
1-2,4,8,14.260625930059524,8.583387586805555,258048
1-2,4,9,14.540814112103174,8.388144841269842,258048
1-2,4,10,14.759052579365079,8.160543774801587,258048
1-2,4,11,15.00335208953373,7.998593284970238,258048
1-2,4,12,15.398433624751984,7.9594842819940474,258048
1-2,4,13,15.616117931547619,7.790132068452381,258048
1-2,4,14,15.825559585813492,7.784598214285714,258048
1-2,4,15,16.081670851934526,7.687325613839286,258048
1-2,4,16,16.241803850446427,7.623329768105159,258048
1-2,4,17,16.558465866815474,7.650844029017857,258048
1-2,4,18,16.923374720982142,7.7125147259424605,258048
1-2,4,19,17.093501984126984,7.764694940476191,258048
1-2,4,20,17.399793836805557,7.821389818948413,258048
1-2,4,21,17.639532180059526,7.895383804563492,258048
1-2,4,22,17.940526568700395,8.019542875744047,258048
1-2,4,23,18.17482406374008,8.206112816220237,258048
1-2,4,24,18.530025421626984,8.35045417906746,258048
1-2,4,25,18.81362769717262,8.518419053819445,258048
1-2,4,26,19.125530908978174,8.718831380208334,258048
1-2,4,27,19.525937034970237,8.903262183779763,258048
1-2,4,28,19.883289155505953,9.139295789930555,258048
1-2,4,29,20.371190631200395,9.324214874751984,258048
1-2,4,30,20.847822885664684,9.550374348958334,258048
1-2,4,31,21.630657862103174,9.538496713789682,258048
1-2,4,32,22.888877263144842,9.111122736855158,258048
1-2,5,1,10.615908668154763,9.615908668154763,258048
1-2,5,2,11.810992528521826,9.976566375248016,258048
1-2,5,3,12.536795479910714,9.926575675843255,258048
1-2,5,4,12.966847253224206,9.622601221478174,258048
1-2,5,5,13.423777746775794,9.433341858878968,258048
1-2,5,6,13.728364490327381,9.13301013764881,258048
1-2,5,7,14.159160311259921,8.950423952132937,258048
1-2,5,8,14.420266772073413,8.717079768105158,258048
1-2,5,9,14.730546254960318,8.508471292162698,258048
1-2,5,10,14.943107483878968,8.315162295386905,258048
1-2,5,11,15.150743272569445,8.100721571180555,258048
1-2,5,12,15.402816530257937,7.98046875,258048
1-2,5,13,15.662764291914682,7.874802362351191,258048
1-2,5,14,15.914112878224206,7.770240420386905,258048
1-2,5,15,16.138857886904763,7.760207403273809,258048
1-2,5,16,16.28657459077381,7.713681175595238,258048
1-2,5,17,16.58350384424603,7.7101934523809526,258048
1-2,5,18,16.77940925719246,7.772991846478175,258048
1-2,5,19,17.08108181423611,7.787438771081349,258048
1-2,5,20,17.283660404265873,7.906040736607143,258048
1-2,5,21,17.519670758928573,8.003495473710318,258048
1-2,5,22,17.731394934275794,8.16150871155754,258048
1-2,5,23,18.02916511656746,8.2978515625,258048
1-2,5,24,18.257843501984127,8.495380704365079,258048
1-2,5,25,18.64963882688492,8.656374007936508,258048
1-2,5,26,18.918906560019842,8.877472408234127,258048
1-2,5,27,19.31494915674603,9.084464905753968,258048
1-2,5,28,19.65149894593254,9.379301525297619,258048
1-2,5,29,20.03445095486111,9.641547309027779,258048
1-2,5,30,20.570316375248016,9.812674386160714,258048
1-2,5,31,21.33348834325397,9.81928943452381,258048
1-2,5,32,22.369384765625,9.630615234375,258048
1-2,6,1,11.141233413938492,10.141233413938492,258048
1-2,6,2,12.16217525421627,10.308892144097221,258048
1-2,6,3,12.635362413194445,10.014927455357142,258048
1-2,6,4,13.119811042906745,9.776154048859127,258048
1-2,6,5,13.49986824156746,9.495310949900794,258048
1-2,6,6,13.91946072048611,9.273379371279763,258048
1-2,6,7,14.182276165674603,8.976314484126984,258048
1-2,6,8,14.503142826140873,8.805745442708334,258048
1-2,6,9,14.685539124503968,8.51447017609127,258048
1-2,6,10,14.995345827132937,8.339436848958334,258048
1-2,6,11,15.158086867559524,8.106321304563492,258048
1-2,6,12,15.490401010664682,8.01671394469246,258048
1-2,6,13,15.601911272321429,7.892291356646825,258048
1-2,6,14,15.914713541666666,7.800998263888889,258048
1-2,6,15,16.121144128224206,7.742633153521825,258048
1-2,6,16,16.32588123139881,7.710096571180555,258048
1-2,6,17,16.52414279513889,7.762307787698413,258048
1-2,6,18,16.77960689484127,7.753146701388889,258048
1-2,6,19,16.989242311507937,7.807578435019841,258048
1-2,6,20,17.26336185515873,7.963386656746032,258048
1-2,6,21,17.43410915798611,8.06155056423611,258048
1-2,6,22,17.694258432539684,8.217354910714286,258048
1-2,6,23,18.00807601686508,8.341920882936508,258048
1-2,6,24,18.179443359375,8.56900654141865,258048
1-2,6,25,18.53900824652778,8.75985088045635,258048
1-2,6,26,18.76148235987103,9.042406839037698,258048
1-2,6,27,19.09392826140873,9.27814205109127,258048
1-2,6,28,19.557776072668652,9.44387478298611,258048
1-2,6,29,19.894337487599206,9.75772724454365,258048
1-2,6,30,20.393539186507937,9.973795572916666,258048
1-2,6,31,21.120884486607142,10.034195188492063,258048
1-2,6,32,22.310449993799605,9.689550006200397,258048
1-2,7,1,10.063368055555555,9.063368055555555,258048
1-2,7,2,11.334418402777779,9.51331535218254,258048
1-2,7,3,12.04170154389881,9.469149150545634,258048
1-2,7,4,12.574048239087302,9.29953342013889,258048
1-2,7,5,12.974652002728174,9.043949187748016,258048
1-2,7,6,13.443122984871032,8.878786117311508,258048
1-2,7,7,13.755196707589286,8.629561166914682,258048
1-2,7,8,14.070328000992063,8.418302021329366,258048
1-2,7,9,14.35880146329365,8.196025545634921,258048
1-2,7,10,14.633130270337302,8.033195374503968,258048
1-2,7,11,14.936492435515873,7.9158838665674605,258048
1-2,7,12,15.195099361359127,7.801753937251984,258048
1-2,7,13,15.454419332837302,7.705341641865079,258048
1-2,7,14,15.785415891617063,7.655052548363095,258048
1-2,7,15,15.975551060267858,7.632521856398809,258048
1-2,7,16,16.254623170882937,7.624128069196429,258048
1-2,7,17,16.59064205109127,7.622295076884921,258048
1-2,7,18,16.839603484623016,7.6700536334325395,258048
1-2,7,19,17.030486576140873,7.737688337053571,258048
1-2,7,20,17.34015376984127,7.783141121031746,258048
1-2,7,21,17.64513191344246,7.8877069382440474,258048
1-2,7,22,17.92023189484127,7.992784288194445,258048
1-2,7,23,18.173525855654763,8.158582899305555,258048
1-2,7,24,18.505898127480158,8.308655753968255,258048
1-2,7,25,18.858948722718253,8.449590773809524,258048
1-2,7,26,19.214649987599206,8.611258370535714,258048
1-2,7,27,19.67712208581349,8.743691096230158,258048
1-2,7,28,20.17551773313492,8.875201512896826,258048
1-2,7,29,20.705469525049605,8.999833364335318,258048
1-2,7,30,21.14245411706349,9.26531498015873,258048
1-2,7,31,21.995140438988095,9.178369915674603,258048
1-2,7,32,23.334654792906747,8.665345207093255,258048
1-3,-1,1,8.629590715680804,7.629590715680804,2064384
1-3,-1,2,9.923200334821429,8.134683275979663,2064384
1-3,-1,3,10.732767256479415,8.217175196087549,2064384
1-3,-1,4,11.403845893012154,8.205433194599454,2064384
1-3,-1,5,11.959697420634921,8.11740451388889,2064384
1-3,-1,6,12.448673793247767,8.004961770678323,2064384
1-3,-1,7,12.910299634176587,7.901917472718254,2064384
1-3,-1,8,13.356948610336062,7.793930295913938,2064384
1-3,-1,9,13.728844536675346,7.66846914140005,2064384
1-3,-1,10,14.113176618303571,7.574834914434524,2064384
1-3,-1,11,14.437564910404266,7.463488382006449,2064384
1-3,-1,12,14.871334499782986,7.420164562406994,2064384
1-3,-1,13,15.167007688492063,7.353148445250496,2064384
1-3,-1,14,15.564625573536706,7.316739521329365,2064384
1-3,-1,15,15.89880855499752,7.294558570498512,2064384
1-3,-1,16,16.25861273871528,7.277938600570437,2064384
1-3,-1,17,16.61014714316716,7.275100950210813,2064384
1-3,-1,18,16.952063666449654,7.286849248976934,2064384
1-3,-1,19,17.293692452566965,7.336958627852183,2064384
1-3,-1,20,17.65298074389261,7.381381080264137,2064384
1-3,-1,21,18.032665434337797,7.439833868117559,2064384
1-3,-1,22,18.434955415271578,7.50291757734995,2064384
1-3,-1,23,18.800272139291916,7.5916946653335815,2064384
1-3,-1,24,19.215508839440723,7.674477713448661,2064384
1-3,-1,25,19.652927943638392,7.760298471602183,2064384
1-3,-1,26,20.082864912729416,7.880547901940724,2064384
1-3,-1,27,20.580899677579364,7.957380991133433,2064384
1-3,-1,28,21.126585945250497,8.032304067460318,2064384
1-3,-1,29,21.728202214316717,8.078992571149554,2064384
1-3,-1,30,22.400833372085813,8.082203698536706,2064384
1-3,-1,31,23.307442316933283,7.909638419983879,2064384
1-3,-1,32,24.72295900375124,7.27704099624876,2064384
1-3,0,1,4.527285621279762,3.527285621279762,258048
1-3,0,2,5.938147166418651,4.272480313740079,258048
1-3,0,3,7.008730933779762,4.685209728422619,258048
1-3,0,4,7.896720765128968,4.954903738839286,258048
1-3,0,5,8.756336030505953,5.200679718501984,258048
1-3,0,6,9.529525514632937,5.367989676339286,258048
1-3,0,7,10.251995752728174,5.496299138144841,258048
1-3,0,8,10.866563585069445,5.55182369171627,258048
1-3,0,9,11.631897941468255,5.715440538194445,258048
1-3,0,10,12.325578962053571,5.804365854414683,258048
1-3,0,11,12.770782955109127,5.812503875248016,258048
1-3,0,12,13.622310577876984,5.917666480654762,258048
1-3,0,13,14.10820079985119,5.921630859375,258048
1-3,0,14,14.797611297123016,5.931183345734127,258048
1-3,0,15,15.325575086805555,5.989009796626984,258048
1-3,0,16,15.954942491319445,5.980441623263889,258048
1-3,0,17,16.60853019593254,5.981166294642857,258048
1-3,0,18,17.250209263392858,5.970222594246032,258048
1-3,0,19,17.848702566964285,5.985498821924603,258048
1-3,0,20,18.431435236855158,6.025627015128968,258048
1-3,0,21,19.159307570684526,5.908602275545635,258048
1-3,0,22,19.85642593625992,5.826230003720238,258048
1-3,0,23,20.546607607886905,5.738207620287699,258048
1-3,0,24,21.235312810019842,5.661582341269841,258048
1-3,0,25,22.025088355654763,5.518965463789683,258048
1-3,0,26,22.814119853670636,5.352143787202381,258048
1-3,0,27,23.60350787450397,5.2072870163690474,258048
1-3,0,28,24.45361328125,4.960852244543651,258048
1-3,0,29,25.415755983382937,4.670189267113095,258048
1-3,0,30,26.413512214781747,4.275607638888889,258048
1-3,0,31,27.66360134548611,3.6921774243551586,258048
1-3,0,32,29.362064422123016,2.637935577876984,258048
1-3,1,1,6.133258153521825,5.133258153521825,258048
1-3,1,2,7.687779017857143,5.9582403273809526,258048
1-3,1,3,8.624395461309524,6.228484623015873,258048
1-3,1,4,9.541182260664682,6.476016090029762,258048
1-3,1,5,10.22088138640873,6.569800967261905,258048
1-3,1,6,10.828276134672619,6.611068483382937,258048
1-3,1,7,11.474810887896826,6.688081287202381,258048
1-3,1,8,12.157505580357142,6.790961371527778,258048
1-3,1,9,12.588320777529763,6.766031901041667,258048
1-3,1,10,13.145589192708334,6.730774894593254,258048
1-3,1,11,13.683764260912698,6.759068080357143,258048
1-3,1,12,14.287737165178571,6.808368985615079,258048
1-3,1,13,14.648077101934524,6.799483041914683,258048
1-3,1,14,15.203551277281745,6.845338851686508,258048
1-3,1,15,15.702070932539682,6.8171270461309526,258048
1-3,1,16,16.15673053075397,6.7926742311507935,258048
1-3,1,17,16.673134455605158,6.8193863157242065,258048
1-3,1,18,17.1732662140377,6.798490978422619,258048
1-3,1,19,17.588355654761905,6.848423549107143,258048
1-3,1,20,18.049808562748016,6.842444041418651,258048
1-3,1,21,18.70248558407738,6.808954148065476,258048
1-3,1,22,19.178583054315474,6.799018012152778,258048
1-3,1,23,19.729957217261905,6.800843253968254,258048
1-3,1,24,20.225740947420636,6.785202752976191,258048
1-3,1,25,20.845586867559526,6.708015562996032,258048
1-3,1,26,21.444715711805557,6.724934895833333,258048
1-3,1,27,22.050804501488095,6.656374007936508,258048
1-3,1,28,22.932826450892858,6.437585255456349,258048
1-3,1,29,23.663868737599206,6.311631944444445,258048
1-3,1,30,24.56688678075397,6.045774429563492,258048
1-3,1,31,25.70195079985119,5.587762741815476,258048
1-3,1,32,27.388098338293652,4.611901661706349,258048
1-3,2,1,7.608057415674603,6.608057415674603,258048
1-3,2,2,8.979627821180555,7.219311910962301,258048
1-3,2,3,9.918003627232142,7.451943049355159,258048
1-3,2,4,10.657121930803571,7.537167503720238,258048
1-3,2,5,11.378022693452381,7.613071986607143,258048
1-3,2,6,11.975740947420634,7.603569878472222,258048
1-3,2,7,12.501778738839286,7.576950799851191,258048
1-3,2,8,13.023084852430555,7.554125589037699,258048
1-3,2,9,13.400266617063492,7.456976996527778,258048
1-3,2,10,13.823900979662698,7.382781498015873,258048
1-3,2,11,14.176939949156745,7.304218594990079,258048
