pair,metric_name,target,n,pearson,spearman,mean_metric,mean_target
1-2,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-2,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-2,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-2,nestedness,up_delta_loss,8,-0.0632198930371609,-0.14285714285714285,0.2504752022879464,-0.011688971773736068
1-2,nestedness,down_delta_loss,8,0.010871558100693072,-0.047619047619047616,0.2504752022879464,0.22596258797224553
1-2,nestedness,mean_abs_delta_loss,8,0.029091578729847453,0.047619047619047616,0.2504752022879464,0.1188257798729908
1-2,spearman,up_delta_loss,8,0.15043667922363654,0.35714285714285715,0.41261694952845573,-0.011688971773736068
1-2,spearman,down_delta_loss,8,-0.37792984431545673,-0.6190476190476191,0.41261694952845573,0.22596258797224553
1-2,spearman,mean_abs_delta_loss,8,-0.32988373855889686,-0.5714285714285714,0.41261694952845573,0.1188257798729908
1-2,top1_agreement,up_delta_loss,8,-0.15167154051742474,-0.38095238095238093,0.15112062484499006,-0.011688971773736068
1-2,top1_agreement,down_delta_loss,8,0.0353358666911093,0.047619047619047616,0.15112062484499006,0.22596258797224553
1-2,top1_agreement,mean_abs_delta_loss,8,0.07664524320657821,0.14285714285714285,0.15112062484499006,0.1188257798729908
1-2,top_pair_overlap,up_delta_loss,0,nan,nan,nan,nan
1-2,top_pair_overlap,down_delta_loss,0,nan,nan,nan,nan
1-2,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
1-3,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-3,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-3,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-3,nestedness,up_delta_loss,8,-0.05538452440560764,-0.3333333333333333,0.3436163039434524,-0.002164105662987345
1-3,nestedness,down_delta_loss,8,-0.14907218321945173,0.047619047619047616,0.3436163039434524,0.5371736903630552
1-3,nestedness,mean_abs_delta_loss,8,-0.1942583006601667,0.023809523809523808,0.3436163039434524,0.27414561037920293
1-3,spearman,up_delta_loss,8,0.3869995080343331,0.2857142857142857,0.42711207643151283,-0.002164105662987345
1-3,spearman,down_delta_loss,8,-0.4042692717667021,-0.047619047619047616,0.42711207643151283,0.5371736903630552
1-3,spearman,mean_abs_delta_loss,8,-0.4662467111095618,-0.11904761904761904,0.42711207643151283,0.27414561037920293
1-3,top1_agreement,up_delta_loss,8,-0.41262063346142797,-0.6428571428571429,0.15690491691468256,-0.002164105662987345
1-3,top1_agreement,down_delta_loss,8,-0.09417868450442396,-0.14285714285714285,0.15690491691468256,0.5371736903630552
1-3,top1_agreement,mean_abs_delta_loss,8,-0.11232073744410302,-0.16666666666666666,0.15690491691468256,0.27414561037920293
1-3,top_pair_overlap,up_delta_loss,0,nan,nan,nan,nan
1-3,top_pair_overlap,down_delta_loss,0,nan,nan,nan,nan
1-3,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
1-4,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-4,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-4,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-4,nestedness,up_delta_loss,8,-0.32722565031944767,-0.35714285714285715,0.4189651731460814,0.01916109619750863
1-4,nestedness,down_delta_loss,8,0.25643744798273227,0.23809523809523808,0.4189651731460814,0.8900024349254275
1-4,nestedness,mean_abs_delta_loss,8,0.1796625602964763,0.2619047619047619,0.4189651731460814,0.4547154635693582
1-4,spearman,up_delta_loss,8,-0.1328007717070982,0.11904761904761904,0.43852294608950615,0.01916109619750863
