seed,train_k,inference_k,checkpoint_step,task_id,task_name,num_tokens,validation_loss
3,1,1,0,0,general_ko,4608,5.7179391913943824
3,1,1,0,1,general_en,4608,5.727363891071743
3,1,1,0,2,math_ko,4608,5.788453274303013
3,1,1,0,3,math_en,4608,5.712143566873339
3,1,1,0,4,code,4608,5.701123793919881
3,1,1,0,5,reasoning,4608,5.709349513053894
3,1,1,0,6,translation,4608,5.7277315855026245
3,1,2,0,0,general_ko,4608,5.7200128767225475
3,1,2,0,1,general_en,4608,5.7273958921432495
3,1,2,0,2,math_ko,4608,5.782033589151171
3,1,2,0,3,math_en,4608,5.712926864624023
3,1,2,0,4,code,4608,5.700557629267375
3,1,2,0,5,reasoning,4608,5.725516464975145
3,1,2,0,6,translation,4608,5.7269644604788885
3,1,3,0,0,general_ko,4608,5.719200332959493
3,1,3,0,1,general_en,4608,5.729452861679925
3,1,3,0,2,math_ko,4608,5.7919653919008045
3,1,3,0,3,math_en,4608,5.712976389461094
3,1,3,0,4,code,4608,5.701523714595371
3,1,3,0,5,reasoning,4608,5.7238360908296375
3,1,3,0,6,translation,4608,5.729654669761658
3,1,4,0,0,general_ko,4608,5.720979001786974
3,1,4,0,1,general_en,4608,5.732852419217427
3,1,4,0,2,math_ko,4608,5.794988022910224
3,1,4,0,3,math_en,4608,5.71027229891883
3,1,4,0,4,code,4608,5.701828572485182
3,1,4,0,5,reasoning,4608,5.72699432902866
3,1,4,0,6,translation,4608,5.72418279118008
3,1,5,0,0,general_ko,4608,5.722252580854628
3,1,5,0,1,general_en,4608,5.735557609134251
3,1,5,0,2,math_ko,4608,5.795872847239177
3,1,5,0,3,math_en,4608,5.713813344637553
3,1,5,0,4,code,4608,5.7014499637815685
3,1,5,0,5,reasoning,4608,5.730136262045966
3,1,5,0,6,translation,4608,5.7217682467566595
3,1,6,0,0,general_ko,4608,5.721214373906453
3,1,6,0,1,general_en,4608,5.735522468884786
3,1,6,0,2,math_ko,4608,5.796924697028266
3,1,6,0,3,math_en,4608,5.716374781396654
3,1,6,0,4,code,4608,5.701326992776659
3,1,6,0,5,reasoning,4608,5.730647895071241
3,1,6,0,6,translation,4608,5.720970498190986
3,1,7,0,0,general_ko,4608,5.720467209815979
3,1,7,0,1,general_en,4608,5.735244830449422
3,1,7,0,2,math_ko,4608,5.796035117573208
3,1,7,0,3,math_en,4608,5.7157297531763716
3,1,7,0,4,code,4608,5.701534840795729
3,1,7,0,5,reasoning,4608,5.730446034007603
3,1,7,0,6,translation,4608,5.721330881118774
3,1,8,0,0,general_ko,4608,5.721442143122355
3,1,8,0,1,general_en,4608,5.735485686196221
3,1,8,0,2,math_ko,4608,5.795479761229621
3,1,8,0,3,math_en,4608,5.714800675710042
3,1,8,0,4,code,4608,5.7011214759614735
3,1,8,0,5,reasoning,4608,5.731022795041402
3,1,8,0,6,translation,4608,5.721435798539056
3,1,1,6000,0,general_ko,4608,0.3040231383509106
3,1,1,6000,1,general_en,4608,0.2875831081635422
3,1,1,6000,2,math_ko,4608,0.296155353801118
3,1,1,6000,3,math_en,4608,0.33187231462862754
3,1,1,6000,4,code,4608,0.35745584840575856
3,1,1,6000,5,reasoning,4608,0.37709089120229083
3,1,1,6000,6,translation,4608,0.2866290886369016
3,1,2,6000,0,general_ko,4608,0.2945896490580506
3,1,2,6000,1,general_en,4608,0.29049543746643597
3,1,2,6000,2,math_ko,4608,0.27330297066105735
3,1,2,6000,3,math_en,4608,0.31192923295829034
3,1,2,6000,4,code,4608,0.348945794834031
3,1,2,6000,5,reasoning,4608,0.3423103222416507
3,1,2,6000,6,translation,4608,0.27670250957210857
3,1,3,6000,0,general_ko,4608,0.2936229821708467
3,1,3,6000,1,general_en,4608,0.2977878985305627
3,1,3,6000,2,math_ko,4608,0.2792489098178016
3,1,3,6000,3,math_en,4608,0.318613238632679
3,1,3,6000,4,code,4608,0.3658115255335967
3,1,3,6000,5,reasoning,4608,0.3456447563237614
3,1,3,6000,6,translation,4608,0.3036300324731403
3,1,4,6000,0,general_ko,4608,0.29952291068103576
3,1,4,6000,1,general_en,4608,0.3200385926498307
3,1,4,6000,2,math_ko,4608,0.288570804728402
3,1,4,6000,3,math_en,4608,0.32741666088501614
3,1,4,6000,4,code,4608,0.3815202795796924
3,1,4,6000,5,reasoning,4608,0.3644788973033428
3,1,4,6000,6,translation,4608,0.3254198423690266
3,1,5,6000,0,general_ko,4608,0.31994069409039283
3,1,5,6000,1,general_en,4608,0.3468526966041989
3,1,5,6000,2,math_ko,4608,0.3026200487381882
3,1,5,6000,3,math_en,4608,0.35941030002302593
3,1,5,6000,4,code,4608,0.3995620881517728
3,1,5,6000,5,reasoning,4608,0.4159829525483979
3,1,5,6000,6,translation,4608,0.34493010408348507
3,1,6,6000,0,general_ko,4608,0.33615079190995956
